Product,Price,Category,Quantity
"Arance Valencia Italia cal. 7 1,5 kg Percorso Qualità Conad",2.65 € / Kg,Frutta e verdura,1.5 kg
Pompelmi Rossi Cal. 4/5 Cat. I,2.48 € / Kg,Frutta e verdura,
Limone Costa d'Amalfi I.G.P. Primofiore Italia cal. 5 500 g Sapori & Dintorni Conad,5.56 € / Kg,Frutta e verdura,0.5 kg
"Limoni Verdello Italia 0,500 kg Verso Natura Conad",3.96 € / Kg,Frutta e verdura,0.5 kg
Percorso Qualità Limoni Italia Cal. 4 Cat. I Rete 500g CONAD,3.96 € / Kg,Frutta e verdura,0.5 kg
Mele Golden Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,1.85 € / Kg,Frutta e verdura,1.5 kg
Mele Red Delicious Italia cal. 70/75 1500 g Percorso Qualità Conad,1.85 € / Kg,Frutta e verdura,1.5 kg
Percorso Qualità Mele Golden Delicious A. Adige Igp Cal. 85/90 Cat. I SAPORI E DINTORNI,2.58 € / Kg,Frutta e verdura,
Mele Evelina Melinda Origine italia Cal. 75/80 Cat. I Vassoio da 750g MELINDA,2.64 € / Kg,Frutta e verdura,0.75 kg
Mele Pink Lady Italia Cal. 75/80 Cat. I Vassoio 800g PINK LADY,3.72 € / Kg,Frutta e verdura,0.8 kg
BIO Banane Cal. 14/21 Cat. I Vassoio 620g VERSO NATURA CONAD REP.DOMINICANA,0.00 €/Kg,Frutta e verdura,0.62 kg
Percorso Qualità Banane Cat. I CONAD,1.98 € / Kg,Frutta e verdura,
Pesche a Polpa Gialla Italia cal. B 1 kg Percorso Qualità Conad,3.8 € / Kg,Frutta e verdura,1.0 kg
"CONAD Percorso Qualità Ciliegie Durone Anella Italia cal. 24/26 0,500 kg",10.8 € / Kg,Frutta e verdura,0.5 kg
CONAD Percorso Qualità Ciliegie Durone Ferrovia Italia Cal. 22-24 1000 g,9.90 € / Kg,Frutta e verdura,1.0 kg
Fragole Italia cal. 22mm  500 g Percorso Qualità Conad,7.5 € / Kg,Frutta e verdura,0.5 kg
Angurie Italia Cat. I,1.5 € / Kg,Frutta e verdura,
Angurie Mini Italia Cat. I,1.79 € / Kg,Frutta e verdura,
Melone Sapori & Idee Conad,3.6 € / Kg,Frutta e verdura,
Melone Retato Italia Cat. I,2.68 € / Kg,Frutta e verdura,
"Kiwi Green Light Italia cal. 85/100g 0,500 kg Verso Natura Conad",6.96 € / Kg,Frutta e verdura,0.5 kg
Kiwi Hayward Italia cal. 85/100 1000 g Percorso Qualità Conad,3.68 € / Kg,Frutta e verdura,1.0 kg
Percorso Qualità Kiwi Hayward Italia Cal. 27 Cat. I CONAD,3.98 € / Kg,Frutta e verdura,
Lime Cat. I Vassoio 300g SAPORI E IDEE,9.9 € / Kg,Frutta e verdura,0.3 kg
Lime Cat. I Vassoio 300g SAPORI E IDEE BRASILE,14.8 € / Kg,Frutta e verdura,0.3 kg
Avocado Hass Cat. I SAPORI E IDEE CILE,0.01 € / Kg,Frutta e verdura,
Avocado Hass S&I Cat. I Vassoio 200g SAPORI E IDEE,24.90 € / Kg,Frutta e verdura,0.2 kg
Mirtilli Cat. I Vaschetta 125g CONAD SPAGNA,23.84 € / Kg,Frutta e verdura,0.125 kg
Mirtilli Cile 152 g Conad,19.84 € / Kg,Frutta e verdura,0.152 kg
Passion Fruit Cat. I Vassoio 200g SAPORI E IDEE,14.90 € / Kg,Frutta e verdura,0.2 kg
SAPORI & IDEE CONAD Percorso Qualità Ananas Extra Dolce Costa Rica,2.49 € / Kg,Frutta e verdura,
Lamponi Marocco 125 g Conad,0.02 € / Kg,Frutta e verdura,0.125 kg
Ananas a Fette 250 g Conad,15.9 € / Kg,Frutta e verdura,0.25 kg
LIM. I 3 ITA S&D IGP.AMALFI,4.5 € / Kg,Frutta e verdura,
MELE COSMIC CRISP 80-85 ITA vs.900g,3.31 € / Kg,Frutta e verdura,0.9 kg
PINOVA I 85-90 ITA cpq pd,2.48 € / Kg,Frutta e verdura,
COSCIA I 45/50 CHL cs.500g,5.96 € / Kg,Frutta e verdura,0.5 kg
BANANE I 14  PER 620g BIOLOGICO VNB,4.81 € / Kg,Frutta e verdura,0.62 kg
PESCA B. I ITA 500g cal.B(saturnia),7.96 € / Kg,Frutta e verdura,0.5 kg
P.NOCE BIANCA B ESP 500g(SATURNIA),9.96 € / Kg,Frutta e verdura,0.5 kg
PESCA GIALLA I  B ESP cs.1kg,4.48 € / Kg,Frutta e verdura,1.0 kg
PESCA GIALLA I  B ESP cs.750g,9.96 € / Kg,Frutta e verdura,0.75 kg
MIRTILLI MAR 300g (SECCHIELLO),16.60 € / Kg,Frutta e verdura,0.3 kg
KIWI GOLD I 125-135 NZL 500g ZESPRI,9.96 € / Kg,Frutta e verdura,0.5 kg
SUCCO DI MELA MELAVI  bott. 1lt.,2.69 € / L,Frutta e verdura,
Arachidi 250 g Conad,9.96 € / Kg,Frutta e verdura,0.25 kg
Arachidi 500 g Conad,7.78 € / Kg,Frutta e verdura,0.5 kg
Noci con Guscio Biologiche origine non UE 250 g Verso Natura Bio Conad,13.60 € / Kg,Frutta e verdura,0.25 kg
Noci di Sorrento 350 g Sapori & Dintorni Conad,14.00 € / Kg,Frutta e verdura,0.35 kg
Noci Jumbo California 500 g Conad,7.18 € / Kg,Frutta e verdura,0.5 kg
Noci Jumbo Cile 500 g Conad,7.18 € / Kg,Frutta e verdura,0.5 kg
Pistacchi 200 g Conad,25.75 € / Kg,Frutta e verdura,0.2 kg
Pistacchi Biologici 150 g Verso Natura Conad,36.60 € / Kg,Frutta e verdura,0.15 kg
Pistacchi Tostati e Salati 150 g Conad,29.67 € / Kg,Frutta e verdura,0.15 kg
Cameo Snack Friends Pistacchi 120 g,33.25 € / Kg,Frutta e verdura,0.12 kg
"Noberasco € 0,99 Pistacchio Tostato Salato 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
Noberasco che arachide! Arachidi Tostate in Guscio 300 g,12.17 € / Kg,Frutta e verdura,0.3 kg
Noberasco che noce! 500 g,11.40 € / Kg,Frutta e verdura,0.5 kg
Ventura Big Blond Arachidi 250 g,15.16 € / Kg,Frutta e verdura,0.25 kg
Ventura Misto in Guscio 350 g,11.37 € / Kg,Frutta e verdura,0.35 kg
Albicocche senza nocciolo essiccate g150 Verso Natura Bio Conad,19.67 € / Kg,Frutta e verdura,
Prugne con Nocciolo Extra Large 250 g Conad,11.96 € / Kg,Frutta e verdura,0.25 kg
Prugne con Nocciolo Extra Large 500 g Conad,12.50 € / Kg,Frutta e verdura,0.5 kg
Prugne Denocciolate 250 g Conad,13.00 € / Kg,Frutta e verdura,0.25 kg
Prugne Denocciolate 500 g Conad,14.50 € / Kg,Frutta e verdura,0.5 kg
Uva Sultanina 250 g Conad,6.20 € / Kg,Frutta e verdura,0.25 kg
Uva Sultanina g 200 Verso Natura Bio Conad,9.95 € / Kg,Frutta e verdura,
Noberasco Frutta Selezionata Zenzero 250 g,14.2 € / Kg,Frutta e verdura,0.25 kg
Econoce Zenzero Candito a Cubetti Biologico 100 g,27.90 € / Kg,Frutta e verdura,0.1 kg
Melinda Melamangio 100% Mela Essiccata Rondelle 20 g,57.50 € / Kg,Frutta e verdura,0.02 kg
"Noberasco € 0,99 Banana Chips 100 g",9.90 € / Kg,Frutta e verdura,0.1 kg
"Noberasco € 0,99 Goji Berry 30 g",33.00 € / Kg,Frutta e verdura,0.03 kg
"Noberasco € 0,99 Mirtilli Rossi 50 g",19.80 € / Kg,Frutta e verdura,0.05 kg
"Noberasco € 0,99 Misto Tropicale 80 g",12.38 € / Kg,Frutta e verdura,0.08 kg
"Noberasco € 0,99 Uva Sultanina 150 g",6.60 € / Kg,Frutta e verdura,0.15 kg
"Noberasco € 0,99 Zenzero 70 g",14.14 € / Kg,Frutta e verdura,0.07 kg
Noberasco Bio CrokkaMela Spicchi di Mele 20 g,80.00 € / Kg,Frutta e verdura,0.02 kg
Noberasco Cocco Bello! 100 g,27.00 € / Kg,Frutta e verdura,0.1 kg
Noberasco Viva i Datteri con Nocciolo 200 g,24.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva il Fico 200 g,14.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva l'Albicocca Denocciolate 200 g,24.75 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva la Macedonia 200 g,16.95 € / Kg,Frutta e verdura,0.2 kg
Noberasco Viva la Prugna Denocciolate 400 g,22.12 € / Kg,Frutta e verdura,0.4 kg
Semplicemente Frutta Ananas Essiccato 25 g,39.60 € / Kg,Frutta e verdura,0.025 kg
Sunsweet Ones Una ad Una Prugne California Denocciolate 200 g,24.95 € / Kg,Frutta e verdura,0.2 kg
Sunsweet Prugne California premium denocciolate 250 g,27.16 € / Kg,Frutta e verdura,0.25 kg
Sunsweet Prugne California premium denocciolate 500 g,18.98 € / Kg,Frutta e verdura,0.5 kg
Ventura I nostri Datteri di Tunisi Deglet Nour 250 g,7.92 € / Kg,Frutta e verdura,0.25 kg
Ventura I nostri Fichi Pulled 250 g,17.92 € / Kg,Frutta e verdura,0.25 kg
Ventura Le Nostre Dolci Bontà Mirtilli 100 g,39.80 € / Kg,Frutta e verdura,0.1 kg
Anacardi Biologici 30 g Verso Natura Bio Conad,33.00 € / Kg,Frutta e verdura,0.03 kg
Anacardi Tostati e Salati 200 g Conad,26.00 € / Kg,Frutta e verdura,0.2 kg
Arachidi Jumbo Tostate e Salate 200 g Conad,9.95 € / Kg,Frutta e verdura,0.2 kg
Arachidi Ricoperte Gusto Paprika 150 g Conad,13.27 € / Kg,Frutta e verdura,0.15 kg
Arachidi Tostate e Salate 300 g Conad,7.17 € / Kg,Frutta e verdura,0.3 kg
"Cranberries, Prugne, Mandorle e Nocciole 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
Mandorle di Puglia Sgusciate 80 g Sapori & Dintorni Conad,34.88 € / Kg,Frutta e verdura,0.08 kg
Mandorle Pelate 100 g Conad,20.50 € / Kg,Frutta e verdura,0.1 kg
Mandorle Pelate 70g Verso Natura Bio Conad,30.71 € / Kg,Frutta e verdura,0.07 kg
Mandorle Sgusciate 100 g Conad,19.80 € / Kg,Frutta e verdura,0.1 kg
Mandorle Sgusciate 250 g Conad,15.96 € / Kg,Frutta e verdura,0.25 kg
Mandorle Sgusciate 400 g Conad,14.98 € / Kg,Frutta e verdura,0.4 kg
Mandorle Sgusciate 70g Verso Natura Bio Conad,28.43 € / Kg,Frutta e verdura,0.07 kg
Mandorle Tostate e Salate 150 g Conad,26.33 € / Kg,Frutta e verdura,0.15 kg
"Mandorle, Anacardi, Ananas e Cranberries 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
"Mandorle, Anacardi, Uvetta e Zenzero 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
"Mix Arachidi, Anacardi, Mandorle e Nocciole Tostato e Salato 300 g Conad",15.97 € / Kg,Frutta e verdura,0.3 kg
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 250 g Conad",15.80 € / Kg,Frutta e verdura,0.25 kg
"Mix Croccante semi di zucca, semi di girasole, anacardi, noci, mandorle pelate 400 g Conad",14.75 € / Kg,Frutta e verdura,0.4 kg
Mix Dinamico 40 g Verso Natura Bio Conad,24.75 € / Kg,Frutta e verdura,0.04 kg
Mix Dinamico Biologico 150 g Verso Natura Bio Conad,22.60 € / Kg,Frutta e verdura,0.15 kg
"Mix Energia uva sultanina, nocciole, noci, mandorle pelate 250 g Conad",15.80 € / Kg,Frutta e verdura,0.25 kg
"Mix Energia uva sultanina, nocciole, noci, mandorle pelate 400 g Conad",14.75 € / Kg,Frutta e verdura,0.4 kg
Mix Piccante 175 g Conad,11.37 € / Kg,Frutta e verdura,0.175 kg
"Mix uva sultanina, mandorle, nocciole e noci g 150 Verso Natura Bio Conad",21.27 € / Kg,Frutta e verdura,
Nocciola Piemonte IGP Tostata 80 g Sapori & Dintorni Conad,39.88 € / Kg,Frutta e verdura,0.08 kg
Nocciole Sgusciate 250 g Conad,21.00 € / Kg,Frutta e verdura,0.25 kg
Nocciole Tostate e Pelate 250 g Conad,23.80 € / Kg,Frutta e verdura,0.25 kg
"Noci Pecan, Mandorle e Uva di Corinto 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
Noci Sgusciate 70g Verso Natura Bio Conad,35.57 € / Kg,Frutta e verdura,0.07 kg
Noci Sgusciate California 170 g Conad,20.00 € / Kg,Frutta e verdura,0.17 kg
Noci Sgusciate California 250 g Conad,18.80 € / Kg,Frutta e verdura,0.25 kg
Noci Sgusciate Cile 80 g Conad,26.88 € / Kg,Frutta e verdura,0.08 kg
Pinoli 40 g Conad,13.47 € / Kg,Frutta e verdura,0.04 kg
Pinoli Marittimi del tirreno Sgusciati e Pelati 30 g Sapori & Dintorni Conad,153.00 € / Kg,Frutta e verdura,0.03 kg
Pinoli sgusciati g 30 Verso Natura Bio Conad,138.33 € / Kg,Frutta e verdura,
Pistacchi di Sicilia Sgusciati 40 g Sapori e Dintorni Conad,82.25 € / Kg,Frutta e verdura,0.04 kg
"Pistacchi, Cranberries, Noci Brasile e Noci 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
"Semi di Girasole, Mandorle, Goji e Mirtilli 40 g Conad",24.75 € / Kg,Frutta e verdura,0.04 kg
Snack di Mais Fritto e Salato 150 g Conad,5.93 € / Kg,Frutta e verdura,0.15 kg
Cameo Snack Friends Arachidi 200 g,12.45 € / Kg,Frutta e verdura,0.2 kg
Cameo Snack Friends Arachidi 3 x 40 g,12.92 € / Kg,Frutta e verdura,0.12 kg
Cameo Snack Friends Arachidi 300 g,9.17 € / Kg,Frutta e verdura,0.3 kg
"Noberasco € 0,99 Arachidi Cotte al Forno 100 g",9.90 € / Kg,Frutta e verdura,0.1 kg
"Noberasco € 0,99 Mandorle Pelate 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
"Noberasco € 0,99 Mandorle Sgusciate 50 g",19.80 € / Kg,Frutta e verdura,0.05 kg
"Noberasco € 0,99 Misto Piccante 100 g",9.90 € / Kg,Frutta e verdura,0.1 kg
"Noberasco € 0,99 Misto Salato 100 g",9.90 € / Kg,Frutta e verdura,0.1 kg
"Noberasco € 0,99 Nocciole Pelate Tostate 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
"Noberasco € 0,99 Nocciole Sgusciate 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
"Noberasco € 0,99 Noci Sgusciate 40 g",24.75 € / Kg,Frutta e verdura,0.04 kg
"Noberasco € 0,99 Pinoli 10 g",99.00 € / Kg,Frutta e verdura,0.01 kg
Noberasco Bio Castagne Già Pelate 35 g,45.71 € / Kg,Frutta e verdura,0.035 kg
Noberasco che Misto! Bio Armonia 130 g,23.00 € / Kg,Frutta e verdura,0.13 kg
Noberasco che Misto! Bio Fitness 130 g,23.00 € / Kg,Frutta e verdura,0.13 kg
Noberasco che Misto! Bio Ritmo 130 g,23.00 € / Kg,Frutta e verdura,0.13 kg
Noberasco che Misto! Bio Wellness 130 g,23.00 € / Kg,Frutta e verdura,0.13 kg
Noberasco che noce! Noci Sgusciate 100 g,39.90 € / Kg,Frutta e verdura,0.1 kg
Noberasco le Caldarroste Express 90 g,38.67 € / Kg,Frutta e verdura,0.09 kg
Noberasco Mandorle Sgusciate 350 g,15.14 € / Kg,Frutta e verdura,0.35 kg
Noberasco Noci Sgusciate 175 g,22.80 € / Kg,Frutta e verdura,0.175 kg
Noberasco Pinoli dal mondo 60 g,124.83 € / Kg,Frutta e verdura,0.06 kg
Noberasco Viva la Castagna 100 g,45.50 € / Kg,Frutta e verdura,0.1 kg
Semplicemente Frutta Power Mix 30 g,33.00 € / Kg,Frutta e verdura,0.03 kg
Ventura BBMix Bellezza 150 g,23.93 € / Kg,Frutta e verdura,0.15 kg
Ventura BBMix Benessere 150 g,23.93 € / Kg,Frutta e verdura,0.15 kg
Ventura BBMix Fibra 150 g,23.93 € / Kg,Frutta e verdura,0.15 kg
Ventura BBMix Focus 150 g,23.93 € / Kg,Frutta e verdura,0.15 kg
"Ventura BBMix Proteico Mix di Arachidi, Semi di Zucca, Mandorle, Mirtilli 150 g",23.93 € / Kg,Frutta e verdura,0.15 kg
Ventura BBMix Sprint 150 g,23.93 € / Kg,Frutta e verdura,0.15 kg
Ventura BBPlus Bio Difesa Anacardio  100 g,28.90 € / Kg,Frutta e verdura,0.1 kg
Ventura BBPlus Bio Difesa Mandorla  100 g,28.90 € / Kg,Frutta e verdura,0.1 kg
Ventura BBPlus Bio Difesa Nocciola  100 g,28.90 € / Kg,Frutta e verdura,0.1 kg
NOCI USA (CALIFORNIA) I  32  (10kg),8.90 € / Kg,Frutta e verdura,10.0 kg
SUGO D'UVA NERA 150g,6.53 € / Kg,Frutta e verdura,0.15 kg
FARINA COCCO BIO S/G SARCHIO 350g,7.97 € / Kg,Frutta e verdura,0.35 kg
PISTACCHI 18/20 USA VASCHETTA,29.90 € / Kg,Frutta e verdura,
CONAD Percorso Qualità Aglio Bianco Secco Italia cal. 45/60 125 g,9.4 € / Kg,Frutta e verdura,0.125 kg
Aglio Rosso Secco Percorso Qualità Percorso Qualità Conad,7.25 € / Kg,Frutta e verdura,
Aromi Misti per Brodo Italia Vassoio 300g,6.60 € / Kg,Frutta e verdura,0.3 kg
"Carote Italia cal. 20/45 0,750 kg Percorso Qualità Conad",2.25 € / Kg,Frutta e verdura,0.75 kg
"Carote Italia cal. min 10 mm 0,500 kg Verso Natura Conad",5.36 € / Kg,Frutta e verdura,0.5 kg
Carotine Italia Cat. I Vassoio 250g,3.96 € / Kg,Frutta e verdura,0.25 kg
CONAD Percorso Qualità Scalogno Francia Cal. 30/45mm 250 g,5.96 € / Kg,Frutta e verdura,0.25 kg
Bietola Da Costa Italia Cat. I,1.98 € / Kg,Frutta e verdura,
Percorso Qualità Finocchi Italia Cat. I CONAD,3.0 € / Kg,Frutta e verdura,
Finocchi Italia cal. 80-100 650g Percorso Qualità Conad,4.58 € / Kg,Frutta e verdura,0.65 kg
Funghi Champignon Affettati Conad,9.93 € / Kg,Frutta e verdura,
Funghi Champignon Bianco Italia 500 g Percorso Qualità Conad,4.38 € / Kg,Frutta e verdura,0.5 kg
Indivia Belga Cat. I Vassoio da 500g,3.96 € / Kg,Frutta e verdura,0.5 kg
Lattuga Iceberg Italia 400 g Percorso Qualità Conad,4.95 € / Kg,Frutta e verdura,0.4 kg
Percorso Qualità Lattuga Iceberg Cal. 200 Cat. I Flowpack 400g CONAD GERMANIA,4.95 € / Kg,Frutta e verdura,0.4 kg
Lattuga Gentile Italia Cal. 250 Cat. I,2.48 € / Kg,Frutta e verdura,
Lattuga Trocadero Italia Cal. 300 Cat. I,1.98 € / Kg,Frutta e verdura,
"Patate Colomba Italia cal. 45/75 2,0 kg Percorso Qualità Conad",1.84 € / Kg,Frutta e verdura,2.0 kg
"Patate Novelle Italia cal. 45/75 1,5 kg Percorso Qualità Conad",2.45 € / Kg,Frutta e verdura,1.5 kg
"Patate Rosse Labella Italia cal. 45/75 1,5kg Percorso Qualità Conad",2.45 € / Kg,Frutta e verdura,1.5 kg
Patate Italia Cat. I,1.98 € / Kg,Frutta e verdura,
Peperoni Gialli Italia Cal. 80/110 Cat. I,3.98 € / Kg,Frutta e verdura,
Peperoni Rossi Italia Cal. 80/110 Cat. I,3.98 € / Kg,Frutta e verdura,
Pomodoro Ciliegia a Grappolo Italia 500 g Percorso Qualità Conad,4.9 € / Kg,Frutta e verdura,0.5 kg
Pomodoro Cocktail Mini Oblungo Italia Cal. 25-35 mm 500 g Percorso Qualità Conad,5.36 € / Kg,Frutta e verdura,0.5 kg
Pomodoro il camone 300 g Sapori & Dintorni Conad,7.60 € / Kg,Frutta e verdura,0.3 kg
Pomodoro Oblungo Verde Italia Cal. 47/57 Cat. I,3.0 € / Kg,Frutta e verdura,
Pomodoro Cuore di Bue Italia Cal. 57/67 Cat. I Vaschetta 500g,5.96 € / Kg,Frutta e verdura,0.5 kg
Pomodoro Cuore di Bue Italia Cal. 82/102 Cat. I,3.78 € / Kg,Frutta e verdura,
Pomodoro Rosso a Grappolo Cat. I OLANDA,2.98 € / Kg,Frutta e verdura,
Radicchio Rosso Tondo Italia Cat. I,2.48 € / Kg,Frutta e verdura,
Ravanelli Rossi Italia Cat. I Vassoio 100g,9.9 € / Kg,Frutta e verdura,0.1 kg
CONAD Percorso Qualità Sedano Cuore Spagna 500 g,3.30 € / Kg,Frutta e verdura,0.5 kg
Sedano Cuore Italia 500 g Percorso Qualità Conad,3.30 € / Kg,Frutta e verdura,0.5 kg
Rucola 125 g Percorso Qualità Conad,12.6 € / Kg,Frutta e verdura,0.125 kg
Bietoline 500 g Percorso Qualità Conad,5.96 € / Kg,Frutta e verdura,0.5 kg
Carote Julienne 200 g Percorso Qualità Conad,6.45 € / Kg,Frutta e verdura,0.2 kg
Contadina 250 g Percorso Qualità Conad,5.56 € / Kg,Frutta e verdura,0.25 kg
Cuore di Iceberg 200 g Percorso Qualità Conad,9.95 € / Kg,Frutta e verdura,0.2 kg
Cuore di Lattuga 160 g Percorso Qualità Conad,8.69 € / Kg,Frutta e verdura,0.16 kg
Insalata mista con carote e spinacino 220 g Conad,5.41 € / Kg,Frutta e verdura,0.22 kg
Lattughino 70 g Percorso Qualità Conad,14.14 € / Kg,Frutta e verdura,0.07 kg
Mix & Gusta Feta DOP Olive Nere Crostini 140 g Conad,21.29 € / Kg,Frutta e verdura,0.14 kg
Mix & Gusta Mozzarella Pomodoro Datterino Crostini 135 g Conad,22.07 € / Kg,Frutta e verdura,0.135 kg
Mix & Gusta Olive Verdi Grana Padano DOP Crostini 120 g Conad,24.83 € / Kg,Frutta e verdura,0.12 kg
Mix & Gusta Pomodoro Datterino Noci Grana Padana DOP Crostini 145 g Conad,20.55 € / Kg,Frutta e verdura,0.145 kg
Orientale 125 g Percorso Qualità Conad,11.12 € / Kg,Frutta e verdura,0.125 kg
Radicchio e Valeriana 150 g Percorso Qualità Conad,9.27 € / Kg,Frutta e verdura,0.15 kg
Spinaci 500 g Percorso Qualità Conad,5.56 € / Kg,Frutta e verdura,0.5 kg
Valeriana 70 g Percorso Qualità Conad,18.43 € / Kg,Frutta e verdura,0.07 kg
Bonduelle l'Originale Armonia 170 g,13.2 € / Kg,Frutta e verdura,0.17 kg
Bonduelle Carta delle Insalate Ricetta Deliziosa 90 g,11.00 € / Kg,Frutta e verdura,0.09 kg
Bonduelle Carta delle Insalate Ricetta Gustosa 150 g,16.60 € / Kg,Frutta e verdura,0.15 kg
Bonduelle Carta delle Insalate Ricetta Saporita 80 g,12.38 € / Kg,Frutta e verdura,0.08 kg
Bonduelle Mix Prezioso 70 g,14.29 € / Kg,Frutta e verdura,0.07 kg
Pannocchie di Mais Dolce cotte a Vapore 400 g Conad,6.20 € / Kg,Frutta e verdura,0.4 kg
Patate cotte a Vapore 500 g Conad,4.96 € / Kg,Frutta e verdura,0.5 kg
Rape Rosse cotte a Vapore 500 g Conad,2.98 € / Kg,Frutta e verdura,0.5 kg
"Zucchine Bio Italia cal. 14-21 cm 0,700 kg Verso Natura Conad",5.6 € / Kg,Frutta e verdura,0.7 kg
"Zucchino Chiaro Italia cal. 14/21 0,600 kg Percorso Qualità Conad",5.80 € / Kg,Frutta e verdura,0.6 kg
"Zucchino Verde Scuro Italia Cal 15/21 0,600 kg Percorso Qualità Conad",4.97 € / Kg,Frutta e verdura,0.6 kg
ASPARAGI V. I 12-16 ITA mz.500g,7.9 € / Kg,Frutta e verdura,0.5 kg
CIPOLLA DORATA II  NDL rt.500g,2.96 € / Kg,Frutta e verdura,0.5 kg
FAGIOLINI I  MAR 250g (spuntati),0.01 € / conf,Frutta e verdura,0.25 kg
FAGIOLINI I MEDI MAR bs.500g,0.00 €/Kg,Frutta e verdura,0.5 kg
TACCOLE I  MAR vas.500g.,0.01 € / conf,Frutta e verdura,0.5 kg
DOLCI V. I ITA FRIGGITELLI 250g,7.92 € / Kg,Frutta e verdura,0.25 kg
ORIGANO SECCO A MAZZO 30g,66.33 € / Kg,Frutta e verdura,0.03 kg
SALVIA ITA vasch.30g,33.00 € / Kg,Frutta e verdura,0.03 kg
TONDO GRAPPOLO  I  N.CAL.ITA,3.48 € / Kg,Frutta e verdura,
RADICI DI ZENZERO PERU' (ginger),4.98 € / Kg,Frutta e verdura,
RISO VENERE MEDITERRANEA DDS 120g,29.0 € / Kg,Frutta e verdura,0.12 kg
CARCIOFO A SPICCHI AL VAPORE 250g,11.92 € / Kg,Frutta e verdura,0.25 kg
PIATTO UNICO GRECA DIMMIDISI'210 GR,16.62 € / Kg,Frutta e verdura,
FIORI DI ZUCCHINE ITA vasch.60g,38.00 € / Kg,Frutta e verdura,0.06 kg
Mix per colazione 150g Verso Natura Bio Conad,16.67 € / Kg,Frutta e verdura,0.15 kg
Mix per Insalata Biologico 150 g Verso Natura Conad,14.33 € / Kg,Frutta e verdura,0.15 kg
"Mix per Pane Semi di Sesamo, papavero e lino Biologico 150 g Verso Natura Bio Conad",14.33 € / Kg,Frutta e verdura,0.15 kg
Papavero Semi 115 g Conad,22.17 € / Kg,Frutta e verdura,0.115 kg
Semi di Chia Biologici 150 g Verso Natura Bio Conad,16.60 € / Kg,Frutta e verdura,0.15 kg
Semi di girasole decorticati 150g Verso Natura Bio Conad,9.27 € / Kg,Frutta e verdura,0.15 kg
Semi di lino 150g Verso Natura Bio Conad,9.27 € / Kg,Frutta e verdura,0.15 kg
Semi di Sesamo Biologici 150 g Verso Natura Bio Conad,10.60 € / Kg,Frutta e verdura,0.15 kg
Semi di Zucca 250 g Conad,9.56 € / Kg,Frutta e verdura,0.25 kg
Semi di zucca decorticati 150g Verso Natura Bio,18.33 € / Kg,Frutta e verdura,0.15 kg
Sesamo Semi 120 g Conad,21.25 € / Kg,Frutta e verdura,0.12 kg
"Noberasco € 0,99 Semi di Zucca Decorticati 50 g",19.80 € / Kg,Frutta e verdura,0.05 kg
"Noberasco € 0,99 Semi di Zucca Tostati 50 g",19.80 € / Kg,Frutta e verdura,0.05 kg
COUS COUS NUOVA TERRA 400g,5.95 € / Kg,Frutta e verdura,0.4 kg
CREMOLATA RAP.CANNEL/FUN N.TERRA160,248.75 € / Kg,Frutta e verdura,
FANTASIA SEMI BIO SARCHIO 180g,15.83 € / Kg,Frutta e verdura,0.18 kg
FARRO PERLATO BIO SARCHIO SAC.400g,7.45 € / Kg,Frutta e verdura,0.4 kg
FARRO PERLATO NUOVA TERRA 400g,6.45 € / Kg,Frutta e verdura,0.4 kg
ORZO PERLATO BIO SARCHIO 400g,6.45 € / Kg,Frutta e verdura,0.4 kg
SEMI GIRASOLE BIO SARCHIO 150g,14.33 € / Kg,Frutta e verdura,0.15 kg
SEMI ZUCCA BIO SARCHIO 150g,20.60 € / Kg,Frutta e verdura,0.15 kg
ZUPPE RAP. N.TERRA BOSCAIOLA 180g,22.11 € / Kg,Frutta e verdura,0.18 kg
ZUPPE RAP. N.TERRA LENTICCHIE 180g,22.11 € / Kg,Frutta e verdura,0.18 kg
ZUPPE RAPIDE  N.TERRA  LEGUMI 180g,16.56 € / Kg,Frutta e verdura,0.18 kg
ZUPPE RAPIDE  N.TERRA  MIGLIO 160g,18.62 € / Kg,Frutta e verdura,0.16 kg
ZUPPE RAPIDE  N.TERRA CECI 180g,16.56 € / Kg,Frutta e verdura,0.18 kg
Cous Cous 250 g Conad,7.96 € / Kg,Frutta e verdura,0.25 kg
Cous Cous 500 g Conad,2.98 € / Kg,Frutta e verdura,0.5 kg
Cous Cous Integrale 500 g Conad,2.98 € / Kg,Frutta e verdura,0.5 kg
