,Product,unit Price,Category,Unit Price [€],Unit Type,Quantity [units],Quantity,Unit of measure,Product Price [€]
0,Carrefour Correttore a nastro maxi 5x12 mm,"€ 1,89 al
pz/1.0 pz",articoli per la casa,1.89,pz,1.0 pz,1.0,pz,1.89
1,Carrefour Confezione di 4 Penne a Sfera Blu Penna a sfera Medio 4 pz,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
2,Carrefour Forbici punte arrotondate 17cm,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
3,Carrefour Confezione di 4 Penne a Sfera Nero Penna a sfera Medio 4 pz,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
4,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 5mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
5,Carrefour 4 Penne a sfera colori assortiti,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
6,Carrefour 2 Nastri Trasparenti 25mx19mm,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
7,Carrefour 2 Colle Stick 20G-20G,"€ 3,19 al
pz/1.0 pz",articoli per la casa,3.19,pz,1.0 pz,1.0,pz,3.19
8,Carrefour 24 matite colorate,"€ 4,89 al
pz/1.0 pz",articoli per la casa,4.89,pz,1.0 pz,1.0,pz,4.89
9,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 1R,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
10,Carrefour Temperamatite manuale Metallico,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
11,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura Q,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
12,Carrefour 2 Gomme Plastica,"€ 0,99 al
pz/1.0 pz",articoli per la casa,0.99,pz,1.0 pz,1.0,pz,0.99
13,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 10mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
14,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura C,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
15,Carrefour Quaderno A4 punto metallico con copertina in cartoncino e rigatura 4mm,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
16,Carrefour Correttori a nastro 3 pezzi 5mmx6M,"€ 3,49 al
pz/1.0 pz",articoli per la casa,3.49,pz,1.0 pz,1.0,pz,3.49
17,Staedtler Mars 3 mini gomme plastic,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
18,Pigna Quaderno A5 monocromo a righe colori assortiti,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
19,STABILO Evidenziatore - BOSS ORIGINAL - Pack da 2 - Giallo,"€ 3,29 al
pz/1.0 pz",articoli per la casa,3.29,pz,1.0 pz,1.0,pz,3.29
20,Viquel Carrefour Portaprogetti Polypr. 25mm,"€ 3,39 al
pz/1.0 pz",articoli per la casa,3.39,pz,1.0 pz,1.0,pz,3.39
21,Staedtler 2 matite noris 0=2B,"€ 2,19 al
pz/1.0 pz",articoli per la casa,2.19,pz,1.0 pz,1.0,pz,2.19
22,Carrefour Righello cm 20,"€ 0,99 al
pz/1.0 pz",articoli per la casa,0.99,pz,1.0 pz,1.0,pz,0.99
23,FILA Giotto Stilnovo 36 Pastelli colorati,"€ 13,99 al
pz/1.0 pz",articoli per la casa,13.99,pz,1.0 pz,1.0,pz,13.99
24,BALMAR 2000 Copertina per quaderno A4 rosso laccato 180μm,"€ 1,69 al
pz/1.0 pz",articoli per la casa,1.69,pz,1.0 pz,1.0,pz,1.69
25,Pilot 3800268 penna a sfera Blu Medio 6 pz,"€ 11,50 al
pz/1.0 pz",articoli per la casa,11.5,pz,1.0 pz,1.0,pz,11.5
26,Carrefour 10+10pz Pile AA stilo,"€ 8,79 al
pz/1.0 pz",articoli per la casa,8.79,pz,1.0 pz,1.0,pz,8.79
27,"Carrefour Adattatore con spina 10A 2P+T e presa 10-16A 2P+T (standard Italiano 10A e tedesco 16A con terra laterale), IMQ, CE","€ 2,39 al
pz/1.0 pz",articoli per la casa,2.39,pz,1.0 pz,1.0,pz,2.39
28,Pigna Quaderno Monocromo A4 quadretti 5mm per tutte le classi colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
29,Blasetti Colorclub PPL A4 Quaderno a spirale 1R,"€ 3,19 al
pz/1.0 pz",articoli per la casa,3.19,pz,1.0 pz,1.0,pz,3.19
30,Carrefour Simpl Set Padelle 20-24-28 cm Antiaderente,"€ 14,90 al
pz/1.0 pz",articoli per la casa,14.9,pz,1.0 pz,1.0,pz,14.9
31,Save Up LED Goccia 75W Calda E27 3pz,"€ 8,49 al
pz/1.0 pz",articoli per la casa,8.49,pz,1.0 pz,1.0,pz,8.49
32,Pigna Quaderno Monocromo A4 righe classiche per medie/superiori colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
33,Pigna Quaderno Monocromo A4 quadretti 4mm con margini per elementari/medie colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
34,Pigna Quaderno Monocromo A4 righe C 4a/5a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
35,Pigna Quaderno Monocromo A4 righe B 3a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
36,PaperDream Quaderno a spirale Animal Friends A4 rigatura 5M,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
37,PaperDream Quaderno a spirale Animal Friends A5 rigatura 5M,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
38,PaperDream Maxi quaderno Animal Friends A4 100gr rigatura 1R,"€ 2,49 al
pz/1.0 pz",articoli per la casa,2.49,pz,1.0 pz,1.0,pz,2.49
39,PaperDream Quaderno a spirale Animal Friends A4 rigatura 1R,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
40,Aeternum Casseruola 2 manici Madame Petravera 20 cm,"€ 28,90 al
pz/1.0 pz",articoli per la casa,28.9,pz,1.0 pz,1.0,pz,28.9
41,Carrefour Home Bistecchiera quadrata 28x28 cm per induzione con rivestimento effetto pietra,"€ 26,90 al
pz/1.0 pz",articoli per la casa,26.9,pz,1.0 pz,1.0,pz,26.9
42,Oxford Quaderno spiralato Favorit A4 Neon 5MM,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
43,"Beurer Ks 25 Bilancia Digitale Da Cucina Con Ciotola, Nero, 22 x 15 x 5 Cm","€ 28,90 al
pz/1.0 pz",articoli per la casa,28.9,pz,1.0 pz,1.0,pz,28.9
44,Pigna Quaderno Monocromo A4 quadretti 4mm per elementari/medie colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
45,Pigna Quaderno Monocromo A4 quadrettoni 10mm 1a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
46,Pigna Quaderno Monocromo A4 righe A 1a/2a elementare colori assortiti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
47,Pattex Millechiodi Original blister 100g,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
48,So.di.fer Forbici multifunzione da 210mm,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
49,Bostik Superchiaro 50 g,"€ 4,69 al
pz/1.0 pz",articoli per la casa,4.69,pz,1.0 pz,1.0,pz,4.69
50,LOCTITE Kintsuglue bianco 3 x 5 g,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
51,Carrefour 65 strumenti + Borsa,"€ 34,90 al
pz/1.0 pz",articoli per la casa,34.9,pz,1.0 pz,1.0,pz,34.9
52,So.di.fer Spazzola a mano modello Spid,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
53,So.di.fer Cutter con lama a settori da 18mm con corpo in plastica,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
54,So.di.fer Cacciavite Plus Pozidrive PZ15X080,"€ 4,29 al
pz/1.0 pz",articoli per la casa,4.29,pz,1.0 pz,1.0,pz,4.29
55,So.di.fer Serie di 8 chiavi combinate in acciaio al carbonio,"€ 10,90 al
pz/1.0 pz",articoli per la casa,10.9,pz,1.0 pz,1.0,pz,10.9
56,So.di.fer Cutter con 3 lame a settori da 18mm interne con corpo in plastica,"€ 6,29 al
pz/1.0 pz",articoli per la casa,6.29,pz,1.0 pz,1.0,pz,6.29
57,So.di.fer Cutter con lama a settori da 9mm interna con corpo in plastica,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
58,So.di.fer Cacciavite di precisione per viti con impronta a taglio e a croce Phillips,"€ 4,49 al
pz/1.0 pz",articoli per la casa,4.49,pz,1.0 pz,1.0,pz,4.49
59,So.di.fer Pinza grip autobloccante regolabile in acciaio da 250mm,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
60,So.di.fer FORBICE PLUS ELET INOX MM145,"€ 10,50 al
pz/1.0 pz",articoli per la casa,10.5,pz,1.0 pz,1.0,pz,10.5
61,"So.di.fer Raschietto multiuso in plastica da 140mm, con lama","€ 2,49 al
pz/1.0 pz",articoli per la casa,2.49,pz,1.0 pz,1.0,pz,2.49
62,So.di.fer Flessometro bicolore 5mt,"€ 9,99 al
pz/1.0 pz",articoli per la casa,9.99,pz,1.0 pz,1.0,pz,9.99
63,So.di.fer Guanto in poliestere puntinato in PVC,"€ 2,19 al
pz/1.0 pz",articoli per la casa,2.19,pz,1.0 pz,1.0,pz,2.19
64,So.di.fer Martello Plus da banco 200gr,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
65,So.di.fer Rotolo carta abrasiva 80gr,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
66,So.di.fer Carta silicata 6 fogli assortiti,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
67,Bostik Super Trasparente 50 g,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
68,Bostik Grizzly Montage Power 250 g,"€ 7,99 al
pz/1.0 pz",articoli per la casa,7.99,pz,1.0 pz,1.0,pz,7.99
69,"Stanley Cassetta 16"" 40.6X20.5X19.5cm","€ 16,90 al
pz/1.0 pz",articoli per la casa,16.9,pz,1.0 pz,1.0,pz,16.9
70,Pattex Repair Extreme 20g,"€ 9,99 al
pz/1.0 pz",articoli per la casa,9.99,pz,1.0 pz,1.0,pz,9.99
71,Duracell Plus AA Batterie Stilo Alcaline 1.5V LR06 MX1500 Pile Duracell confezione da 4 Pile Duracel,"€ 5,59 al
pz/1.0 pz",articoli per la casa,5.59,pz,1.0 pz,1.0,pz,5.59
72,Duracell Plus AAA Batterie Ministilo Alcaline 1.5V LR03 MN2400 confezione da 4 Pile Duracell,"€ 5,59 al
pz/1.0 pz",articoli per la casa,5.59,pz,1.0 pz,1.0,pz,5.59
73,Carrefour 10+10pz Pile AAA ministilo,"€ 8,79 al
pz/1.0 pz",articoli per la casa,8.79,pz,1.0 pz,1.0,pz,8.79
74,Carrefour A4 carta inkjet A4 80g (210x297 mm) 500 fogli bianco,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
75,One Day + Igiene Mascherine FFP2 Colors Blu 5 pz,"€ 2,50 al
 pz/1.0 pz",articoli per la casa,2.5, pz,1.0 pz,1.0,pz,2.5
76,5 mascherine FFP2/KN95,"€ 2,50 al
pz/1.0 pz",articoli per la casa,2.5,pz,1.0 pz,1.0,pz,2.5
77,Carrefour Cartafotocopie A4 500 fogli 80 g/m²,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
78,Carrefour Contenitore Ermetico,"€ 0,79 al
pz/1.0 pz",articoli per la casa,0.79,pz,1.0 pz,1.0,pz,0.79
79,Loctite Super Attak Precision 5 g,"€ 5,79 al
pz/1.0 pz",articoli per la casa,5.79,pz,1.0 pz,1.0,pz,5.79
80,Poly Pool Adattatore Multisize con Spina 10A prese Pluristandart Bianco,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
81,Philips Led goccia filamento 120W E27 2700K,"€ 14,90 al
pz/1.0 pz",articoli per la casa,14.9,pz,1.0 pz,1.0,pz,14.9
82,Fabriano Carta per fotocopie Hyper White A4 80g/m² 500ff PPL,"€ 7,49 al
pz/1.0 pz",articoli per la casa,7.49,pz,1.0 pz,1.0,pz,7.49
83,Carrefour Registratore protocollo dorso 8 Oblò,"€ 3,29 al
pz/1.0 pz",articoli per la casa,3.29,pz,1.0 pz,1.0,pz,3.29
84,Opharm 10 mascherine FFP2 Nere,"€ 5,00 al
pz/1.0 pz",articoli per la casa,5.0,pz,1.0 pz,1.0,pz,5.0
85,Carrefour 6 Pile ministilo,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
86,Opharm 10 mascherine FFP2 Bianche,"€ 5,00 al
pz/1.0 pz",articoli per la casa,5.0,pz,1.0 pz,1.0,pz,5.0
87,Carrefour 4 Pile lition CR2032,"€ 4,19 al
pz/1.0 pz",articoli per la casa,4.19,pz,1.0 pz,1.0,pz,4.19
88,Simpl 8 pile ministilo AAA,"€ 2,59 al
pz/1.0 pz",articoli per la casa,2.59,pz,1.0 pz,1.0,pz,2.59
89,Belli e Forti Frigobox Frigobella Quad 1Lt,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
90,"Poly Pool Adattatore MULTISIZE spina 10A, 1 presa 10/16A (standard italiano 10-16A e tedesco 16A 2P+T con terra laterale), 2 prese 10-16A, interruttore di sicurezza, CE","€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
91,Carrefour Matite Colorate,"€ 0,69 al
pz/1.0 pz",articoli per la casa,0.69,pz,1.0 pz,1.0,pz,0.69
92,Belli e Forti Frigobox Frigobella Rett 0.5Lt,"€ 0,99 al
pz/1.0 pz",articoli per la casa,0.99,pz,1.0 pz,1.0,pz,0.99
93,Carrefour Confezione 50 Buste A Perforazione Universale Alto Spessore Finitura Liscia foglio di protezione 210 x 297 mm (A4) Polipropilene (PP) 50 pz,"€ 4,79 al
pz/1.0 pz",articoli per la casa,4.79,pz,1.0 pz,1.0,pz,4.79
94,Post-it Notes Giallo 76 mm x 76 mm 100 foglietti 1 pz,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
95,Carrefour Nastro imballo avana 66x50,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
96,Energizer Max AA 4 pz,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
97,Carrefour Liquido Lavavetro -10° Pluristagionale,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
98,Brita Filtri per acqua MAXTRA+ Pack 3 - per 3 mesi di filtrazione,"€ 24,90 al
pz/1.0 pz",articoli per la casa,24.9,pz,1.0 pz,1.0,pz,24.9
99,"Carrefour Adattatore pluristandard con spina 16A 2P+T, 2 prese bivalenti 10/16A 2P+T e 1 presa 10-16A 2P+T (stand. italiano 10A e tedesco 16A con terra laterale),IMQ, CE","€ 3,49 al
pz/1.0 pz",articoli per la casa,3.49,pz,1.0 pz,1.0,pz,3.49
100,Carrefour 12 Pennarelli punta larga,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
101,WOOD LIVING Cucchiaio 35 cm in faggio,"€ 1,39 al
pz/1.0 pz",articoli per la casa,1.39,pz,1.0 pz,1.0,pz,1.39
102,Ghidini Cipriano Set 6 Pz Molle Chiudisacchetto,"€ 2,69 al
pz/1.0 pz",articoli per la casa,2.69,pz,1.0 pz,1.0,pz,2.69
103,FA.BO.SS Bi-Pack Borse Termiche in Poliestere 24+7L,"€ 9,90 al
pz/1.0 pz",articoli per la casa,9.9,pz,1.0 pz,1.0,pz,9.9
104,WOOD LIVING Forchetta 30 cm in faggio,"€ 1,39 al
pz/1.0 pz",articoli per la casa,1.39,pz,1.0 pz,1.0,pz,1.39
105,Bormioli Rocco 2 Tappi Barattoli Bormoli 70 mm,"€ 1,39 al
pz/1.0 pz",articoli per la casa,1.39,pz,1.0 pz,1.0,pz,1.39
106,Carrefour 48 Etichette bianche 24X35mm,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
107,Rhütten Additivo Adblue 5L,"€ 11,90 al
pz/1.0 pz",articoli per la casa,11.9,pz,1.0 pz,1.0,pz,11.9
108,Carrefour 6 Pile stilo,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
109,Kaimano Coltello speciale bistecca cm 11.5 Marrone 6 pz,"€ 9,49 al
pz/1.0 pz",articoli per la casa,9.49,pz,1.0 pz,1.0,pz,9.49
110,Kinzo Feltrini,"€ 0,79 al
pz/1.0 pz",articoli per la casa,0.79,pz,1.0 pz,1.0,pz,0.79
111,"Heidrun 1806 contenitore da cucina Set di contenitori universali 0,9 L","€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
112,Simpl 8 pile stilo AA,"€ 2,59 al
pz/1.0 pz",articoli per la casa,2.59,pz,1.0 pz,1.0,pz,2.59
113,Arexons Olio Motore ARX 5W30,"€ 39,90 al
pz/1.0 pz",articoli per la casa,39.9,pz,1.0 pz,1.0,pz,39.9
114,Carrefour 18 Etichette Bianche,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
115,Loctite Super Attak Original Plus 3 g,"€ 4,19 al
pz/1.0 pz",articoli per la casa,4.19,pz,1.0 pz,1.0,pz,4.19
116,Bic Mega Lighter Happy,"€ 5,19 al
pz/1.0 pz",articoli per la casa,5.19,pz,1.0 pz,1.0,pz,5.19
117,Philips Led candela vetro 25W E14 2700K,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
118,HP Confezione da 2 cartucce d'inchiostro nero/tricromia originali 302,"€ 43,99 al
pz/1.0 pz",articoli per la casa,43.99,pz,1.0 pz,1.0,pz,43.99
119,"Scotch Crystal 19 mm x 7,5 m","€ 1,75 al
pz/1.0 pz",articoli per la casa,1.75,pz,1.0 pz,1.0,pz,1.75
120,HP Cartuccia originale inchiostro nero 301,"€ 22,99 al
pz/1.0 pz",articoli per la casa,22.99,pz,1.0 pz,1.0,pz,22.99
121,Bic Slim 2 accendini,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
122,Energizer 2032 Lithium 2 pz,"€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
123,Philips Led goccia vetro 75W E27 2700K,"€ 7,99 al
pz/1.0 pz",articoli per la casa,7.99,pz,1.0 pz,1.0,pz,7.99
124,Fackelmann Forbici Cucina in acciaio inox-idonee anche per mancini,"€ 8,90 al
pz/1.0 pz",articoli per la casa,8.9,pz,1.0 pz,1.0,pz,8.9
125,"Carrefour Adattatore pluristandard con spina 10A 2P+T, 2 prese 10A 2P+T e 1 presa 10-16A 2P+T(standard italiano 10A e tedesco 16A con terra laterale), IMQ, CE","€ 3,49 al
pz/1.0 pz",articoli per la casa,3.49,pz,1.0 pz,1.0,pz,3.49
126,"Poly Pool Presa multipla con 4 uscite bivalenti 10/16A 2P+T, 2 uscite 10-16A 2P+T (st. Italiano10/16A e tedesco 16A con terra laterale) e con interruttore luminoso, 1,5m cavo H05VV-F 3X1mmq con spina 16A 2P+T, CSV-IMQ, CE","€ 9,99 al
pz/1.0 pz",articoli per la casa,9.99,pz,1.0 pz,1.0,pz,9.99
127,50 mascherine chirurgiche,"€ 6,00 al
pz/1.0 pz",articoli per la casa,6.0,pz,1.0 pz,1.0,pz,6.0
128,Bialetti Grill 14x14 Petravera,"€ 11,90 al
pz/1.0 pz",articoli per la casa,11.9,pz,1.0 pz,1.0,pz,11.9
129,Giotto Stilnovo pastelli colorati in astuccio 24 colori,"€ 9,49 al
pz/1.0 pz",articoli per la casa,9.49,pz,1.0 pz,1.0,pz,9.49
130,Loctite Super Attak Comfort Gel 3g,"€ 5,29 al
pz/1.0 pz",articoli per la casa,5.29,pz,1.0 pz,1.0,pz,5.29
131,Energizer Max AAA 8 pz,"€ 6,49 al
pz/1.0 pz",articoli per la casa,6.49,pz,1.0 pz,1.0,pz,6.49
132,Carioca Tita 24 pastelli colorati,"€ 4,99 al
pz/1.0 pz",articoli per la casa,4.99,pz,1.0 pz,1.0,pz,4.99
133,Philips Led faretto in vetro 35W GU10 2700K GU10,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
134,Philips Led goccia vetro 100W E27 2700K,"€ 10,90 al
pz/1.0 pz",articoli per la casa,10.9,pz,1.0 pz,1.0,pz,10.9
135,Blasetti Colorclub PPL A4 Quaderno a spirale 5M,"€ 3,19 al
pz/1.0 pz",articoli per la casa,3.19,pz,1.0 pz,1.0,pz,3.19
136,Carrefour Torre 5 Nastri Adesivi,"€ 1,59 al
pz/1.0 pz",articoli per la casa,1.59,pz,1.0 pz,1.0,pz,1.59
137,So.di.fer Scopino con fiocco per WC,"€ 2,29 al
pz/1.0 pz",articoli per la casa,2.29,pz,1.0 pz,1.0,pz,2.29
138,BALMAR 2000 Copertina per quaderno A4 blu laccato 180μm,"€ 1,69 al
pz/1.0 pz",articoli per la casa,1.69,pz,1.0 pz,1.0,pz,1.69
139,Carrefour Penne correttori 3 pezzi,"€ 4,19 al
pz/1.0 pz",articoli per la casa,4.19,pz,1.0 pz,1.0,pz,4.19
140,Pritt Colla Stick 22g - bl 2pz,"€ 5,99 al
pz/1.0 pz",articoli per la casa,5.99,pz,1.0 pz,1.0,pz,5.99
141,Carrefour 6 pile I-Tech ministilo AAA,"€ 5,19 al
pz/1.0 pz",articoli per la casa,5.19,pz,1.0 pz,1.0,pz,5.19
142,Carrefour Set Coltelli Bistecca 6 Pz,"€ 2,59 al
pz/1.0 pz",articoli per la casa,2.59,pz,1.0 pz,1.0,pz,2.59
143,Simpl LED Goccia 60W E27 WW,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
144,Simpl LED Candela 40W E14 WW,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
145,Simpl LED Sferica 40W E27 WW,"€ 1,99 al
pz/1.0 pz",articoli per la casa,1.99,pz,1.0 pz,1.0,pz,1.99
146,Carrefour Colla Stick,"€ 0,79 al
pz/1.0 pz",articoli per la casa,0.79,pz,1.0 pz,1.0,pz,0.79
147,Duracell MN21 Batteria Alcalina Specialistica 12V confezione da 2 A23 23A V23GA LRV08 8LR932,"€ 4,69 al
pz/1.0 pz",articoli per la casa,4.69,pz,1.0 pz,1.0,pz,4.69
148,Duracell 2032 Batteria Bottone al Litio Specialistica 3V pacco da 4 pile con Tecnologia Baby Secure,"€ 7,59 al
pz/1.0 pz",articoli per la casa,7.59,pz,1.0 pz,1.0,pz,7.59
149,Belli e Forti Frigobox Frigobella Rett 1Lt,"€ 1,49 al
pz/1.0 pz",articoli per la casa,1.49,pz,1.0 pz,1.0,pz,1.49
150,FILA Giotto Turbo Maxi 12 pennarelli - Diametro punta 5mm,"€ 4,99 al
 pz/1.0 pz",articoli per la casa,4.99, pz,1.0 pz,1.0,pz,4.99
151,"Fackelmann Colino in acciaio inox 18/10, ø 10.5 cm","€ 4,90 al
pz/1.0 pz",articoli per la casa,4.9,pz,1.0 pz,1.0,pz,4.9
152,Carrefour Contenitore Per Alimenti,"€ 2,99 al
pz/1.0 pz",articoli per la casa,2.99,pz,1.0 pz,1.0,pz,2.99
153,"Heidrun 1809 contenitore da cucina Set di contenitori universali 1,2 L","€ 4,49 al
pz/1.0 pz",articoli per la casa,4.49,pz,1.0 pz,1.0,pz,4.49
154,TEX HOME Telo Mare Microfibra Maxi Tex,"€ 15,99 al
pz/1.0 pz",articoli per la casa,15.99,pz,1.0 pz,1.0,pz,15.99
155,"FILA Astuccio 24 Giotto Turbo Color - Diametro Punta 2,8Mm","€ 3,99 al
pz/1.0 pz",articoli per la casa,3.99,pz,1.0 pz,1.0,pz,3.99
156,Arexons Svitol Technik Casa Nuovo Erogatore,"€ 6,99 al
pz/1.0 pz",articoli per la casa,6.99,pz,1.0 pz,1.0,pz,6.99
157,Fabriano Blocco da disegno 20FG. F4 24X33cm liscio,"€ 6,69 al
pz/1.0 pz",articoli per la casa,6.69,pz,1.0 pz,1.0,pz,6.69
158,Loctite Super Attak Easy Brush 5 g,"€ 6,49 al
pz/1.0 pz",articoli per la casa,6.49,pz,1.0 pz,1.0,pz,6.49
159,Pilot Gomma Remover Per Inchiostro Frixion,"€ 2,79 al
pz/1.0 pz",articoli per la casa,2.79,pz,1.0 pz,1.0,pz,2.79
160,Carrefour 52130 nastro adesivo Adatto per uso interno Adatto per uso esterno 45 m Trasparente,"€ 1,00 al
pz/1.0 pz",articoli per la casa,1.0,pz,1.0 pz,1.0,pz,1.0
161,Energizer Max AA Alkaline 8 pz,"€ 6,49 al
pz/1.0 pz",articoli per la casa,6.49,pz,1.0 pz,1.0,pz,6.49
162,Carrefour 4 Evidenziatori pocket fluo,"€ 2,79 al
pz/1.0 pz",articoli per la casa,2.79,pz,1.0 pz,1.0,pz,2.79
163,UHU patafix Gommini adesivi 80 pz,"€ 3,79 al
pz/1.0 pz",articoli per la casa,3.79,pz,1.0 pz,1.0,pz,3.79
164,Scotch Nastro Trasparente 15 mm x 33 m 4 pz,"€ 3,85 al
pz/1.0 pz",articoli per la casa,3.85,pz,1.0 pz,1.0,pz,3.85
165,Pilot 3 Ricariche Refill Frixion Rosso,"€ 6,29 al
pz/1.0 pz",articoli per la casa,6.29,pz,1.0 pz,1.0,pz,6.29
