,Category,Product,Price
2213,"LATTICINI, SALUMI E FORMAGGI","Ferrari, GranMix al pecorino grattugiato 100 g","Euro 17,90 / kg"
2214,"LATTICINI, SALUMI E FORMAGGI","Smart, Bresaola a fette 80 g","Euro 36,13 / kg"
2215,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, snack di Parmigiano Reggiano DOP conf. 5x20 g","Euro 24,60 / kg"
2216,"LATTICINI, SALUMI E FORMAGGI","Aia, Wudy classico wurstel 250 g","Euro 6,36 / kg"
2217,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Bontà e Linea latte UHT parzialmente scremato 1 l","Euro 1,79 / l"
2218,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Original  formaggio fresco spalmabile conf. 2x80 g","Euro 13,69 / kg"
2219,"LATTICINI, SALUMI E FORMAGGI","Smart, Edam a fette 150 g","Euro 10,41 / kg"
2220,"LATTICINI, SALUMI E FORMAGGI","Zymil, Latte UHT Alta Digeribilità Senza lattosio Buono Digeribile 1 l","Euro 2,09 / l"
2221,"LATTICINI, SALUMI E FORMAGGI","Smart, yogurt intero bianco 500 g","Euro 1,90 / kg"
2222,"LATTICINI, SALUMI E FORMAGGI","Smart, Emmental a fette 150 g","Euro 10,41 / kg"
2223,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia mozzarella 225 g - peso netto sgocc.125 g","Euro 11,92 / kg"
2224,"LATTICINI, SALUMI E FORMAGGI","Smart, latte microfiltrato intero 1 l","Euro 1,13 / l"
2225,"LATTICINI, SALUMI E FORMAGGI","Caseificio Valcolatte, Riccotta 250 g","Euro 7,16 / kg"
2226,"LATTICINI, SALUMI E FORMAGGI","Granarolo, latte intero 1 l","Euro 1,89 / l"
2227,"LATTICINI, SALUMI E FORMAGGI","Smart, scamorza affumicata 250 g","Euro 9,00 / kg"
2228,"LATTICINI, SALUMI E FORMAGGI","Smart, burro 500 g","Euro 9,56 / kg"
2229,"LATTICINI, SALUMI E FORMAGGI","Smart, pasta sfoglia rotonda 230 g","Euro 3,92 / kg"
2230,"LATTICINI, SALUMI E FORMAGGI","Nonno Nanni, stracchino 250 g","Euro 13,16 / kg"
2231,"LATTICINI, SALUMI E FORMAGGI","Smart, speck 120 g","Euro 16,59 / kg"
2232,"LATTICINI, SALUMI E FORMAGGI","Aia, Aequilibrium albume d'uovo pastorizzato 500 ml","Euro 3,98 / l"
2233,"LATTICINI, SALUMI E FORMAGGI","Citterio, Wuoi? Wurstel di puro suino 100 g","Euro 8,60 / kg"
2234,"LATTICINI, SALUMI E FORMAGGI","Smart, mix di formaggi grattugiati 300 g","Euro 8,91 / kg"
2235,"LATTICINI, SALUMI E FORMAGGI","Mila, Latte Fieno dell'Alto Adige parzialmente scremato 1 l","Euro 1,89 / l"
2236,"LATTICINI, SALUMI E FORMAGGI","Le Naturelle, 4 uova fresche biologiche","Euro 0,52 / pz"
2237,"LATTICINI, SALUMI E FORMAGGI","Smart, latte parzialmente scremato UHT a lunga conservazione 1 l","Euro 0,98 / l"
2238,"LATTICINI, SALUMI E FORMAGGI","Buitoni, La Sfoglia Rettangolare pasta sfoglia fresca rotolo 230 g","Euro 4,74 / kg"
2239,"LATTICINI, SALUMI E FORMAGGI","Smart, formaggio fresco spalmabile 200 g","Euro 5,45 / kg"
2240,"LATTICINI, SALUMI E FORMAGGI","Rovagnati, Granbiscotto prosciutto Cotto AQ affettato fresco  100 g","Euro 20,90 / kg"
2241,"LATTICINI, SALUMI E FORMAGGI","Milk, Kefir Bianco Naturale 480 g","Euro 2,90 / kg"
2242,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Più Giorni latte intero - da conservare in frigorifero 1 l","Euro 1,89 / l"
2243,"LATTICINI, SALUMI E FORMAGGI","Exquisa, Fitline fiocchi di latte con yogurt 150 g","Euro 9,01 / kg"
2244,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia tris mozzarella conf. 3x225 - peso netto sgocc. conf. 3x125 g","Euro 11,44 / kg"
2245,"LATTICINI, SALUMI E FORMAGGI","CAO Formaggi, Pecorino Romano DOP grattugiato 100 g","Euro 25,90 / kg"
2246,"LATTICINI, SALUMI E FORMAGGI","Danone, Yogoloso Super Mario yogurt con fragola frullata conf. 2x110 g","Euro 6,78 / kg"
2247,"LATTICINI, SALUMI E FORMAGGI","Smart, latte di kefir 480 g","Euro 1,94 / kg"
2248,"LATTICINI, SALUMI E FORMAGGI","Kinder, Paradiso conf. 4x29 g","Euro 18,54 / kg"
2249,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, yogurt intero bianco 500 g","Euro 2,30 / kg"
2250,"LATTICINI, SALUMI E FORMAGGI","Smart, Grana Padano DOP  750 g","Euro 10,99 / kg"
2251,"LATTICINI, SALUMI E FORMAGGI","Sottilette, burger con cheddar formaggio fuso a fette 185 g","Euro 10,55 / kg"
2252,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Gusto di una volta latte fresco intero 1 l","Euro 1,89 / l"
2253,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Più Giorni latte parzialmente scremato - da conservare in frigorifero 1 l","Euro 1,89 / l"
2254,"LATTICINI, SALUMI E FORMAGGI","Vallelata, Fior di Latte mozzarella fresca 265 g - peso netto sgocc. 125 g","Euro 12,80 / kg"
2255,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Original formaggio fresco spalmabile 250 g","Euro 10,52 / kg"
2256,"LATTICINI, SALUMI E FORMAGGI","Aia, Pasta gialla 6 uova fresche medie italiane allevate a terra","Euro 0,41 / pz"
2257,"LATTICINI, SALUMI E FORMAGGI","Ferrari, GranMix Classico formaggio grattugiato fresco 100 g","Euro 16,90 / kg"
2258,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, Parmigiano Reggiano DOP grattugiato 30 mesi 60 g","Euro 27,01 / kg"
2259,"LATTICINI, SALUMI E FORMAGGI","Ferrari, Originale Italiano grattugiato fresco 80 g","Euro 16,13 / kg"
2260,"LATTICINI, SALUMI E FORMAGGI","Smart, yogurt magro bianco 500 g","Euro 1,70 / kg"
2261,"LATTICINI, SALUMI E FORMAGGI","Les Chateaux De France, Brie 200 g","Euro 12,60 / kg"
2262,"LATTICINI, SALUMI E FORMAGGI","Ferrari, Parmigiano Reggiano DOP grattugiato fresco 100 g","Euro 27,50 / kg"
2263,"LATTICINI, SALUMI E FORMAGGI","Aia, Wudy formaggio wurstel 150 g","Euro 6,61 / kg"
2264,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Accadì latte UHT senza lattosio 1% di Grassi 1 l","Euro 1,99 / l"
2265,"LATTICINI, SALUMI E FORMAGGI","Sterzing, Vipiteno, 0,1% grassi yogurt magro bianco conf. 2x125 g","Euro 3,56 / kg"
2266,"LATTICINI, SALUMI E FORMAGGI","Smart, mortadella a fette 150 g","Euro 6,61 / kg"
2267,"LATTICINI, SALUMI E FORMAGGI","Kinder, Pinguì al cioccolato conf. 8x30 g","Euro 14,55 / kg"
2268,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Original formaggio fresco spalmabile conf. 6x25 g","Euro 16,27 / kg"
2269,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia Mozzarella per pizza 400 g","Euro 9,23 / kg"
2270,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Chef panna UHT conf. 3x125 ml","Euro 7,71 / l"
2271,"LATTICINI, SALUMI E FORMAGGI","Le Naturelle, 6 uova guscio bianco da galline di razza livornese","Euro 0,37 / pz"
2272,"LATTICINI, SALUMI E FORMAGGI","Milk, Pro High Protein 20g crema dessert al cacao 200 g","Euro 9,45 / kg"
2273,"LATTICINI, SALUMI E FORMAGGI","Vallelata, ricottine fresche nostrane conf. 2x100 g","Euro 7,25 / kg"
2274,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia ciliegie di mozzarella senza conservanti 260 g - peso netto sgocc.150 g","Euro 11,94 / kg"
2275,"LATTICINI, SALUMI E FORMAGGI","Veroni, Mortadella Bologna IGP con pistacchio  taglio sottile 110 g","Euro 21,73 / kg"
2276,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Accadì Senza Lattosio latte ESL parzialmente scremato ¿ da conservare in frigorifero 500 ml","Euro 2,38 / l"
2277,"LATTICINI, SALUMI E FORMAGGI","Smart, latte microfiltrato parzialmente scremato 1 l","Euro 1,08 / l"
2278,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia Ricotta 250 g","Euro 5,16 / kg"
2279,"LATTICINI, SALUMI E FORMAGGI","Milk, Kefir bianco 150 g","Euro 7,67 / kg"
2280,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Zymil alta digeribilità latte parzialmente scremato microfiltrato - da conservare in frigorifero 1 l","Euro 2,09 / l"
2281,"LATTICINI, SALUMI E FORMAGGI","Coccodì, 10&lode 10 uova grandi da allevamento a terra","Euro 0,30 / pz"
2282,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, 0,1% grassi yogurt magro alla vaniglia conf. 2x125 g","Euro 4,60 / kg"
2283,"LATTICINI, SALUMI E FORMAGGI","Kinder, Fetta al latte conf. 10x28 g","Euro 12,47 / kg"
2284,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, L'ABC della Merenda frullato 100% frutta gusto pesca, grissini, Parmigiano Reggiano DOP","Euro 6,31 / kg"
2285,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Benessere Light formaggio fresco spalmabile 175 g","Euro 13,43 / kg"
2286,"LATTICINI, SALUMI E FORMAGGI","Granarolo, latte fresco intero biologico 1 l","Euro 2,19 / l"
2287,"LATTICINI, SALUMI E FORMAGGI","Citterio, Sofficette prosciutto crudo a fette 60 g","Euro 29,84 / kg"
2288,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, burro 100 g","Euro 14,50 / kg"
2289,"LATTICINI, SALUMI E FORMAGGI","Fage, Risolat 1% vaniglia 170 g","Euro 7,36 / kg"
2290,"LATTICINI, SALUMI E FORMAGGI","Mauri, Caprì da latte italiano di vacca conf. 2x80 g","Euro 11,07 / kg"
2291,"LATTICINI, SALUMI E FORMAGGI","Citterio, Sofficette petto di tacchino al forno a fette 80 g","Euro 23,13 / kg"
2292,"LATTICINI, SALUMI E FORMAGGI","Vallelata, Fior di latte mozzarella 405 g - peso netto sgocc.200 g","Euro 11,45 / kg"
2293,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, yogurt intero bianco conf. 2x125 g","Euro 3,56 / kg"
2294,"LATTICINI, SALUMI E FORMAGGI","Kinder, Fetta al latte conf. 5x28 g","Euro 15,36 / kg"
2295,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Chef panna gourmet UHT 200 ml","Euro 9,25 / l"
2296,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Accadì Lattosio Senza Senza grassi latte ESL scremato ¿ da conservare in frigorifero 500 ml","Euro 2,38 / l"
2297,"LATTICINI, SALUMI E FORMAGGI","Maia, Le Naturelle 12 uova fresche grandi da allevamento a terra","Euro 0,34 / pz"
2298,"LATTICINI, SALUMI E FORMAGGI","Leerdammer, Special Toast a fette 125 g","Euro 18,32 / kg"
2299,"LATTICINI, SALUMI E FORMAGGI","Devodier, Prosciutto di Parma DOP a fette 90 g","Euro 64,34 / kg"
2300,"LATTICINI, SALUMI E FORMAGGI","Smart, Gorgonzola DOP  200 g","Euro 8,99 / kg"
2301,"LATTICINI, SALUMI E FORMAGGI","Galbani, Galbanino a fette 120 g","Euro 15,42 / kg"
2302,"LATTICINI, SALUMI E FORMAGGI","Citterio, Gli Irresistibili bastoncini di salame 40 g","Euro 37,25 / kg"
2303,"LATTICINI, SALUMI E FORMAGGI","Casa Modena, Teneroni l'Originale conf. 2x75 g","Euro 21,07 / kg"
2304,"LATTICINI, SALUMI E FORMAGGI","Mila, latte UHT senza lattosio parzialmente scremato 1 l","Euro 1,85 / l"
2305,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Biologico latte bio parzialmente scremato 1 l","Euro 2,19 / l"
2306,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia light mozzarella conf. 3x210 g - peso netto sgocc.3x125 g","Euro 6,91 / kg"
2307,"LATTICINI, SALUMI E FORMAGGI","Citterio, Taglio Fresco il salame di Milano a fette 70 g","Euro 31,29 / kg"
2308,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, Bio yogurt al mirtillo nero 150 g","Euro 7,54 / kg"
2309,"LATTICINI, SALUMI E FORMAGGI","Smart, yogurt intero vaniglia 150 g","Euro 1,94 / kg"
2310,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, yogurt magro bianco 500 g","Euro 2,30 / kg"
2311,"LATTICINI, SALUMI E FORMAGGI","Galbani, Galbanino l'Originale formaggio dolce 270 g","Euro 8,86 / kg"
2312,"LATTICINI, SALUMI E FORMAGGI","Wüber, Wüberone wurstel di pollo 250 g","Euro 7,16 / kg"
2313,"LATTICINI, SALUMI E FORMAGGI","Smart, Emmental bavarese  250 g","Euro 7,48 / kg"
2314,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Accadì senza lattosio latte UHT 1% di Grassi 500 ml","Euro 2,70 / l"
2315,"LATTICINI, SALUMI E FORMAGGI",Grana Padano DOP 16 mesi  550 g,"Euro 13,99 / kg"
2316,"LATTICINI, SALUMI E FORMAGGI","Milk, Kefir da bere melograno e lampone 480 g","Euro 2,07 / kg"
2317,"LATTICINI, SALUMI E FORMAGGI","Epiros, Light 180 g","Euro 18,84 / kg"
2318,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia mozzarella senza lattosio 190 g - peso netto sgocc.100 g","Euro 13,90 / kg"
2319,"LATTICINI, SALUMI E FORMAGGI","Smart, cubetti di cotto conf. 2x100 g","Euro 8,75 / kg"
2320,"LATTICINI, SALUMI E FORMAGGI","Ferrarini, Il Ferrarini prosciutto cotto a fette 100 g","Euro 43,20 / kg"
2321,"LATTICINI, SALUMI E FORMAGGI","Smart, formaggini 200 g","Euro 5,95 / kg"
2322,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia mascarpone 250 g","Euro 11,16 / kg"
2323,"LATTICINI, SALUMI E FORMAGGI","Fage, Total 5% grassi 150 g","Euro 10,34 / kg"
2324,"LATTICINI, SALUMI E FORMAGGI","Kinder, Choco fresh conf. 5x20,5 g","Euro 21,17 / kg"
2325,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, Bio yogurt bianco 150 g","Euro 7,21 / kg"
2326,"LATTICINI, SALUMI E FORMAGGI","Fattorie Osella, La Robiola formaggio fresco conf. 2x100 g","Euro 14,75 / kg"
2327,"LATTICINI, SALUMI E FORMAGGI",Prosciutto Toscano DOP taglio sottile 100 g,"Euro 58,90 / kg"
2328,"LATTICINI, SALUMI E FORMAGGI","Meggle, panna UHT per caffè conf. 20x10 g","Euro 9,95 / kg"
2329,"LATTICINI, SALUMI E FORMAGGI","Fattorie Osella, Primosale formaggio fresco 125 g","Euro 15,68 / kg"
2330,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, Sapori di Vipiteno yogurt al limone conf. 2x125 g","Euro 5,00 / kg"
2331,"LATTICINI, SALUMI E FORMAGGI","Auricchio, Le Provolizie provolone dolce 100 g","Euro 18,90 / kg"
2332,"LATTICINI, SALUMI E FORMAGGI","Smart, Pancetta arrotolata a fette 150 g","Euro 11,87 / kg"
2333,"LATTICINI, SALUMI E FORMAGGI","Mila, yogurt da bere alla fragola 200 g","Euro 1,95 / kg"
2334,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, fettine al Parmigiano Reggiano DOP 150 g","Euro 12,61 / kg"
2335,"LATTICINI, SALUMI E FORMAGGI","Centrale del latte di Milano, latte fresco parzialmente scremato 100% italiano 1 l","Euro 1,90 / l"
2336,"LATTICINI, SALUMI E FORMAGGI",Burro Formato Contadino 250 g,"Euro 15,96 / kg"
2337,"LATTICINI, SALUMI E FORMAGGI","Müller, Mix Yogurt bianco più anelli al cioccolato 150 g","Euro 3,94 / kg"
2338,"LATTICINI, SALUMI E FORMAGGI","Biraghi, Biraghini Gran Biraghi snack conf. 5x20 g","Euro 22,90 / kg"
2339,"LATTICINI, SALUMI E FORMAGGI","Leerdammer, Original a fette 8 pezzi 160 g","Euro 17,44 / kg"
2340,"LATTICINI, SALUMI E FORMAGGI","Centrale del latte Milano, latte fresco intero alta qualità 1 l","Euro 1,99 / l"
2341,"LATTICINI, SALUMI E FORMAGGI","Le Sottili Bontà, Fontal 80 g","Euro 26,13 / kg"
2342,"LATTICINI, SALUMI E FORMAGGI","Fattorie Osella, Linea Osella formaggio fresco primosale 190 g","Euro 14,69 / kg"
2343,"LATTICINI, SALUMI E FORMAGGI",Culatello di Zibello DOP taglio sottile 80 g,"Euro 112,38 / kg"
2344,"LATTICINI, SALUMI E FORMAGGI","Galbani, Certosino crescenza conf. 2x80 g","Euro 14,32 / kg"
2345,"LATTICINI, SALUMI E FORMAGGI","Sottilette, Fila e Fondi alla mozzarella formaggio fuso a fette 200 g","Euro 9,85 / kg"
2346,"LATTICINI, SALUMI E FORMAGGI","Galbani, Certosa crescenza italiana 165 g","Euro 13,16 / kg"
2347,"LATTICINI, SALUMI E FORMAGGI","Milk, Bio Kefir da Bere bianco naturale 480 g","Euro 3,53 / kg"
2348,"LATTICINI, SALUMI E FORMAGGI","Sterzing Vipiteno, yogurt intero bianco1 kg","Euro 3,29 / kg"
2349,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Bontà e gusto latte UHT intero 500 ml","Euro 2,38 / l"
2350,"LATTICINI, SALUMI E FORMAGGI","Smart, Maasdam a fette 150 g","Euro 10,41 / kg"
2351,"LATTICINI, SALUMI E FORMAGGI","Smart, Maasdam a fette 150 g","Euro 10,41 / kg"
2352,"LATTICINI, SALUMI E FORMAGGI","Latteria sociale Valtellina, latte fresco di montagna intero alta qualità 1 l","Euro 2,09 / l"
2353,"LATTICINI, SALUMI E FORMAGGI","Galbani, Gim Gorgonzola DOP 220 g","Euro 13,14 / kg"
2354,"LATTICINI, SALUMI E FORMAGGI","Citterio, Tagliette Guanciale 90 g","Euro 25,45 / kg"
2355,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Original formaggio fresco spalmabile 350 g","Euro 11,69 / kg"
2356,"LATTICINI, SALUMI E FORMAGGI","Antiche Bontà, ricotta vaccina  300 g","Euro 8,99 / kg"
2357,"LATTICINI, SALUMI E FORMAGGI","Ferrarini, Riserva prosciutto cotto di alta qualità 130 g","Euro 38,39 / kg"
2358,"LATTICINI, SALUMI E FORMAGGI","Galbani, Certosa crescenza italiana la Leggera 165 g","Euro 12,67 / kg"
2359,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia Light ricottina conf. 2x90 g","Euro 9,39 / kg"
2360,"LATTICINI, SALUMI E FORMAGGI","Smart, scamorza 250 g","Euro 9,00 / kg"
2361,"LATTICINI, SALUMI E FORMAGGI","AR Alimentari, scamorza affumicata 90 g","Euro 22,00 / kg"
2362,"LATTICINI, SALUMI E FORMAGGI","Danone, Yogoloso Super Mario yogurt con banana frullata conf. 2x110 g","Euro 6,78 / kg"
2363,"LATTICINI, SALUMI E FORMAGGI","Smart, yogurt magro alla frutta conf. 8x125 g","Euro 2,49 / kg"
2364,"LATTICINI, SALUMI E FORMAGGI","Milk, Light fiocchi di latte con yogurt 150 g","Euro 9,27 / kg"
2365,"LATTICINI, SALUMI E FORMAGGI","Yakult, Original conf. 6x65 ml","Euro 9,98 / l"
2366,"LATTICINI, SALUMI E FORMAGGI","Smart, Fontal 400 g","Euro 7,48 / kg"
2367,"LATTICINI, SALUMI E FORMAGGI","Citterio, Sofficette Bresaola della Valtellina IGP a fette 60 g","Euro 46,34 / kg"
2368,"LATTICINI, SALUMI E FORMAGGI","Fage, Total 2% grassi 150 g","Euro 10,34 / kg"
2369,"LATTICINI, SALUMI E FORMAGGI","Aia, Wudy classico mini wurstel conf. 4x100 g","Euro 9,48 / kg"
2370,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia fette di mozzarella 120 g","Euro 16,17 / kg"
2371,"LATTICINI, SALUMI E FORMAGGI","Parmalat, Zymil Alta Digeribilità Magro Digeribile senza lattosio 1 l","Euro 2,09 / l"
2372,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Original mini formaggio fresco spalmabile conf. 4x35 g","Euro 14,50 / kg"
2373,"LATTICINI, SALUMI E FORMAGGI","Kinder, Pinguì al cioccolato conf. 4x30 g","Euro 17,92 / kg"
2374,"LATTICINI, SALUMI E FORMAGGI","Esselunga, mozzarella per pizza 400 g","Euro 7,45 / kg"
2375,"LATTICINI, SALUMI E FORMAGGI","Ehrmann, High Protein Chocolate pudding 200 g","Euro 6,95 / kg"
2376,"LATTICINI, SALUMI E FORMAGGI","TreValli, Hoplà condimento a base vegetale da montare 200 ml","Euro 6,45 / l"
2377,"LATTICINI, SALUMI E FORMAGGI","Smart, Ricotta 450 g","Euro 3,01 / kg"
2378,"LATTICINI, SALUMI E FORMAGGI","Jocca, fiocchi di latte a base di formaggio fresco magro 135 g","Euro 10,30 / kg"
2379,"LATTICINI, SALUMI E FORMAGGI","Bordoni, Bresaola Nazionale affettata fresca","Euro 39,99 / kg"
2380,"LATTICINI, SALUMI E FORMAGGI","Salumificio San Carlo, guanciale a cubetti conf. 2x75 g","Euro 18,47 / kg"
2381,"LATTICINI, SALUMI E FORMAGGI","Colla, bastoncini di Grana Padano DOP stagionatura 14 mesi 200 g","Euro 21,45 / kg"
2382,"LATTICINI, SALUMI E FORMAGGI","Arborea, Ad Latte UHT Alta Digeribilità parzialmente scremato senza lattosio 1 l","Euro 1,69 / l"
2383,"LATTICINI, SALUMI E FORMAGGI","Müller, Mix Soffio mousse di bianco più granella di pistacchio 120 g","Euro 4,92 / kg"
2384,"LATTICINI, SALUMI E FORMAGGI","Galbani, Santa Lucia mozzarella senza lattosio 577 g - peso netto sgocc. 3x100 g","Euro 13,31 / kg"
2385,"LATTICINI, SALUMI E FORMAGGI","Galbani, Crema Bel Paese formaggini 175 g","Euro 6,69 / kg"
2386,"LATTICINI, SALUMI E FORMAGGI","Sottilette, Light  formaggio fuso a fette 285 g","Euro 10,74 / kg"
2387,"LATTICINI, SALUMI E FORMAGGI","Smart, margarina 250 g","Euro 2,76 / kg"
2388,"LATTICINI, SALUMI E FORMAGGI","Rosa dell'Angelo, prosciutto crudo 24 mesi a fette  120 g","Euro 68,90 / kg"
2389,"LATTICINI, SALUMI E FORMAGGI","Camoscio d'Oro, Fette Morbidissime 150 g","Euro 20,47 / kg"
2390,"LATTICINI, SALUMI E FORMAGGI","Buitoni, La Brisée pasta fresca brisée rotonda rotolo 230 g","Euro 8,66 / kg"
2391,"LATTICINI, SALUMI E FORMAGGI","Rovagnati, I Firmati prosciutto cotto di Alta Qualità a fette 100 g","Euro 39,90 / kg"
2392,"LATTICINI, SALUMI E FORMAGGI","Merano, Bella Vita Free senza lattosio yogurt alla vaniglia conf. 2x125 g","Euro 4,76 / kg"
2393,"LATTICINI, SALUMI E FORMAGGI","Philadelphia, Benessere formaggio fresco spalmabile senza lattosio 175 g","Euro 11,95 / kg"
2394,"LATTICINI, SALUMI E FORMAGGI","Latteria Soresina, burro 250 g","Euro 10,36 / kg"
2395,"LATTICINI, SALUMI E FORMAGGI","Brimi, mozzarella a cubetti 150 g","Euro 15,94 / kg"
2396,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, burro 200 g","Euro 14,25 / kg"
2397,"LATTICINI, SALUMI E FORMAGGI","Müller, Dessert Proteico gusto cioccolato 200 g","Euro 11,45 / kg"
2398,"LATTICINI, SALUMI E FORMAGGI","Caseificio Valcolatte, Riccottine ""le Gustose"" conf. 2x90 g","Euro 8,84 / kg"
2399,"LATTICINI, SALUMI E FORMAGGI","Vallelata, Fior di Latte Mozzarella Fresca conf. 3x225 g - peso netto sgocc. conf. 3x125 g","Euro 11,44 / kg"
2400,"LATTICINI, SALUMI E FORMAGGI","Citterio, La Merenda prosciutto cotto senza glutine conf. 3x40 g","Euro 33,76 / kg"
2401,"LATTICINI, SALUMI E FORMAGGI","Fattorie Osella, caprini formaggio fresco di latte vaccino 100 g","Euro 15,00 / kg"
2402,"LATTICINI, SALUMI E FORMAGGI","Rovagnati, Snello GranCotto a fette 100 g","Euro 29,90 / kg"
2403,"LATTICINI, SALUMI E FORMAGGI",Parmigiano Reggiano DOP  500 g,"Euro 15,99 / kg"
2404,"LATTICINI, SALUMI E FORMAGGI","San Salvatore, Mozzarella di Bufala Campana DOP biologica 320 g - peso netto sgocc. 125 g","Euro 18,00 / kg"
2405,"LATTICINI, SALUMI E FORMAGGI","Müller, yogurt cremoso alla pesca e albicocca in pezzi conf. 2x125 g","Euro 6,60 / kg"
2406,"LATTICINI, SALUMI E FORMAGGI","Coccodì, 6 uova grandi da allevamento all'aperto","Euro 0,45 / pz"
2407,"LATTICINI, SALUMI E FORMAGGI","Sojasun, Bifidus soia fermentata bianco naturale 250 g","Euro 4,76 / kg"
2408,"LATTICINI, SALUMI E FORMAGGI","Smart, mascarpone 500 g","Euro 6,98 / kg"
2409,"LATTICINI, SALUMI E FORMAGGI",Burro Formato Contadino 125 g,"Euro 18,32 / kg"
2410,"LATTICINI, SALUMI E FORMAGGI","Granarolo, latte UHT 100% italiano parzialmente scremato conf. 4x1 l","Euro 1,09 / l"
2411,"LATTICINI, SALUMI E FORMAGGI","Prosciutto arrosto, taglio sottile 100 g","Euro 55,90 / kg"
2412,"LATTICINI, SALUMI E FORMAGGI","Vallelata, bocconcini di mozzarella fresca 8 pezzi 485 g - peso netto sgocc. 200 g","Euro 11,75 / kg"
2413,"LATTICINI, SALUMI E FORMAGGI","Citterio, Citterino salame a fette 60 g","Euro 29,84 / kg"
2414,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Accadì panna da cucina senza lattosio conf. 3x100 ml","Euro 7,71 / l"
2415,"LATTICINI, SALUMI E FORMAGGI","Sottilette, formaggio fuso a fette Senza Lattosio 200 g","Euro 11,95 / kg"
2416,"LATTICINI, SALUMI E FORMAGGI","Cirigliana, Burrata di bufala 420 g - peso netto sgocc. 150 g","Euro 17,27 / kg"
2417,"LATTICINI, SALUMI E FORMAGGI","Granarolo, Latte Piacere Leggero UHT 1 l","Euro 1,69 / l"
2418,"LATTICINI, SALUMI E FORMAGGI","Parmareggio, formaggini al Parmigiano Reggiano DOP 8 pezzi 140 g","Euro 12,15 / kg"
2419,"LATTICINI, SALUMI E FORMAGGI","Handl Tyrol, Speck Tirolese IGP sticks di speck conf. 2x35 g","Euro 41,29 / kg"
2420,"LATTICINI, SALUMI E FORMAGGI","Auricchio, Le Provolizie provolone piccante 100 g","Euro 18,90 / kg"
2421,"LATTICINI, SALUMI E FORMAGGI","Girau, latte di capra intero 100% sardo 500 ml","Euro 4,58 / l"
2422,"LATTICINI, SALUMI E FORMAGGI","Milk, Pro High Protein 25g fiocchi di latte 210 g","Euro 8,67 / kg"
2423,"LATTICINI, SALUMI E FORMAGGI","Milk, Pro High Protein 25g fiocchi di latte 210 g","Euro 8,67 / kg"
2424,"LATTICINI, SALUMI E FORMAGGI","Latteria Soresina, burro senza lattosio 125 g","Euro 15,12 / kg"
2425,"LATTICINI, SALUMI E FORMAGGI","Galbani, Crema Bel Paese gli stracremosi conf. 2x28 g","Euro 15,36 / kg"
2426,"LATTICINI, SALUMI E FORMAGGI","Fage, Total 0% grassi 450 g","Euro 8,23 / kg"
2427,"LATTICINI, SALUMI E FORMAGGI","Bontà Divina, Tiramisù conf. 2x90 g","Euro 13,17 / kg"
