Category,Product,Price,Quantity
spesa bio,"rigoni di asiago, nocciolata crunchy biologica 250 g",17.96 € / kg,0.25 kg
spesa bio,"kikkoman, organic soy sauce 150 ml",39.94 € / l,
spesa bio,"cupper, flower power infuso biologico di fiori di sambuco camomilla e ibisco 20 filtri 35 g",108.00 € / kg,0.035 kg
spesa bio,"altromercato bio, monorigine tanzania caffè solubile 100 g",60.50 € / kg,0.1 kg
spesa bio,"cerreto, i sapori curcuma biologica 150 g",31.21 € / kg,0.15 kg
spesa bio,"cerreto, i sapori prezzemolo biologico 50 g",79.60 € / kg,0.05 kg
spesa bio,"ca' granda, yogurt bio bianco magro 140 g",9.93 € / kg,0.14 kg
spesa bio,"cerreto, i buoni & veloci quinoa tricolore biologica 300 g",18.31 € / kg,0.3 kg
spesa bio,"barone pizzini, franciacorta golf extra brut 37,5 cl",30.64 € / l,37.5 cl
spesa bio,"poggio del farro, farro soffiato al caramello biologico 140 g",20.36 € / kg,0.14 kg
spesa bio,"pietro coricelli, ethnos olio di canapa biologico 250 ml",23.60 € / l,
spesa bio,"fratelli merano, olio extra vergine di oliva 100% italiano biologico 750 ml",15.99 € / l,
spesa bio,"taylor & colledge, bacche di vaniglia biologiche 2 pezzi 4 g",3.00 € / g,0.004 kg
spesa bio,"vivibio, tè kukicha 25 filtri 42 g",116.43 € / kg,0.042 kg
spesa bio,"valverde, 21 giorni detox 7 tisane assortite 21 filtri 30 g",175.67 € / kg,0.03 kg
spesa bio,"clemente, olio extra vergine di oliva biologico 1 l",7.99 € / l,1.0 l
spesa bio,"barone pizzini, franciacorta golf extra brut 75 cl",33.19 € / l,75.0 cl
spesa bio,"natura mama, spicy curry soup bio 400 g",0.01 € / g,0.4 kg
spesa bio,"pukka, lemon ginger & manuka honey organic 20 bustine 40 g",262.00 € / kg,0.04 kg
spesa bio,"altromercato bio, cacao el ceibo 150 g",22.01 € / kg,0.15 kg
spesa bio,"poderi di ghiaccioforte, rosso dei poderi toscana  sangiovese 75 cl",11.99 € / l,75.0 cl
spesa bio,"alce nero, crema di farro biologica 250 g",14.48 € / kg,0.25 kg
spesa bio,"altromercato bio, equik preparato al cacao magro 300 g",15.97 € / kg,0.3 kg
spesa bio,"cerreto, i buoni & veloci quinoa biologica 300 g",18.31 € / kg,0.3 kg
spesa bio,"altromercato, bio crema fondente 230 g",28.22 € / kg,0.23 kg
spesa bio,"pievalta, verdicchio dei castelli di jesi classico superiore doc 75 cl",13.20 € / l,75.0 cl
spesa bio,"barone pizzini, franciacorta satén 75 cl",45.20 € / l,75.0 cl
spesa bio,"castello di volpaia, chianti classico volpaia 75 cl",21.20 € / l,75.0 cl
spesa bio,"clemente tenuta paglicci, olio extra vergine di oliva 100% italiano biologico 750 ml",13.31 € / l,
spesa bio,"cannamela, le regionali peperoncino di calabria frantumato biologico 21 g",189.53 € / kg,0.021 kg
spesa bio,"cannamela, le regionali salvia di sicilia biologico 7 g",494.29 € / kg,0.007 kg
spesa bio,"mielizia, bio marroni piemonte 250 g",18.76 € / kg,0.25 kg
spesa bio,"cantina valpolicella negrar, valpolicella doc classico biologico 75 cl",10.40 € / l,75.0 cl
spesa bio,"riso scotti, naturalissimi bio riso basmati con verdure e cereali 180 g",0.03 € / g,0.18 kg
spesa bio,"cerreto, la gastronomia insaporitore per carne e pesce biologico 200 g",19.90 € / kg,0.2 kg
spesa bio,"alltromercato, noci dell'amazzonia biologiche 150 g",36.61 € / kg,0.15 kg
spesa bio,"cerreto, la gastronomia preparato per pasta all'arrabbiata biologico 100 g",42.80 € / kg,0.1 kg
spesa bio,"terredavino, barbera d'asti biologico 75 cl",9.72 € / l,75.0 cl
spesa bio,"cerreto, i semi mix di semi biologici 175 g",22.75 € / kg,0.175 kg
spesa bio,"louit freres, senape curcuma biologica 130 g",22.24 € / kg,0.13 kg
spesa bio,"altromercato, bio budino al cacao conf. 2x100 g",13.45 € / kg,0.2 kg
spesa bio,"montosco, bio paprika dolce biologico italiana 42 g",95.00 € / kg,0.042 kg
spesa bio,"natura mama, chili bean soup bio 400 g",8.23 € / kg,0.4 kg
spesa bio,"regina di fiori bio, canto della sirena tisana del respiro 15 filtri 45 g",126.45 € / kg,0.045 kg
spesa bio,"rigoni di asiago, nocciolata crêpes biologica conf. 4x55 g",19.55 € / kg,0.22 kg
spesa bio,"laboratoires vitarmonyl, anti stress 20 capsule",0.50 € / pz,
spesa bio,altromercato bio anacardi 150 g,36.61 € / kg,0.15 kg
spesa bio,"fabbri, pietra colombina olio extra vergine di oliva biologico 750 ml",7.99 € / l,
spesa bio,"pukka, three mint organic 20 bustine 32 g",230.50 € / kg,0.032 kg
spesa bio,"cerreto, i semi semi di zucca biologici 175 g",22.75 € / kg,0.175 kg
spesa bio,"alce nero, miele di acacia 300 g",29.97 € / kg,0.3 kg
spesa bio,"coppi, cantonovo primitivo biologico 75 cl",10.27 € / l,75.0 cl
spesa bio,"cerreto, i cereali mais per pop corn biologico 350 g",8.52 € / kg,0.35 kg
spesa bio,"montosco, bio rosmarino biologico italiano 25 g",119.60 € / kg,0.025 kg
spesa bio,"altromercato, crema gianduia biologica 230 g",30.40 € / kg,0.23 kg
spesa bio,"badia a coltibuono, chianti classico 75 cl",14.54 € / l,75.0 cl
spesa bio,"montosco, bio prezzemolo biologico italiano 9 g",332.23 € / kg,0.009 kg
spesa bio,"montosco, bio zenzero biologico 33 g",90.61 € / kg,0.033 kg
spesa bio,"cerreto, i semi semi di lino biologici 175 g",22.75 € / kg,0.175 kg
spesa bio,"altromercato, bio mielpiù miele e zenzero 300 g",23.31 € / kg,0.3 kg
spesa bio,"molino filippini, teff biologico 375 g",10.14 € / kg,0.375 kg
spesa bio,"cerreto, i cereali cous cous biologico 350 g",8.52 € / kg,0.35 kg
spesa bio,"cerreto, i semi semi di girasole biologici 175 g",22.75 € / kg,0.175 kg
spesa bio,"tuscus, olivello olio extra vergine di oliva biologico 500 ml",19.96 € / l,
spesa bio,"montosco, bio curry biologico 34 g",87.95 € / kg,0.034 kg
spesa bio,"cerreto, i classici minestrone toscano bio 350 g",8.52 € / kg,0.35 kg
spesa bio,"vivibio, tè hojicha biologico 25 filtri 42 g",108.34 € / kg,0.042 kg
spesa bio,"altromercato, bio mielpiù miele e curcuma 300 g",23.31 € / kg,0.3 kg
spesa bio,"cerreto, i classici zuppa di legumi biologici 350 g",8.52 € / kg,0.35 kg
spesa bio,"equilibra, aloe bio 750 ml",19.19 € / l,
spesa bio,"altromercato, bio trio fondente cioccolatini assortiti zenzero mirtillo rosso cocco 130 g",45.39 € / kg,0.13 kg
spesa bio,"cerreto, i legumi lenticchie di montagna biologiche 350 g",9.95 € / kg,0.35 kg
spesa bio,"cerreto, i semi semi di sesamo biologici 175 g",22.75 € / kg,0.175 kg
spesa bio,"montosco, bio origano biologico italiano 12 g",249.17 € / kg,0.012 kg
spesa bio,"cerreto, i semi tostati semi di sesamo tostati biologici 100 g",39.80 € / kg,0.1 kg
spesa bio,"montosco, bio curcuma biologica 43 g",69.54 € / kg,0.043 kg
spesa bio,"cerreto, i semi tostati semi di zucca tostati biologici 100 g",39.80 € / kg,0.1 kg
spesa bio,"cerreto, i semi tostati mix di semi tostati biologici 100 g",39.80 € / kg,0.1 kg
spesa bio,"avignonesi, vino nobile di montepulciano 75 cl",31.87 € / l,75.0 cl
spesa bio,"cerreto, gli etnici curry indiano riso e lenticchie rosse al curry 250 g",15.92 € / kg,0.25 kg
spesa bio,"cerreto, gli etnici tabulè libanese bulgur speziato all'orientale 250 g",15.92 € / kg,0.25 kg
spesa bio,"cerreto, i cereali miglio bio 350 g",9.95 € / kg,0.35 kg
spesa bio,"cerreto, i legumi ceci biologici 350 g",8.52 € / kg,0.35 kg
spesa bio,"cascina ca'rossa, roero docg 75 cl",19.87 € / l,75.0 cl
spesa bio,"cerreto, i classici zuppa di riso e piselli biologica 350 g",8.52 € / kg,0.35 kg
spesa bio,"cerreto, i legumi piselli spezzati biologiche 350 g",8.23 € / kg,0.35 kg
spesa bio,"cerreto, i legumi fagioli borlotti biologici 350 g",9.38 € / kg,0.35 kg
spesa bio,"montosco, bio pepe nero biologico 44 g",67.96 € / kg,0.044 kg
spesa bio,"cerreto, i legumi fave intere biologiche 300 g",13.27 € / kg,0.3 kg
spesa bio,"arkopharma, arkoroyal tesoro dell'alveare pappa reale 1500 mg biologico conf. 10x15 ml",1.76 € / pz,
spesa bio,"arkopharma laboratoires, arkoroyal tesoro dell'alveare junior pappa reale 500 mg biologico conf. 10x15 ml",1.60 € / pz,
spesa bio,"grattamacco, bolgheri superiore 75 cl",86.67 € / l,75.0 cl
spesa bio,"engine, pure organic gin 50 cl",82.98 € / l,50.0 cl
spesa bio,"fileni, bio mezzo pollo arrosto 650 g",13.70 € / kg,0.65 kg
spesa bio,"esselunga bio, broccoletti biologici 500 g",6.36 € / kg,0.5 kg
spesa bio,"esselunga bio, panna uht biologica 200 ml",6.45 € / l,
spesa bio,"esselunga bio, 100% succo di arancia rossa biologico 750 ml",3.19 € / l,
spesa bio,"esselunga bio, carote biologiche 750 g",3.04 € / kg,0.75 kg
spesa bio,"esselunga bio, aglio biologico 150 g",10.54 € / kg,0.15 kg
spesa bio,"esselunga bio, peperoni rossi biologici  400 g",4.98 € / kg,0.4 kg
spesa bio,"esselunga bio, peperoni gialli biologici  400 g",4.98 € / kg,0.4 kg
spesa bio,"esselunga bio, arance valencia biologiche 1 kg",2.98 € / kg,1.0 kg
spesa bio,"esselunga bio, bovino adulto polpa trita scelta biologica 350 g",19.98 € / kg,0.35 kg
spesa bio,"esselunga bio, pane morbido di grano duro integrale 400 g",3.98 € / kg,0.4 kg
spesa bio,"esselunga bio, verze biologiche  1000 g",2.98 € / kg,1.0 kg
spesa bio,"esselunga bio, mirtilli biologici 125 g",19.04 € / kg,0.125 kg
spesa bio,"esselunga bio, fragole biologiche 300 g",9.27 € / kg,0.3 kg
spesa bio,"esselunga bio, arance ovali biologiche 1 kg",2.98 € / kg,1.0 kg
spesa bio,"esselunga bio, kiwi biologici 500 g",7.96 € / kg,0.5 kg
spesa bio,"pere williams, biologiche confezionate 750 g",4.78 € / kg,0.75 kg
spesa bio,"esselunga bio, altromercato cioccolato al latte con nocciole intere 100 g",16.90 € / kg,0.1 kg
spesa bio,"esselunga bio, kiwi biologici cassetta  2000 g",1.98 € / kg,2.0 kg
spesa bio,"natura nuova, frullà bio 100%  polpa di frutta mela frutti rossi 100 g",9.80 € / kg,0.1 kg
spesa bio,"natura nuova, frullà bio 100%  polpa di frutta mela pesca mango 100 g",9.80 € / kg,0.1 kg
spesa bio,"frullà, bio mela cocco ananas 100 g",8.60 € / kg,0.1 kg
spesa bio,"frullà, kit break merenda bio 114 g",10.53 € / kg,0.114 kg
spesa bio,"gaea, olive greche kalamata biologiche 150 g",19.94 € / kg,0.15 kg
spesa bio,"felsineoveg, good & green biologico mopur con lupino affettato vegetale 90 g",36.56 € / kg,0.09 kg
spesa bio,"gaea, olive greche verdi denocciolate biologiche 150 g",19.94 € / kg,0.15 kg
spesa bio,"rigoni di asiago, fiordifrutta trio preparazione di ciliegie - albicocche - frutti di bosco biologica conf. 3x25 g",39.87 € / kg,0.075 kg
spesa bio,"maama, proteica carruba barretta biologica 35 g",51.15 € / kg,0.035 kg
spesa bio,"cerreto, la gastronomia brodo vegetale granulare biologico 150 g",29.87 € / kg,0.15 kg
spesa bio,"hampstead, organic black tea selection 20 filtri 40 g",98.30 € / kg,0.04 kg
spesa bio,"perfect bio, porridge fave di cacao nocciole 250 g",14.56 € / kg,0.25 kg
spesa bio,"igor, gorgonzola bio 150 g",9.61 € / kg,0.15 kg
spesa bio,"cerreto, i presto cotti farro 240 g",12.42 € / kg,0.24 kg
spesa bio,"giovanni rana, bio integrale ricotta e spinaci con burrata 250 g",15.96 € / kg,0.25 kg
spesa bio,"cerreto, la gastronomia gomasio biologico 200 g",21.40 € / kg,0.2 kg
spesa bio,"io veg, wurstel vegetariano stile bavarese 160 g",24.32 € / kg,0.16 kg
spesa bio,"cerreto, i legumi lenticchie rosse decorticate biologiche 350 g",8.52 € / kg,0.35 kg
spesa bio,"cerreto, i semi semi di chia biologici 125 g",39.84 € / kg,0.125 kg
frutta e verdura,"esselunga, fagiolini confezionati 500 g",4.76 € / kg,0.5 kg
frutta e verdura,"esselunga, cuori di lattuga 200 g",8.90 € / kg,0.2 kg
frutta e verdura,"pesche noci gialle, confezionate  900 g",5.68 € / kg,0.9 kg
frutta e verdura,"esselunga bio, cipolle dorate 500 g",3.16 € / kg,0.5 kg
frutta e verdura,"zucca delica,  1200 g",2.98 € / kg,1.2 kg
frutta e verdura,"verza,  1000 g",1.78 € / kg,1.0 kg
frutta e verdura,"esselunga naturama, pomodoro datterino giallo confezionato 250 g",9.12 € / kg,0.25 kg
frutta e verdura,"zucca moscata di provenza,  600 g",2.68 € / kg,0.6 kg
frutta e verdura,"perini insalatari, confezionati  550 g",2.98 € / kg,0.55 kg
frutta e verdura,"esselunga naturama, rosette di broccolo confezionate 600 g",4.97 € / kg,0.6 kg
frutta e verdura,"esselunga naturama, rosette di cavolfiore confezionate 600 g",4.81 € / kg,0.6 kg
frutta e verdura,"melanzane lunghe,  550 g",2.38 € / kg,0.55 kg
frutta e verdura,"pesche bianche, confezionate  900 g",5.48 € / kg,0.9 kg
frutta e verdura,"melone honeymoon premium,  1000 g",3.78 € / kg,1.0 kg
frutta e verdura,"esselunga naturama, mele pinova confezionate  1000 g",2.15 € / kg,1.0 kg
frutta e verdura,"cimette di cavolo nero, confezionate 300 g",10.61 € / kg,0.3 kg
frutta e verdura,"esselunga naturama, pomodoro tondo insalataro 600 g",5.47 € / kg,0.6 kg
frutta e verdura,"esselunga bio, datterini biologici 300 g",8.27 € / kg,0.3 kg
frutta e verdura,"esselunga, arance valencia-late confezionate 1 kg",2.35 € / kg,1.0 kg
frutta e verdura,"esselunga, melanzane viola  850 g",2.38 € / kg,0.85 kg
frutta e verdura,"esselunga bio, insalatina 100 g",14.80 € / kg,0.1 kg
frutta e verdura,"anguria baby,  1800 g",1.48 € / kg,1.8 kg
frutta e verdura,"esselunga natura matura, kiwi sungold confezionati 250 g",11.92 € / kg,0.25 kg
frutta e verdura,"esselunga, cavolfiore verde  850 g",2.48 € / kg,0.85 kg
frutta e verdura,"esselunga bio, patate novelle biologiche 1 kg",2.68 € / kg,1.0 kg
frutta e verdura,"percoche, confezionate  900 g",5.48 € / kg,0.9 kg
frutta e verdura,"peperoncini dolci, confezionati  500 g",3.98 € / kg,0.5 kg
frutta e verdura,"cavolo cuore di bue,  550 g",1.98 € / kg,0.55 kg
frutta e verdura,"esselunga bio, frutta frullata mela 100 g",10.90 € / kg,0.1 kg
frutta e verdura,"esselunga bio, frutta frullata mela e banana 100 g",10.90 € / kg,0.1 kg
frutta e verdura,"olive nere condite, conf. 2x125 g",7.92 € / kg,0.25 kg
frutta e verdura,"kiwi sungold, confezionati 500 g",9.96 € / kg,0.5 kg
frutta e verdura,"patate novelle origine campania, confezionate 1,5 kg",1.79 € / kg,1.5 kg
frutta e verdura,"fiori di zucca, confezionati 100 g",21.80 € / kg,0.1 kg
frutta e verdura,"ciliegie regina, confezionate 500 g",11.16 € / kg,0.5 kg
frutta e verdura,"primo gusto, lamponi selezione premium 160 g",21.75 € / kg,0.16 kg
frutta e verdura,"zucchine a fette, confezionate 400 g",5.70 € / kg,0.4 kg
frutta e verdura,"ciliegie, confezionate 500 g",9.36 € / kg,0.5 kg
frutta e verdura,"ventura, le nostre selezioni dal mondo mandorle sgusciate 1 kg",5.99 € / kg,1.0 kg
frutta e verdura,"innocent, super smoothie energy 300 ml",8.97 € / l,
frutta e verdura,"esselunga bio, misticanza biologica 125 g",15.84 € / kg,0.125 kg
frutta e verdura,"esselunga bio, valeriana biologica 100 g",19.80 € / kg,0.1 kg
frutta e verdura,"esselunga bio, pinoli sgusciati biologici 80 g",87.38 € / kg,0.08 kg
frutta e verdura,"esselunga bio, mandorle sgusciate biologiche 125 g",27.92 € / kg,0.125 kg
frutta e verdura,"esselunga bio, prugne d'agen igp intere biologiche 200 g",14.95 € / kg,0.2 kg
frutta e verdura,"esselunga bio, mandorle pelate 125 g",27.92 € / kg,0.125 kg
frutta e verdura,"esselunga bio, noci di grenoble noci secche biologiche 500 g",5.98 € / kg,0.5 kg
frutta e verdura,"banane,  1000 g",1.98 € / kg,1.0 kg
frutta e verdura,"esselunga, cuori di iceberg 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"zucchine,  900 g",1.98 € / kg,0.9 kg
frutta e verdura,"esselunga naturama, altromercato banane confezionate  900 g",2.78 € / kg,0.9 kg
frutta e verdura,"esselunga naturama, insalatina 100 g",9.80 € / kg,0.1 kg
frutta e verdura,"esselunga bio, banane biologiche  850 g",2.98 € / kg,0.85 kg
frutta e verdura,"esselunga naturama, datterino confezionato 250 g",9.52 € / kg,0.25 kg
frutta e verdura,"esselunga naturama, rucola 100 g",9.80 € / kg,0.1 kg
frutta e verdura,"esselunga, limoni confezionati 1 kg",2.78 € / kg,1.0 kg
frutta e verdura,"lattuga iceberg,  600 g",1.18 € / kg,0.6 kg
frutta e verdura,"esselunga, limoni confezionati 1 kg",1.75 € / kg,1.0 kg
frutta e verdura,"esselunga, barbabietole rosse cotte al vapore 500 g",1.96 € / kg,0.5 kg
frutta e verdura,"esselunga naturama, carote 700 g",2.12 € / kg,0.7 kg
frutta e verdura,"sedano verde,  750 g",1.98 € / kg,0.75 kg
frutta e verdura,"finocchi,  1000 g",1.98 € / kg,1.0 kg
frutta e verdura,"melanzane,  900 g",1.85 € / kg,0.9 kg
frutta e verdura,"esselunga naturama, valeriana e radicchio 150 g",6.54 € / kg,0.15 kg
frutta e verdura,"insalata lattuga,  600 g",1.98 € / kg,0.6 kg
frutta e verdura,"esselunga naturama, mele golden confezionate  1000 g",2.15 € / kg,1.0 kg
frutta e verdura,"esselunga naturama, carotine snack 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"esselunga naturama, valeriana residuo zero 125 g",11.84 € / kg,0.125 kg
frutta e verdura,"peperoni misti, confezionati  900 g",1.78 € / kg,0.9 kg
frutta e verdura,"pomodoro grappolo,  900 g",2.28 € / kg,0.9 kg
frutta e verdura,"peperoni rossi,  800 g",3.98 € / kg,0.8 kg
frutta e verdura,"esselunga naturama, carote tagliate 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"esselunga naturama, bis julienne 300 g",3.94 € / kg,0.3 kg
frutta e verdura,"esselunga naturama, carotine confezionate 450 g",2.18 € / kg,0.45 kg
frutta e verdura,"scalogno, confezionato 250 g",3.92 € / kg,0.25 kg
frutta e verdura,agaricus bisporus bianco affettato confezionati 300 g,7.61 € / kg,0.3 kg
frutta e verdura,"esselunga, le spremute 100% succo di arancia rossa 750 ml",2.92 € / l,
frutta e verdura,"esselunga naturama, valeriana 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"esselunga naturama, misticanza 125 g",8.80 € / kg,0.125 kg
frutta e verdura,"esselunga, insalata aromatica 150 g",13.21 € / kg,0.15 kg
frutta e verdura,"esselunga, cipolle rosse confezionate 1 kg",1.38 € / kg,1.0 kg
frutta e verdura,"cetrioli,  800 g",1.58 € / kg,0.8 kg
frutta e verdura,"insalata belga,  500 g",1.58 € / kg,0.5 kg
frutta e verdura,"esselunga naturama, insalatina 200 g",5.90 € / kg,0.2 kg
frutta e verdura,"esselunga naturama, misticanza 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"aglio origine italia, confezionato 150 g",8.54 € / kg,0.15 kg
frutta e verdura,"pere william's, confezionate  950 g",2.98 € / kg,0.95 kg
frutta e verdura,"agaricus bisporus bianco, confezionato 400 g",4.95 € / kg,0.4 kg
frutta e verdura,"mele ambrosia, confezionate  1000 g",1.95 € / kg,1.0 kg
frutta e verdura,"esselunga naturama, pomodorini mini plum confezionati 400 g",8.70 € / kg,0.4 kg
frutta e verdura,"esselunga naturama, mele pinova confezionate  1900 g",0.98 € / kg,1.9 kg
frutta e verdura,"pomodoro grappolo siciliano, confezionato 400 g",7.95 € / kg,0.4 kg
frutta e verdura,"esselunga naturama, pomodorini grappolo confezionati  300 g",9.94 € / kg,0.3 kg
frutta e verdura,"esselunga naturama, mele red delicious confezionate  1800 g",0.98 € / kg,1.8 kg
frutta e verdura,"zucchine chiare, confezionate  700 g",2.98 € / kg,0.7 kg
frutta e verdura,"esselunga, mista e germogli 100 g",9.80 € / kg,0.1 kg
frutta e verdura,"esselunga naturama, insalata mista 250 g",6.36 € / kg,0.25 kg
frutta e verdura,"aglio rosso, confezionato 200 g",6.90 € / kg,0.2 kg
frutta e verdura,"esselunga, patate novelle confezionate 1,5 kg",1.99 € / kg,1.5 kg
frutta e verdura,"esselunga, insalata catalana 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"esselunga, insalata romana  500 g",1.98 € / kg,0.5 kg
frutta e verdura,"esselunga naturama, pomodorini colorati confezionati 300 g",6.61 € / kg,0.3 kg
frutta e verdura,"ananas,  1900 g",1.38 € / kg,1.9 kg
frutta e verdura,"esselunga, insalata riviera 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"esselunga, patatine da forno  1000 g",2.98 € / kg,1.0 kg
frutta e verdura,"sedano bianco,  700 g",1.98 € / kg,0.7 kg
frutta e verdura,"radicchio lungo rosso,  750 g",2.28 € / kg,0.75 kg
frutta e verdura,"pomodoro cuore di bue,  700 g",3.98 € / kg,0.7 kg
frutta e verdura,"esselunga naturama, pomodoro cuore di bue 500 g",5.96 € / kg,0.5 kg
frutta e verdura,"mele pink lady, confezionate  1000 g",2.88 € / kg,1.0 kg
frutta e verdura,"esselunga bio, zucchine biologiche  650 g",3.48 € / kg,0.65 kg
frutta e verdura,"ravanelli con foglia,  550 g",2.28 € / kg,0.55 kg
frutta e verdura,"esselunga, radicchio tondo rosso  550 g",1.78 € / kg,0.55 kg
frutta e verdura,"insalata scarola,  550 g",2.88 € / kg,0.55 kg
frutta e verdura,"esselunga naturama, insalata allegra 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"esselunga naturama, mele granny smith confezionate  1100 g",2.15 € / kg,1.1 kg
frutta e verdura,"insalatina mista, confezionata 150 g",6.54 € / kg,0.15 kg
frutta e verdura,"esselunga, patate cotte al vapore 500 g",3.16 € / kg,0.5 kg
frutta e verdura,"porro,  800 g",2.28 € / kg,0.8 kg
frutta e verdura,"esselunga naturama, rucola 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"esselunga, insalatina pan di zucchero 200 g",4.90 € / kg,0.2 kg
frutta e verdura,"esselunga, noci in guscio 500 g",8.98 € / kg,0.5 kg
frutta e verdura,"catalogna,  800 g",1.68 € / kg,0.8 kg
frutta e verdura,"esselunga, insalata mediterranea 250 g",7.92 € / kg,0.25 kg
frutta e verdura,"esselunga, prugne secche denocciolate 250 g",13.96 € / kg,0.25 kg
frutta e verdura,"meloni,  1500 g",1.98 € / kg,1.5 kg
frutta e verdura,"esselunga, insalata ricca 180 g",8.84 € / kg,0.18 kg
frutta e verdura,"aglio di voghiera dop, confezionato 100 g",14.80 € / kg,0.1 kg
frutta e verdura,"cipollotti bianchi,  600 g",2.48 € / kg,0.6 kg
frutta e verdura,"erbette,  400 g",2.28 € / kg,0.4 kg
frutta e verdura,"cavolfiore,  1200 g",1.98 € / kg,1.2 kg
frutta e verdura,"esselunga naturama, cavolfiore  1000 g",2.28 € / kg,1.0 kg
frutta e verdura,"mele kanzi, confezionate  1300 g",2.15 € / kg,1.3 kg
frutta e verdura,"esselunga, soffritto 150 g",6.54 € / kg,0.15 kg
frutta e verdura,"esselunga, arachidi giant 500 g",8.58 € / kg,0.5 kg
frutta e verdura,"cavolo cappuccio,  1200 g",1.38 € / kg,1.2 kg
frutta e verdura,"esselunga, basilico in vaso diam. 14 cm",2.15 € / pz,
frutta e verdura,"esselunga natura matura, ananas  1300 g",2.48 € / kg,1.3 kg
frutta e verdura,"prezzemolo foglia, confezionato 40 g",24.50 € / kg,0.04 kg
frutta e verdura,"esselunga, erbette 500 g",3.96 € / kg,0.5 kg
frutta e verdura,"esselunga, insalata country 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"esselunga bio, avocado hass biologico 300 g",10.94 € / kg,0.3 kg
frutta e verdura,"esselunga, zucchine tagliate alla julienne 150 g",6.54 € / kg,0.15 kg
frutta e verdura,"esselunga naturama, fragole confezionate 500 g",6.50 € / kg,0.5 kg
frutta e verdura,"pere abate, confezionate  1000 g",3.38 € / kg,1.0 kg
frutta e verdura,"cimette di rapa, confezionate 300 g",10.61 € / kg,0.3 kg
frutta e verdura,"zucchine chiare extra, confezionate",4.76 € / kg,
frutta e verdura,"esselunga naturama, gran poker d'insalate 250 g",9.12 € / kg,0.25 kg
frutta e verdura,"esselunga, misto da cuocere 500 g",4.56 € / kg,0.5 kg
frutta e verdura,"esselunga naturama residuo zero, mirtilli 125 g",20.64 € / kg,0.125 kg
frutta e verdura,"esselunga, misticanza rustica 125 g",15.84 € / kg,0.125 kg
frutta e verdura,"esselunga naturama, cuori di scarola 200 g",9.95 € / kg,0.2 kg
frutta e verdura,"esselunga, frutta secca noci sgusciate a mano 150 g",26.61 € / kg,0.15 kg
frutta e verdura,"insalata riccia,  600 g",2.88 € / kg,0.6 kg
frutta e verdura,"esselunga naturama, carote a fettucce 200 g",9.90 € / kg,0.2 kg
frutta e verdura,"cipolla rossa di tropea igp, confezionate 400 g",3.98 € / kg,0.4 kg
frutta e verdura,"cipolle, treccia confezionata 800 g",4.23 € / kg,0.8 kg
frutta e verdura,"crauti rossi,  1200 g",1.48 € / kg,1.2 kg
frutta e verdura,"esselunga bio, spinaci biologici 400 g",7.45 € / kg,0.4 kg
frutta e verdura,"esselunga naturama, finocchi confezionati  700 g",2.68 € / kg,0.7 kg
frutta e verdura,"esselunga, pompelmi rossi confezionati 1 kg",1.98 € / kg,1.0 kg
frutta e verdura,"esselunga bio, mele golden biologiche  1000 g",2.98 € / kg,1.0 kg
frutta e verdura,"esselunga bio, melanzane biologiche  650 g",3.98 € / kg,0.65 kg
frutta e verdura,"esselunga bio, spinacino biologico 100 g",9.80 € / kg,0.1 kg
frutta e verdura,"esselunga bio, pomodorini grappolo biologici 500 g",0.60 € / hg,0.5 kg
frutta e verdura,"insalata cicoria,  750 g",1.68 € / kg,0.75 kg
frutta e verdura,"esselunga, ananas a fette in puro succo di ananas 567 g - peso netto sgocc. 340 g",6.74 € / kg,0.34 kg
frutta e verdura,"pere william's rosse, confezionate  1000 g",2.98 € / kg,1.0 kg
frutta e verdura,"pesche noci gialle, confezionate  900 g",3.98 € / kg,0.9 kg
frutta e verdura,"esselunga naturama, spinaci novelli confezionati 150 g",15.21 € / kg,0.15 kg
frutta e verdura,"esselunga, bio spinacino 100 g",19.80 € / kg,0.1 kg
frutta e verdura,"esselunga, carciofi al vapore 250 g",11.92 € / kg,0.25 kg
frutta e verdura,"esselunga, albicocche essiccate 250 g",13.96 € / kg,0.25 kg
frutta e verdura,"esselunga, patate dolci  1000 g",2.98 € / kg,1.0 kg
frutta e verdura,"esselunga natura matura, bananito confezionato 250 g",14.72 € / kg,0.25 kg
frutta e verdura,"esselunga naturama, carote baby 500 g",3.96 € / kg,0.5 kg
frutta e verdura,"esselunga, carciofi grigliati conditi 230 g",12.96 € / kg,0.23 kg
frutta e verdura,"barbabietole rosse, confezionate  1000 g",1.58 € / kg,1.0 kg
frutta e verdura,"esselunga, mandorle pelate 250 g",17.96 € / kg,0.25 kg
frutta e verdura,"esselunga, pinoli sgusciati 100 g",59.40 € / kg,0.1 kg
frutta e verdura,"esselunga bio, carote tagliate biologiche 200 g",9.90 € / kg,0.2 kg
