Category,Product,Price,Quantity
spesa bio,"esselunga bio, prugne d'agen igp intere biologiche 200 g",14.95 € / kg,0.2 kg
spesa bio,"esselunga bio, malva per infuso 16 filtri 20,8 g",128.50 € / kg,0.0208 kg
spesa bio,"esselunga bio, mezze penne rigate pasta di semola di grano duro 500 g",1.98 € / kg,0.5 kg
spesa bio,"esselunga bio, semola di grano duro biologica 1 kg",1.89 € / kg,1.0 kg
spesa bio,"esselunga bio, mandorle pelate 125 g",27.92 € / kg,0.125 kg
spesa bio,"esselunga bio, brodo granulare 120 g",37.09 € / kg,0.12 kg
spesa bio,"esselunga bio, farina di mais bramata 500 g",2.50 € / kg,0.5 kg
spesa bio,"esselunga bio, orzo tostato macinato biologico 500 g",3.06 € / kg,0.5 kg
spesa bio,"esselunga bio, elicoidali pasta di semola di grano duro 500 g",1.98 € / kg,0.5 kg
spesa bio,"esselunga bio, pizze margherita biologiche surgelate conf. 2x300 g",9.82 € / kg,0.6 kg
spesa bio,"esselunga bio, noci di grenoble noci secche biologiche 500 g",5.98 € / kg,0.5 kg
spesa bio,"esselunga bio, aceto di vino bianco biologico 500 ml",3.98 € / l,
spesa bio,"esselunga bio, succo di pomodoro biologico conf. 6x125 ml",3.99 € / l,
spesa bio,"esselunga bio, cacao amaro in polvere altromercato biologico 75 g",20.14 € / kg,0.075 kg
spesa bio,"esselunga bio, succo e polpa di pesca biologico 750 ml",2.91 € / l,
spesa bio,"esselunga bio, lenticchie giganti biologiche 500 g",5.18 € / kg,0.5 kg
spesa bio,"esselunga bio, succo e polpa di pera biologico 750 ml",2.91 € / l,
spesa bio,"esselunga bio, miele di acacia biologico 500 g",17.98 € / kg,0.5 kg
spesa bio,"esselunga bio, succo e polpa di albicocca biologico 750 ml",2.91 € / l,
spesa bio,"esselunga bio, aceto di vino rosso biologico 500 ml",3.98 € / l,
spesa bio,"esselunga bio, sugo alle melanzane biologico 190 g",8.37 € / kg,0.19 kg
spesa bio,"esselunga bio, fagioli borlotti 500 g",5.74 € / kg,0.5 kg
spesa bio,"esselunga bio, grissini biologico 200 g",9.45 € / kg,0.2 kg
spesa bio,"esselunga bio, succo e polpa di mela biologico 750 ml",2.91 € / l,
spesa bio,"esselunga bio, olio extra vergine di oliva 100% italiano 750 ml",11.99 € / l,
spesa bio,"esselunga bio, marmellata di arance biologica  360 g",7.20 € / kg,0.36 kg
spesa bio,"esselunga bio, pizza alle verdure con grano kamut surgelata biologica 380 g",9.98 € / kg,0.38 kg
spesa bio,"esselunga bio, misto di legumi e cereali 500 g",4.98 € / kg,0.5 kg
spesa bio,"esselunga bio, menta piperita per infuso 16 filtri 24 g",106.25 € / kg,0.024 kg
spesa bio,"esselunga bio, melissa per infuso 16 filtri 20,8 g",127.50 € / kg,0.0208 kg
spesa bio,"esselunga bio, preparato per bevanda al cacao biologico 300 g",9.31 € / kg,0.3 kg
spesa bio,"esselunga bio, succo e polpa di prugna biologico conf. 6x125 ml",3.99 € / l,
spesa bio,"esselunga bio, olio per frittura biologico 1 l",4.99 € / l,1.0 l
spesa bio,"esselunga bio, olio di semi di mais biologico 75 cl",6.39 € / l,75.0 cl
spesa bio,"esselunga bio, fagioli cannellini 500 g",7.58 € / kg,0.5 kg
spesa bio,"esselunga bio, olio extra vergine di oliva toscano igp 750 ml",19.32 € / l,
spesa bio,"esselunga equilibrio, gallette mais senza glutine 120 g",13.26 € / kg,0.12 kg
spesa bio,"esselunga equilibrio, gallette riso senza glutine 150 g",10.61 € / kg,0.15 kg
spesa bio,"esselunga equilibrio, triangoli mais senza glutine 100 g",12.70 € / kg,0.1 kg
spesa bio,"esselunga equilibrio, fette croccanti riso senza glutine conf. 10x20 g",10.45 € / kg,0.2 kg
spesa bio,"esselunga equilibrio, fette croccanti mais senza glutine conf. 10x18 g",10.45 € / kg,0.18 kg
spesa bio,"esselunga equilibrio, piadina di grano kamut da conservare in frigorifero 3 pezzi 225 g",15.96 € / kg,0.225 kg
spesa bio,"esselunga equilibrio, triangoli riso senza glutine 100 g",12.70 € / kg,0.1 kg
spesa bio,"esselunga equilibrio, mini gallette mais senza glutine conf. 6x20 g",14.59 € / kg,0.12 kg
spesa bio,"esselunga equilibrio, minipiadina di grano kamut da conservare in frigorifero 8 pezzi 200 g",19.95 € / kg,0.2 kg
spesa bio,"esselunga bio, banane biologiche  850 g",2.98 € / kg,0.85 kg
spesa bio,"esselunga bio, 10 uova fresche biologiche 10 pezzi",0.43 € / pz,10.0 pz
spesa bio,"esselunga bio, misto per soffritto biologico surgelato 300 g",5.84 € / kg,0.3 kg
spesa bio,"esselunga bio, zucchine biologiche  650 g",3.48 € / kg,0.65 kg
spesa bio,"esselunga bio, latte uht a lunga conservazione intero 1 l",1.69 € / l,1.0 l
spesa bio,"esselunga bio, latte uht a lunga conservazione parzialmente scremato 1 l",1.69 € / l,1.0 l
spesa bio,"esselunga bio, avocado hass biologico 300 g",10.94 € / kg,0.3 kg
spesa bio,"esselunga equilibrio, bevanda vegetale soia senza zuccheri aggiunti 1 l",1.89 € / l,1.0 l
spesa bio,"esselunga bio, spinaci biologici 400 g",7.45 € / kg,0.4 kg
spesa bio,"esselunga, bio pane morbido integrale 400 g",3.95 € / kg,0.4 kg
spesa bio,"esselunga equilibrio, fusilli integrali n.48 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga bio, mele golden biologiche  1000 g",2.98 € / kg,1.0 kg
spesa bio,"esselunga bio, melanzane biologiche  650 g",3.98 € / kg,0.65 kg
spesa bio,"esselunga bio, spinacino biologico 100 g",9.80 € / kg,0.1 kg
spesa bio,"esselunga bio, pomodorini grappolo biologici 500 g",0.60 € / hg,0.5 kg
spesa bio,"esselunga, bio 36 fette biscottate integrali biologiche 320 g",4.97 € / kg,0.32 kg
spesa bio,"esselunga equilibrio, pennette rigate integrali n.66 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga, bio spinacino 100 g",19.80 € / kg,0.1 kg
spesa bio,"esselunga bio, prezzemolo e aglio tritati biologici surgelati 100 g",14.90 € / kg,0.1 kg
spesa bio,"esselunga equilibrio, triangoli senza glutine mais conf. 6x20 g",18.26 € / kg,0.12 kg
spesa bio,"esselunga bio, scalogno tritato surgelato biologico 100 g",11.50 € / kg,0.1 kg
spesa bio,"esselunga bio, passato di verdure 310 g",8.01 € / kg,0.31 kg
spesa bio,"esselunga equilibrio, seitan al naturale conf. 2x125 g",11.96 € / kg,0.25 kg
spesa bio,"esselunga bio, carote tagliate biologiche 200 g",9.90 € / kg,0.2 kg
spesa bio,"esselunga bio, castagne 100 g",26.90 € / kg,0.1 kg
spesa bio,"esselunga bio, arachidi tostate con guscio biologiche 250 g",9.96 € / kg,0.25 kg
spesa bio,"esselunga bio, noci biologiche 400 g",12.48 € / kg,0.4 kg
spesa bio,"esselunga equilibrio, tortiglioni integrali n.49 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga bio, ginger biologico 250 g",8.72 € / kg,0.25 kg
spesa bio,"esselunga bio, cipolla rossa tritata surgelata biologica 100 g",11.50 € / kg,0.1 kg
spesa bio,"esselunga bio, 36 fette biscottate 320 g",4.97 € / kg,0.32 kg
spesa bio,"esselunga bio, fagiolini boby verdi biologici 300 g",10.94 € / kg,0.3 kg
spesa bio,"esselunga equilibrio, mezze maniche integrali n.51 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga bio, cetrioli biologici  800 g",2.78 € / kg,0.8 kg
spesa bio,"esselunga bio, anacardi al naturale sgusciati 100 g",24.90 € / kg,0.1 kg
spesa bio,"esselunga bio, minestrone di verdure 310 g",8.01 € / kg,0.31 kg
spesa bio,"esselunga equilibrio, spaghetti integrali n.3 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga bio, pesto con basilico genovese dop senza aglio biologico 140 g",28.50 € / kg,0.14 kg
spesa bio,"esselunga bio, zuppa di kamut e legumi biologica confezionata 310 g",8.01 € / kg,0.31 kg
spesa bio,"esselunga equilibrio, piadina fresca integrale 3 pezzi 225 g",15.52 € / kg,0.225 kg
spesa bio,"esselunga bio, aglio tritato biologico surgelato 75 g",19.87 € / kg,0.075 kg
spesa bio,"esselunga bio, frutta frullata pera conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, zucca biologica  1250 g",2.48 € / kg,1.25 kg
spesa bio,"esselunga bio, scalogno biologico 300 g",7.94 € / kg,0.3 kg
spesa bio,"esselunga bio, zuppa di orzo e farro biologico confezionato 310 g",8.01 € / kg,0.31 kg
spesa bio,"esselunga equilibrio, farfalle integrali n.85 500 g",1.78 € / kg,0.5 kg
spesa bio,"esselunga bio, cetriolo lungo biologico 200 g",4.90 € / kg,0.2 kg
spesa bio,"esselunga, bio frutta frullata mela e banana conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, frutta frullata mela conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, altromercato cioccolato fondente extra 71% cacao biologico 100 g",16.90 € / kg,0.1 kg
spesa bio,"esselunga bio, altromercato tè verde 20 filtri 40 g",54.75 € / kg,0.04 kg
spesa bio,"esselunga equilibrio, tortino con grano saraceno mais e riso senza glutine 6 pezzi 240 g",12.46 € / kg,0.24 kg
spesa bio,"esselunga bio, mix di frutta secca biologica 150 g",21.94 € / kg,0.15 kg
spesa bio,"esselunga bio, frutta frullata mela e albicocca conf. 2x100 g",7.45 € / kg,0.2 kg
spesa bio,"esselunga bio, trofie 500 g",4.58 € / kg,0.5 kg
spesa bio,"esselunga bio, mais dolce in grani conf. 2x160 g - peso netto sgocc. 2x140 g",8.90 € / kg,0.28 kg
spesa bio,"bioagricola bosco, origano di sicilia 25 g",91.60 € / kg,0.025 kg
spesa bio,"esselunga bio, frutta frullata mela e prugna conf. 2x100 g",7.45 € / kg,0.2 kg
