products,prices_per_unitmeasurement,unit_price,category,subcategory
Freschi e Convenienti Maasdam a Fette 200 g Conad,14.7 € / Kg,"1,59€","Formaggi, latte e uova",Formaggi
Asiago Formaggio DOP 300 g Conad,"14,30 € / Kg","4,29€","Formaggi, latte e uova",Formaggi
Emmental Francese 220 g Conad,"10,86 € / Kg","2,39€","Formaggi, latte e uova",Formaggi
Emmentaler Svizzero 400 g Conad,"18,72 € / Kg","7,49€","Formaggi, latte e uova",Formaggi
Feta DOP 200 g Conad,"15,95 € / Kg","3,19€","Formaggi, latte e uova",Formaggi
"Fontina DOP 0,200 kg Sapori & Dintorni Conad","20,45 € / Kg","4,09€","Formaggi, latte e uova",Formaggi
Formaggio al Peperoncino a Fette Sottili 130 g Conad,"17,62 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Formaggio di Latte di Montagna a Fette Sottili 130 g Conad,"16,08 € / Kg","2,09€","Formaggi, latte e uova",Formaggi
Gorgonzola Dolce DOP 200 g Sapori & Dintorni Conad,"14,45 € / Kg","2,89€","Formaggi, latte e uova",Formaggi
Maasdam Olandese 150 g Conad,"13,27 € / Kg","1,99€","Formaggi, latte e uova",Formaggi
Maasdam Olandese 330 g Conad,"10,58 € / Kg","3,49€","Formaggi, latte e uova",Formaggi
Pecorino Romano DOP Stagionatura minima 12 mesi 300 g Sapori & Dintorni Conad,"25,30 € / Kg","7,59€","Formaggi, latte e uova",Formaggi
Provolone Valpadana DOP Dolce 250 g Sapori & Dintorni Conad,"13,16 € / Kg","3,29€","Formaggi, latte e uova",Formaggi
Provolone Valpadana DOP Piccante 250 g Sapori & Dintorni Conad,"13,96 € / Kg","3,49€","Formaggi, latte e uova",Formaggi
SAPORI & IDEE CONAD Gorgonzola e Mascarpone 200 g,"14,45 € / Kg","2,89€","Formaggi, latte e uova",Formaggi
Scamorza Affumicata a Fette Sottili 130 g Conad,"16,15 € / Kg","2,10€","Formaggi, latte e uova",Formaggi
Scamorza Affumicata di latte vaccino 250 g Conad,"9,16 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Scamorza Fresca di latte vaccino 250 g Conad,"9,16 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Galbani Gim Gorgonzola DOP 220 g,"14,50 € / Kg","3,19€","Formaggi, latte e uova",Formaggi
Auricchio Provolone Piccante l'Originale 200 g,"19,95 € / Kg","3,99€","Formaggi, latte e uova",Formaggi
Babybel Original Mini 5 x 20 g,"19,90 € / Kg","1,99€","Formaggi, latte e uova",Formaggi
Bayernland edam tedesco formaggio a fette 100 g,"18,00 € / Kg","1,80€","Formaggi, latte e uova",Formaggi
Bayernland emmental bavarese formaggio a fette naturalmente senza lattosio* 100 g,"18,00 € / Kg","1,80€","Formaggi, latte e uova",Formaggi
Camoscio d'Oro Fette Morbidissime 150 g,"17,93 € / Kg","2,69€","Formaggi, latte e uova",Formaggi
Camoscio d'Oro l'Originale 200 g,"14,45 € / Kg","2,89€","Formaggi, latte e uova",Formaggi
Caprice des Dieux 200 g,"16,95 € / Kg","3,39€","Formaggi, latte e uova",Formaggi
Ferrari Fontalpe 200g,"13,45 € / Kg","2,69€","Formaggi, latte e uova",Formaggi
Ferrari Tilsit 200g,"12,95 € / Kg","2,59€","Formaggi, latte e uova",Formaggi
Galbani Galbanino Fette Classiche 120 g,"14,08 € / Kg","1,69€","Formaggi, latte e uova",Formaggi
Leerdammer Original Formaggio a Fette 10 x 20 g,"16,95 € / Kg","3,39€","Formaggi, latte e uova",Formaggi
Leerdammer Special Toast Fette 6 x 21 g,"17,20 € / Kg","2,15€","Formaggi, latte e uova",Formaggi
Leerdammer Xtra Sottili 80 g,"23,75 € / Kg","1,90€","Formaggi, latte e uova",Formaggi
Paysan Breton Le Brie 200 g,"11,25 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Vero Cademartori Taleggio DOP 200 g,"14,45 € / Kg","2,89€","Formaggi, latte e uova",Formaggi
Zorbas Feta a Cubetti 200 g,"17,95 € / Kg","3,59€","Formaggi, latte e uova",Formaggi
L'originale CAMOSCIO D ORO,16.8 € / Kg,"3,87€","Formaggi, latte e uova",Formaggi
Original LEERDAMMER,14.5 € / Kg,"4,17€","Formaggi, latte e uova",Formaggi
Emmental Svizzero Conad,"17,90 € / Kg","5,37€","Formaggi, latte e uova",Formaggi
6 Formaggini cremosi e delicati 125 g Conad,"10,32 € / Kg","1,29€","Formaggi, latte e uova",Formaggi
8 Formaggini al Parmigiano Reggiano 140 g Conad,"11,36 € / Kg","1,59€","Formaggi, latte e uova",Formaggi
NESTLÉ MIO Formaggino Classico (6 formaggini) 125g,13.4 € / Kg,"1,39€","Formaggi, latte e uova",Formaggi
Galbani Crema Bel Paese 8 Formaggini 175 g,"7,94 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
NESTLÉ MIO Formaggino Senza Lattosio (6 formaggini) 125g,"15,60 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
"Nonno Nanni Formaggini 8 x 17,5 g","13,21 € / Kg","1,85€","Formaggi, latte e uova",Formaggi
Parmareggio 8 Formaggini al Parmigiano Reggiano 140 g,"12,07 € / Kg","1,69€","Formaggi, latte e uova",Formaggi
Tigre classico 6 spicchi 140 g,"16,79 € / Kg","2,35€","Formaggi, latte e uova",Formaggi
Formaggio Fresco Spalmabile 175 g Conad,"11,14 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
Formaggio Fresco Spalmabile 200 g Conad,"11,45 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Formaggio Senza Lattosio Spalmabile 175 g Alimentum Conad,"11,14 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
Camoscio d'Oro DeliCapra Formaggio 100% Capra Spalmabile 150 g,"19,00 € / Kg","2,85€","Formaggi, latte e uova",Formaggi
Jocca fiocchi di latte a base di formaggio fresco magro - 2 x 175 g,"10,54 € / Kg","3,69€","Formaggi, latte e uova",Formaggi
Jocca fiocchi di latte Senza Lattosio a base di formaggio fresco magro - 175 g,"11,37 € / Kg","1,99€","Formaggi, latte e uova",Formaggi
Nonno Nanni il fresco spalmabile 150 g,"13,20 € / Kg","1,98€","Formaggi, latte e uova",Formaggi
Philadelphia BenEssere Light 175 g,"14,00 € / Kg","2,45€","Formaggi, latte e uova",Formaggi
Philadelphia BenEssere Senza Lattosio formaggio fresco spalmabile - 175 g,"12,86 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Philadelphia formaggio fresco spalmabile alle Erbe - 6x25g,"18,60 € / Kg","2,79€","Formaggi, latte e uova",Formaggi
Philadelphia formaggio fresco spalmabile con salmone norvegese - 150 g,"15,00 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Philadelphia Original 2 x 80 g,"16,19 € / Kg","2,59€","Formaggi, latte e uova",Formaggi
Philadelphia Original 250 g,"13,16 € / Kg","3,29€","Formaggi, latte e uova",Formaggi
Philadelphia Original formaggio fresco spalmabile - 150g,"15,00 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Philadelphia Original Mini formaggio fresco spalmabile - 4 x 35 g,"14,21 € / Kg","1,99€","Formaggi, latte e uova",Formaggi
Philadelphia Salmone 6 x 25 g,"18,60 € / Kg","2,79€","Formaggi, latte e uova",Formaggi
Finette Burger al Gorgonzola 8 Fette 150 g Conad,"9,27 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Finette Burger al Pecorino 8 Fette 150 g Conad,"9,27 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Finette Burger alla Scamorza Affumicata 8 Fette 150 g Conad,"9,27 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Finette Classiche 16 fette 400 g Conad,"6,22 € / Kg","2,49€","Formaggi, latte e uova",Formaggi
Finette classiche 6 Fette 150 g Alimentum Senza Lattosio Conad,"8,60 € / Kg","1,29€","Formaggi, latte e uova",Formaggi
Finette Classiche 8 fette 200 g Conad,"7,45 € / Kg","1,49€","Formaggi, latte e uova",Formaggi
Finette con Cheddar 8 fette 150 g Conad,"9,00 € / Kg","1,35€","Formaggi, latte e uova",Formaggi
Finette con Emmental 8 fette 150 g Conad,"7,93 € / Kg","1,19€","Formaggi, latte e uova",Formaggi
Piacersi Finette 8 Fette 200 g Conad,"5,95 € / Kg","1,19€","Formaggi, latte e uova",Formaggi
Parmareggio Fettine al Parmigiano Reggiano 150 g,12.6 € / Kg,"1,49€","Formaggi, latte e uova",Formaggi
Sottilette Classiche 200 g,"11,45 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Sottilette Classiche formaggio fuso a fette - 400g,"9,73 € / Kg","3,89€","Formaggi, latte e uova",Formaggi
Sottilette Le Specialità Fila e Fondi con Mozzarella - formaggio fuso a fette - 200 g,"9,75 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
Sottilette Light formaggio fuso a fette leggero -  200 g,"11,75 € / Kg","2,35€","Formaggi, latte e uova",Formaggi
Blu di Capra Dolce Sapori & Idee Conad,"23,90 € / Kg","2,39€","Formaggi, latte e uova",Formaggi
Gorgonzola DOP Dolce Conad,"12,95 € / Kg","12,95€","Formaggi, latte e uova",Formaggi
Grana Padano DOP 5 Snacks 100 g Conad,19.7 € / Kg,"1,79€","Formaggi, latte e uova",Formaggi
Grana Padano DOP bocconcini 300 g Conad,"18,30 € / Kg","5,49€","Formaggi, latte e uova",Formaggi
Grana Padano DOP Grattugiato 100 g Conad,"16,50 € / Kg","1,65€","Formaggi, latte e uova",Formaggi
Grana Padano DOP Grattugiato Fresco 60 g Sapori & Dintorni Conad,"20,83 € / Kg","1,25€","Formaggi, latte e uova",Formaggi
Grana Padano DOP Oltre 16 Mesi 250 g Conad,"19,80 € / Kg","4,95€","Formaggi, latte e uova",Formaggi
Grana Padano DOP Scaglie 150 g Conad,"19,27 € / Kg","2,89€","Formaggi, latte e uova",Formaggi
Grana Padano DOP Stagionatura Minima 16 Mesi Conad,"16,90 € / Kg","16,90€","Formaggi, latte e uova",Formaggi
Mix di Formaggi Grattugiati e confezionati freschi 100 g Conad,"11,90 € / Kg","1,19€","Formaggi, latte e uova",Formaggi
Mix grattugiato al pecorino 100g Conad,"19,50 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
Parmigiano Reggiano DOP 100 g Conad,"18,50 € / Kg","1,85€","Formaggi, latte e uova",Formaggi
Parmigiano Reggiano DOP Grattugiato Fresco stagionatura minima 30 mesi 60 g Sapori & Dintorni Conad,"26,50 € / Kg","1,59€","Formaggi, latte e uova",Formaggi
Parmigiano Reggiano DOP Stagionatura Minima 24 mesi 250 g Conad,"23,80 € / Kg","5,95€","Formaggi, latte e uova",Formaggi
Parmigiano Reggiano DOP Stagionatura Minima 24 mesi CONAD,"19,90 € / Kg","19,90€","Formaggi, latte e uova",Formaggi
Parmigiano Reggiano Grattugiato Fresco Biologico 50 g Verso Natura Conad,"25,80 € / Kg","1,29€","Formaggi, latte e uova",Formaggi
Parmareggio Parmigiano Reggiano Grattugiato Fresco 60 g,29.7 € / Kg,"0,89€","Formaggi, latte e uova",Formaggi
Auricchio Pecorissimo Pecorino Romano D.O.P. 80 g,"28,12 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Biraghi Gran Biraghi Formaggio Stagionato Grattugiato Fresco 100 g,"18,90 € / Kg","1,89€","Formaggi, latte e uova",Formaggi
Biraghi La Nostra Ricetta al Pecorino Grattugiato Fresco 100 g,"22,90 € / Kg","2,29€","Formaggi, latte e uova",Formaggi
Ferrari GranMix Classico Grattugiato Fresco 100 g,"16,50 € / Kg","1,65€","Formaggi, latte e uova",Formaggi
Gran Soresina Grana Padano DOP Grattugiato 100 g,"19,90 € / Kg","1,99€","Formaggi, latte e uova",Formaggi
Parmareggio Parmigiano Reggiano DOP Oltre 30 Mesi 250 g,"29,00 € / Kg","7,25€","Formaggi, latte e uova",Formaggi
Parmareggio Petali di Parma DOP 100 g,"29,80 € / Kg","2,98€","Formaggi, latte e uova",Formaggi
Parmareggio Snack! 5 Barrette di Parmigiano Reggiano DOP 5 x 20 g,"23,50 € / Kg","2,35€","Formaggi, latte e uova",Formaggi
Mascarpone 250 g Alimentum Senza Lattosio Conad,"10,36 € / Kg","2,59€","Formaggi, latte e uova",Formaggi
Mascarpone g.  250 Conad,"9,56 € / Kg","2,39€","Formaggi, latte e uova",Formaggi
Mascarpone g.  500 Conad,"8,58 € / Kg","4,29€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Mascarpone 500 g,12.4 € / Kg,"3,98€","Formaggi, latte e uova",Formaggi
Mozzarella di Bufala Campana DOP 200 g Sapori & Dintorni Conad,14.4 € / Kg,"2,39€","Formaggi, latte e uova",Formaggi
3 Mozzarelle con fermenti lattici vivi 3 x 125 g Conad,"7,17 € / Kg","2,69€","Formaggi, latte e uova",Formaggi
Bocconcini di Mozzarella con fermenti lattici vivi 200 g Conad,"11,25 € / Kg","2,25€","Formaggi, latte e uova",Formaggi
Mozzarella Biologica 100 g Verso Natura Bio Conad,"13,90 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Mozzarella con fermenti lattici vivi 125 g Conad,"7,92 € / Kg","0,99€","Formaggi, latte e uova",Formaggi
Mozzarella di Bufala Campana DOP 500 g Sapori & Dintorni Conad,"13,80 € / Kg","6,90€","Formaggi, latte e uova",Formaggi
Mozzarella di Bufala Campana DOP Bocconcini 270 g Sapori & Dintorni Conad,"14,78 € / Kg","3,99€","Formaggi, latte e uova",Formaggi
Mozzarella per cucinare 250 g Conad,"8,76 € / Kg","2,19€","Formaggi, latte e uova",Formaggi
Mozzarella per cucinare 400g Conad,"8,48 € / Kg","3,39€","Formaggi, latte e uova",Formaggi
Mozzarella senza lattosio g 125 Alimentum Conad,"11,12 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Perline di Mozzarella 120 g Conad,"12,42 € / Kg","1,49€","Formaggi, latte e uova",Formaggi
Piacersi Mozzarella Light 125 g Conad,"10,00 € / Kg","1,25€","Formaggi, latte e uova",Formaggi
Accadì Benessere Mozzarella Senza Lattosio 350 g,10.2 € / Kg,"3,29€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Mozzarella per pizza 400 g,11.4 € / Kg,"3,19€","Formaggi, latte e uova",Formaggi
Granarolo Benessere Oggi Puoi Mozzarella 3 x 100 g,10.8 € / Kg,"2,49€","Formaggi, latte e uova",Formaggi
Delizia Campana Mozzarella di Bufala Campana DOP 100 g,"19,50 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Bufalina ideale per pizza 250 g,"13,20 € / Kg","3,30€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Ciliegie di Mozzarella 150 g,"14,60 € / Kg","2,19€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Mozzarella 125 g,"7,07 € / Kg","1,59€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Mozzarella 3 x 125 g,"12,67 € / Kg","4,75€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Mozzarella Pizza Perfetta 150 g,"13,20 € / Kg","1,98€","Formaggi, latte e uova",Formaggi
Granarolo Mozzarella Fresca 3 x 100 g,"13,17 € / Kg","3,95€","Formaggi, latte e uova",Formaggi
Mandara Mozzarella di Latte di Bufala Zero Lattosio 200 g,"18,45 € / Kg","3,69€","Formaggi, latte e uova",Formaggi
Vallelata Fior di Latte Mozzarella 200 g,"11,95 € / Kg","2,39€","Formaggi, latte e uova",Formaggi
Vallelata Fior di Latte Mozzarella Fresca 125 g,"12,72 € / Kg","1,59€","Formaggi, latte e uova",Formaggi
Vallelata Mozzarella di Bufala Campana DOP 180 g,"18,33 € / Kg","3,30€","Formaggi, latte e uova",Formaggi
Burrata Pugliese 300 g Sapori & Dintorni Conad,15.4 € / Kg,"3,69€","Formaggi, latte e uova",Formaggi
Burratina Affumicata 100 g Sapori & Idee Conad,20.4 € / Kg,"1,59€","Formaggi, latte e uova",Formaggi
Burrata di Bufala 125 g Sapori & Dintorni Conad,"17,52 € / Kg","2,19€","Formaggi, latte e uova",Formaggi
Burrata Pugliese 2 x 100 g Sapori & Dintorni Conad,"17,75 € / Kg","3,55€","Formaggi, latte e uova",Formaggi
Burrata Pugliese 200 g Sapori & Dintorni Conad,"17,25 € / Kg","3,45€","Formaggi, latte e uova",Formaggi
Formaggio Dolce a Pasta Filata 270 g Conad,"9,81 € / Kg","2,65€","Formaggi, latte e uova",Formaggi
Stracciatella 250 g Conad,"14,76 € / Kg","3,69€","Formaggi, latte e uova",Formaggi
Treccione di Pasta Filata Affumicato Conad,"13,90 € / Kg","5,56€","Formaggi, latte e uova",Formaggi
Galbani Galbanino l'Originale formaggio dolce 270 g,13.6 € / Kg,"3,09€","Formaggi, latte e uova",Formaggi
Pecorino Sardo DOP Maturo Sapori & Dintorni Conad,23.8 € / Kg,"6,27€","Formaggi, latte e uova",Formaggi
Pecorino Romano DOP Nero Stagionato Sapori & Dintorni Conad,"27,50 € / Kg","27,50€","Formaggi, latte e uova",Formaggi
Pecorino Sardo DOP Dolce Sapori & Dintorni Conad,"21,50 € / Kg","21,50€","Formaggi, latte e uova",Formaggi
Giglio Sardo Pecorino Stagionato ARGIOLAS,"21,40 € / Kg","6,42€","Formaggi, latte e uova",Formaggi
Alimentum Senza Lattosio Ricottine 2 x 100 g Conad,"6,95 € / Kg","1,39€","Formaggi, latte e uova",Formaggi
Ricotta Biologica 200 g Verso Natura Conad,"7,75 € / Kg","1,55€","Formaggi, latte e uova",Formaggi
Ricotta Fresca 250 g. Conad,"3,80 € / Kg","0,95€","Formaggi, latte e uova",Formaggi
Ricottine 2 x 100 g Piacersi Conad,"6,45 € / Kg","1,29€","Formaggi, latte e uova",Formaggi
Ricottine Fresche 2x100 g. Conad,"5,45 € / Kg","1,09€","Formaggi, latte e uova",Formaggi
SAPORI & IDEE CONAD Ricotta di Capra 250 g,"13,96 € / Kg","3,49€","Formaggi, latte e uova",Formaggi
Galbani Santa Lucia Ricotta 250 g,5.5 € / Kg,"1,19€","Formaggi, latte e uova",Formaggi
Granarolo Cucina ad Arte Ricotta 250 g,"6,76 € / Kg","1,69€","Formaggi, latte e uova",Formaggi
Vallelata Ricottine Fresche 2 x 100 g,"7,95 € / Kg","1,59€","Formaggi, latte e uova",Formaggi
Valsoia Bontà e Salute lo Spalmabile Classico 125 g,"14,32 € / Kg","1,79€","Formaggi, latte e uova",Formaggi
FORM.CAPRABELLA ZANI 280g,"13,18 € / Kg","3,69€","Formaggi, latte e uova",Formaggi
FORM.SBIRRO BOTALLA,21.9 € / Kg,"8,76€","Formaggi, latte e uova",Formaggi
FORMAGGIO BASTARDO  DEL GRAPPA,13.9 € / Kg,"3,87€","Formaggi, latte e uova",Formaggi
ROSA CAMUNA VALCAMONICA CISSV,15.7 € / Kg,"6,45€","Formaggi, latte e uova",Formaggi
FORMAGGIO ANGELICO DEL GRAPPA,"13,95 € / Kg","13,95€","Formaggi, latte e uova",Formaggi
FORMAGGIO KAPRONE BOTALLA,"29,90 € / Kg","11,96€","Formaggi, latte e uova",Formaggi
FORMAGGIO VALTELLINA CASERA DOP,"15,80 € / Kg","4,74€","Formaggi, latte e uova",Formaggi
BRIE PRESIDENT,"14,90 € / Kg","14,90€","Formaggi, latte e uova",Formaggi
FORM.CREMOSISSIMO BERGADER 175g,"12,51 € / Kg","2,19€","Formaggi, latte e uova",Formaggi
FORMAGGIO LEERDAMMER Single 150g,"15,67 € / Kg","2,35€","Formaggi, latte e uova",Formaggi
MOZZARELLA DI SERIATE 200g,"2350,00 € / Kg","2,35€","Formaggi, latte e uova",Formaggi
BURRATA IN FOGLIA LATINI 300g,"21,50 € / Kg","6,45€","Formaggi, latte e uova",Formaggi
RICCOTTA LA TRADIZIONALE 240g,"8,12 € / Kg","1,95€","Formaggi, latte e uova",Formaggi
RICOTTA RICCOTTA VALCOLATTE 250g,"6,76 € / Kg","1,69€","Formaggi, latte e uova",Formaggi
Burro 12 porzioni 125 g Conad,"15,12 € / Kg","1,89€","Formaggi, latte e uova",Burro e margarina
Burro 125 g Conad,"12,72 € / Kg","1,59€","Formaggi, latte e uova",Burro e margarina
Burro Alpino 125 g Sapori & Dintorni Conad,"15,92 € / Kg","1,99€","Formaggi, latte e uova",Burro e margarina
Burro Biologico 125 g Verso Natura Bio Conad,"19,12 € / Kg","2,39€","Formaggi, latte e uova",Burro e margarina
Burro Panetto g 500 Conad,"9,98 € / Kg","4,99€","Formaggi, latte e uova",Burro e margarina
Burro Rotolo 250 g Conad,"11,56 € / Kg","2,89€","Formaggi, latte e uova",Burro e margarina
Burro Salato 125 g Sapori & Idee Conad,"15,92 € / Kg","1,99€","Formaggi, latte e uova",Burro e margarina
Burro senza lattosio 125g Alimentum Conad,"14,32 € / Kg","1,79€","Formaggi, latte e uova",Burro e margarina
Piacersi Burro 250 g Conad,"14,76 € / Kg","3,69€","Formaggi, latte e uova",Burro e margarina
Burro Formato Casalingo 250 g,"15,20 € / Kg","3,80€","Formaggi, latte e uova",Burro e margarina
Latteria Soresina Burro Soresina 250 g,"11,96 € / Kg","2,99€","Formaggi, latte e uova",Burro e margarina
Lurpak Burro Leggermente Salato 250 g,"13,96 € / Kg","3,49€","Formaggi, latte e uova",Burro e margarina
Parmareggio Burro 200 g,"13,45 € / Kg","2,69€","Formaggi, latte e uova",Burro e margarina
Prealpi Burro Chiarificato 250 g,"18,36 € / Kg","4,59€","Formaggi, latte e uova",Burro e margarina
Margarina 250 g Conad,"4,60 € / Kg","1,15€","Formaggi, latte e uova",Burro e margarina
Vallé Omega 3 250 g,"7,56 € / Kg","1,89€","Formaggi, latte e uova",Burro e margarina
Valle' Naturalmente 250 g,"6,60 € / Kg","1,65€","Formaggi, latte e uova",Burro e margarina
Casa Modena Strutto 250 g,"7,16 € / Kg","1,79€","Formaggi, latte e uova",Burro e margarina
BURRO ANTICA CREMERIA 250g,"13,16 € / Kg","3,29€","Formaggi, latte e uova",Burro e margarina
BURRO BEPPINO OCCELLI 125g,"27,92 € / Kg","3,49€","Formaggi, latte e uova",Burro e margarina
BURRO CONCAVERDE 250g,"11,96 € / Kg","2,99€","Formaggi, latte e uova",Burro e margarina
BURRO CONCAVERDE 500g,"10,78 € / Kg","5,39€","Formaggi, latte e uova",Burro e margarina
BURRO FIORE BAVARESE MEGGLE 250g,"14,76 € / Kg","3,69€","Formaggi, latte e uova",Burro e margarina
BURRO GRANAROLO 200g,"18,25 € / Kg","3,65€","Formaggi, latte e uova",Burro e margarina
Due bontà yogurt cremoso al cocco più palline al cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Due Bontà Yogurt Cremoso alla Vaniglia   Biscotto al Caffè e Gocce di Cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Due Bontà Yogurt Cremoso Bianco   Anelli al Cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Due Bontà Yogurt Cremoso Bianco   Nocciole e Cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Due bontà yogurt cremoso bianco più cereali al cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Due bontà yogurt cremoso bianco più stelline al cioccolato 150 g Conad,"5,27 € / Kg","0,79€","Formaggi, latte e uova",Yogurt e probiotici
Danone Yogoloso Yogurt alla Banana Super Mario 2 x 110 g,"7,68 € / Kg","1,69€","Formaggi, latte e uova",Yogurt e probiotici
Danone Yogoloso Yogurt alla Fragola Super Mario 2 x 110 g,"7,68 € / Kg","1,69€","Formaggi, latte e uova",Yogurt e probiotici
Mix Yogurt Bianco Più Anelli al Cioccolato 150g Müller,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Mix Yogurt Bianco Più Nocciole e Cioccolato 150g Müller,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Müller Mix l'Irresistibile Yogurt al Pistacchio Più Mandorle Croccanti 150 g,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Müller Mix Yogurt al Cocco Più Palline al Cioccolato 150 g,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Müller Mix Yogurt Bianco Più Fiocchi al Cioccolato 150 g,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Müller Mix Yogurt Bianco Più More e Lamponi 150 g,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Müller Mix Yogurt Gusto Vaniglia Più Mandorle 150 g,"8,33 € / Kg","1,25€","Formaggi, latte e uova",Yogurt e probiotici
Oh my Yomo! Yogurt alla Fragola Più Mandorle Caramellate 140 g,"7,07 € / Kg","0,99€","Formaggi, latte e uova",Yogurt e probiotici
Oh my Yomo! Yogurt Bianco Più Crema e Granella di Pistacchio 140 g,"7,07 € / Kg","0,99€","Formaggi, latte e uova",Yogurt e probiotici
Milk Yogurt da bere Fragola 500 g,"2,70 € / Kg","1,35€","Formaggi, latte e uova",Yogurt e probiotici
Milk Yogurt da bere Multifrutti 500 g,"2,70 € / Kg","1,35€","Formaggi, latte e uova",Yogurt e probiotici
Yomino 100% Naturale Banana 4x80g,"8,72 € / Kg","2,79€","Formaggi, latte e uova",Yogurt e probiotici
Yomino 100% Naturale Fragola 4 x 80 g,"8,72 € / Kg","2,79€","Formaggi, latte e uova",Yogurt e probiotici
CremaLatte Cioccolato 4 x 125 g Conad,"3,96 € / Kg","1,98€","Formaggi, latte e uova",Yogurt e probiotici
CremaLatte Crème Caramel 4 x 100 g Conad,"4,22 € / Kg","1,69€","Formaggi, latte e uova",Yogurt e probiotici
CremaLatte Vaniglia 4 x 125 g Conad,"3,96 € / Kg","1,98€","Formaggi, latte e uova",Yogurt e probiotici
Mousse al Cioccolato 2 x 90 g Conad,"11,94 € / Kg","2,15€","Formaggi, latte e uova",Yogurt e probiotici
Panna Cotta - al Caramello 2x120g Conad,"8,96 € / Kg","2,15€","Formaggi, latte e uova",Yogurt e probiotici
Cameo Muu Muu Go! la merenda ciocco-vaniglia 80 g,"11,88 € / Kg","0,95€","Formaggi, latte e uova",Yogurt e probiotici
Cameo Muu Muu Gusto Cioccolato 4 x 125 g,"6,98 € / Kg","3,49€","Formaggi, latte e uova",Yogurt e probiotici
Cameo Muu Muu Gusto Vaniglia 4 x 125 g,"6,98 € / Kg","3,49€","Formaggi, latte e uova",Yogurt e probiotici
Cameo Muu Muu mini Gusto Cioccolato 6 x 50 g,"8,63 € / Kg","2,59€","Formaggi, latte e uova",Yogurt e probiotici
Cameo Muu Muu mini Gusto Vaniglia 6 x 50 g,"8,63 € / Kg","2,59€","Formaggi, latte e uova",Yogurt e probiotici
Danette crema al cioccolato 4 x 125 g,"5,58 € / Kg","2,79€","Formaggi, latte e uova",Yogurt e probiotici
Danette crema gusto vaniglia 4 x 125 g,"5,58 € / Kg","2,79€","Formaggi, latte e uova",Yogurt e probiotici
PERUGINA Nuvole Mousse Cioccolato al latte 4 x 60 g,"8,12 € / Kg","1,95€","Formaggi, latte e uova",Yogurt e probiotici
PERUGINA Nuvole Mousse gusto Fiordilatte 4 x 60 g,"8,12 € / Kg","1,95€","Formaggi, latte e uova",Yogurt e probiotici
Valsoia Bontà e Salute il Budino Cacao 2 x 115 g,"5,17 € / Kg","1,19€","Formaggi, latte e uova",Yogurt e probiotici
Alimentum Senza Lattosio Bianco 2 x 125 g Conad,"3,96 € / Kg","0,99€","Formaggi, latte e uova",Yogurt e probiotici
Alimentum Senza Lattosio Fragola 2 x 125 g Conad,"3,96 € / Kg","0,99€","Formaggi, latte e uova",Yogurt e probiotici
