,Product,Price
2109,"Esselunga, scamorza 250 g","Euro 10,76 / kg"
2110,"Esselunga, pasta per pizza 385 g","Euro 4,65 / kg"
2111,"Esselunga, Bresaola della Valtellina IGP 60 a fette g","Euro 49,84 / kg"
2112,Emmentaler Switzerland AOP  300 g,"Euro 16,99 / kg"
2113,"Esselunga, yogurt intero dolce bianco 500 g","Euro 2,58 / kg"
2114,"Esselunga, yogurt greco 0% grassi mela e cannella 150 g","Euro 8,61 / kg"
2115,"Esselunga, Robiola conf. 2x100 g","Euro 10,95 / kg"
2116,"Esselunga, Speck Alto Adige IGP a fette 100 g","Euro 33,90 / kg"
2117,"Fontina DOP,  300 g","Euro 19,99 / kg"
2118,"Esselunga, prosciutto crudo a fette 60 g","Euro 29,84 / kg"
2119,"Esselunga, yogurt intero al cocco 500 g","Euro 2,58 / kg"
2120,"Esselunga, scamorza affumicata 250 g","Euro 10,76 / kg"
2121,"Esselunga, mortadella a fette 80 g","Euro 18,63 / kg"
2122,"Esselunga, Prosciutto Toscano DOP a fette 80 g","Euro 54,88 / kg"
2123,"Pecorino Romano DOP,  250 g","Euro 23,99 / kg"
2124,"Parmigiano Reggiano DOP 24 mesi prodotto di montagna, 550 g 550 g","Euro 25,99 / kg"
2125,"Grana Padano DOP stagionato oltre 16 mesi,  600 g","Euro 18,99 / kg"
2126,"Esselunga, dessert al cioccolato con panna conf. 4x115 g","Euro 4,77 / kg"
2127,"Pecorino Toscano DOP,  300 g","Euro 20,99 / kg"
2128,"Grana Padano DOP Riserva oltre 20 mesi ,  600 g","Euro 19,99 / kg"
2129,"Brie,  250 g","Euro 15,99 / kg"
2130,"Esselunga, Pecorino di Amatrice Riserva di Grotta  250 g","Euro 24,99 / kg"
2131,"Formaggio dolce crema Tosi,  300 g","Euro 20,99 / kg"
2132,"Latteria Sociale, Branzi  300 g","Euro 16,99 / kg"
2133,"Esselunga Equilibrio, panna da cucina senza lattosio 200 ml","Euro 4,45 / l"
2134,"Esselunga, Asiago fresco DOP 300 g","Euro 14,99 / kg"
2135,"Brigante,  250 g","Euro 19,99 / kg"
2136,"Biancapra,  250 g","Euro 20,99 / kg"
2137,"Esselunga, Salame Cacciatore DOP  200 g","Euro 23,85 / kg"
2138,"Esselunga, torta formaggio e noci  300 g","Euro 14,69 / kg"
2139,"Tris montano,  400 g","Euro 17,99 / kg"
2140,"Pecorino Sardo DOP maturo,  300 g","Euro 23,99 / kg"
2141,"Esselunga Top, Parmigiano Reggiano DOP 200 g","Euro 27,45 / kg"
2142,"Tris Veneto,  450 g","Euro 17,99 / kg"
2143,"Esselunga Top, Grana Padano DOP riserva oltre 20 mesi 300 g","Euro 21,97 / kg"
2144,"Cameri, Gorgonzola DOP piccante  300 g","Euro 15,59 / kg"
2145,"Piave DOP Mezzano,  300 g","Euro 17,99 / kg"
2146,"Parmigiano Reggiano DOP 30 mesi prodotto di montagna, 550 g 550 g","Euro 19,59 / kg"
2147,"Tris Valli,  400 g","Euro 18,99 / kg"
2148,"Feta DOP,  200 g","Euro 18,99 / kg"
2149,"Malga Gardena,  300 g","Euro 17,90 / kg"
2150,"Asiago stagionato Mezzano DOP,  300 g","Euro 18,99 / kg"
2151,"Stelvio DOP,  300 g","Euro 17,90 / kg"
2152,"Longo, primosale a kg 200 g","Euro 13,99 / kg"
2153,"Montasio DOP,  300 g","Euro 13,99 / kg"
2154,"Esselunga, provolone di Amatrice  300 g","Euro 18,99 / kg"
2155,"Stella Bianca, Petit Suisse caprini vaccini  200 g","Euro 14,99 / kg"
2156,"Caciotta Toscana,  250 g","Euro 15,99 / kg"
2157,"Formaggio Capretto Sardo,  300 g","Euro 23,99 / kg"
2158,"Mousse di latte,  300 g","Euro 10,99 / kg"
2159,"S. Vincenzo, Spianata Piccante affettata fresca 70 g","Euro 17,59 / kg"
2160,"Treccione Affumicato,  200 g","Euro 12,59 / kg"
2161,"Pecorino Spia della Maremma,  250 g","Euro 23,99 / kg"
2162,"Le Sottili Bontà, formaggio svizzero 70 g","Euro 29,86 / kg"
2163,"Toma Piemontese DOP,  300 g","Euro 13,59 / kg"
2164,"Pizzoccheraia,  280 g","Euro 15,99 / kg"
2165,"Asiago Fresco DOP prodotto della montagna,  300 g","Euro 17,99 / kg"
2166,"Caciocavallo Silano DOP,  400 g","Euro 18,99 / kg"
2167,"Piattone,  350 g","Euro 12,79 / kg"
2168,"Scamorza affumicata,  300 g","Euro 11,54 / kg"
2169,"Toma al peperoncino,  250 g","Euro 18,99 / kg"
2170,"Toma di Capra,  250 g","Euro 27,99 / kg"
2171,"Tris pecorini,  450 g","Euro 22,99 / kg"
2172,"Marenchino, Fiocco di Capra 110 g","Euro 30,19 / kg"
2173,"Scamorza bianca,  260 g","Euro 11,54 / kg"
2174,"Capra sarda,  200 g","Euro 24,99 / kg"
2175,"Burrata di Andria,  250 g","Euro 11,89 / kg"
2176,"Formaggio Veracapra,  250 g","Euro 25,99 / kg"
2177,"Esselunga, Crescenza 3B Latte  250 g","Euro 13,99 / kg"
2178,"Caprino stagionato I Vecc formaggio vaccino,  230 g","Euro 18,99 / kg"
2179,"Esselunga, Pecorino Toscano DOP stagionato 300 g","Euro 24,99 / kg"
2180,"Buche Chevre,  200 g","Euro 22,99 / kg"
2181,"Stella Bianca, Stracchino cremoso  250 g","Euro 14,99 / kg"
2182,"Pecorino di Amatrice,  250 g","Euro 21,99 / kg"
2183,"Tomini freschi,  100 g","Euro 12,99 / kg"
2184,"Scimudin,  250 g","Euro 15,99 / kg"
2185,"Caciocavallo affumicato,  400 g","Euro 18,99 / kg"
2186,"Toma di Grotta,  300 g","Euro 19,99 / kg"
2187,"Valtellina Casera DOP stagionato,  300 g","Euro 17,99 / kg"
2188,"Taddei Taleggio DOP ,  300 g","Euro 14,39 / kg"
2189,"Bra tenero DOP,  250 g","Euro 16,99 / kg"
2190,"Dolce Capra,  250 g","Euro 23,99 / kg"
2191,"Piave DOP Vecchio Selezione Oro,  250 g","Euro 19,99 / kg"
2192,"Raschera DOP,  300 g","Euro 17,49 / kg"
2193,"Tris Piemonte,  500 g","Euro 18,99 / kg"
2194,"Parmigiano Reggiano DOP 40 mesi prodotto di montagna, 550 g 550 g","Euro 29,99 / kg"
2195,"Ricotta salata di pecora,  180 g","Euro 10,99 / kg"
2196,"Toma Contadina,  250 g","Euro 17,99 / kg"
2197,"Esselunga, pecorino fior di cardo  300 g","Euro 20,99 / kg"
2198,"Ricotta di pecora di Amatrice,  300 g","Euro 9,99 / kg"
2199,"Occelli, Tuma D'La Paja  300 g","Euro 23,99 / kg"
2200,"Raclette Svizzera,  250 g","Euro 21,99 / kg"
2201,"Pecorino a latte crudo al tartufo,  250 g","Euro 23,99 / kg"
2202,"Sbirro,  250 g","Euro 20,99 / kg"
2203,"Esselunga, Latte parzialmente scremato UHT 1 l","Euro 1,39 / l"
2204,"Le Gruyere AOP Alpage,  200 g","Euro 37,99 / kg"
2205,"Pecorino fresco pepato,  250 g","Euro 17,99 / kg"
2206,"Salva Cremasco DOP,  250 g","Euro 16,99 / kg"
2207,"Pecorino a latte crudo,  250 g","Euro 21,49 / kg"
2208,"Montasio DOP montagna,  300 g","Euro 17,99 / kg"
2209,"Tomino di capra,  150 g","Euro 18,99 / kg"
2210,"Camembert de Normandie AOP Gillot, 250 g","Euro 31,96 / kg"
2211,"Formai de Mut DOP,  250 g","Euro 19,99 / kg"
2212,"Esselunga, Pecorino siciliano dop  250 g","Euro 24,99 / kg"
2213,"Esselunga, Pecorino stagionato pepato  250 g","Euro 22,99 / kg"
2214,"Esselunga, Reblochone AOP  200 g","Euro 22,99 / kg"
2215,"Esselunga, Tris per polenta  450 g","Euro 19,99 / kg"
2216,Petit Pont l'Evêque AOP 220 g,"Euro 31,78 / kg"
2217,"Smart, uova fresche medie da allevamento a terra 10 pezzi","Euro 0,22 / pz"
2218,"Smart, prosciutto cotto di alta qualità a fette 130 g","Euro 13,47 / kg"
2219,"Smart, Grana padano DOP grattugiato 100 g","Euro 14,90 / kg"
2220,"Lievital, lievito fresco per pizza conf. 2x25 g","Euro 6,00 / kg"
2221,"Smart, Mozzarella 225 g - peso netto 125 g","Euro 6,96 / kg"
2222,"Biraghi, Gran Biraghi grattugiato fresco 100 g","Euro 20,90 / kg"
2223,"Smart, Würstel di pollo suino tacchino conf. 2x100 g","Euro 2,95 / kg"
2224,"Ferrarini, Prosciutto Cotto AQ affettato fresco","Euro 22,99 / kg"
2225,"Fage, Total 0% grassi 150 g","Euro 10,34 / kg"
2226,"Parmalat, Bontà e Linea latte UHT parzialmente scremato 500 ml","Euro 2,18 / l"
2227,"Citterio, Sofficette prosciutto cotto di Alta Qualità a fette 80 …","Euro 22,38 / kg"
2228,"Nonno Nanni, stracchino 100 g","Euro 20,90 / kg"
2229,"Smart, Parmigiano Reggiano DOP grattugiato 100 g","Euro 16,80 / kg"
2230,"Buitoni, La Sfoglia Rotonda pasta sfoglia fresca rotolo 230 g","Euro 8,22 / kg"
2231,"Parmalat, Zymil Buono Digeribile latte UHT solo alta digeribilità…","Euro 1,98 / l"
2232,"Epiros, Original Feta DOP 180 g","Euro 11,00 / kg"
2233,"Smart, Salame Milano a fette 150 g","Euro 10,47 / kg"
2234,"Granarolo, Accadì latte UHT 1% grassi conservare in frigorifero 1…","Euro 1,99 / l"
2235,"Smart, Gouda a fette 150 g","Euro 10,41 / kg"
2236,"Mila, Latte Fieno dell'Alto Adige Intero 1 l","Euro 1,89 / l"
2237,"Parmalat, Zymil Magro Digeribile alta digeribilità latte UHT 500 …","Euro 1,98 / l"
2238,"Sottilette, Classiche formaggio fuso a fette 400 g","Euro 10,73 / kg"
2239,"Ferrari, GranMix al pecorino grattugiato 100 g","Euro 17,90 / kg"
2240,"Smart, Bresaola a fette 80 g","Euro 36,13 / kg"
2241,"Parmareggio, snack di Parmigiano Reggiano DOP conf. 5x20 g","Euro 24,60 / kg"
2242,"Aia, Wudy classico wurstel 250 g","Euro 6,36 / kg"
2243,"Parmalat, Bontà e Linea latte UHT parzialmente scremato 1 l","Euro 1,79 / l"
2244,"Philadelphia, Original  formaggio fresco spalmabile conf. 2x80 g","Euro 13,69 / kg"
2245,"Smart, Edam a fette 150 g","Euro 10,41 / kg"
2246,"Zymil, Latte UHT Alta Digeribilità Senza lattosio Buono Digeribil…","Euro 2,09 / l"
2247,"Smart, yogurt intero bianco 500 g","Euro 1,90 / kg"
2248,"Smart, Emmental a fette 150 g","Euro 10,41 / kg"
2249,"Galbani, Santa Lucia mozzarella 225 g - peso netto sgocc.125 g","Euro 11,92 / kg"
2250,"Smart, latte fresco microfiltrato intero 1 l","Euro 1,13 / l"
2251,"Caseificio Valcolatte, Riccotta 250 g","Euro 7,16 / kg"
2252,"Granarolo, latte intero 1 l","Euro 1,89 / l"
2253,"Smart, scamorza affumicata 250 g","Euro 9,00 / kg"
2254,"Smart, burro 500 g","Euro 9,56 / kg"
2255,"Smart, pasta sfoglia rotonda 230 g","Euro 3,92 / kg"
2256,"Nonno Nanni, stracchino 250 g","Euro 13,16 / kg"
2257,"Smart, speck 120 g","Euro 16,59 / kg"
2258,"Aia, Aequilibrium albume d'uovo pastorizzato 500 ml","Euro 3,98 / l"
2259,"Citterio, Wuoi? Wurstel di puro suino 100 g","Euro 8,60 / kg"
2260,"Smart, mix di formaggi grattugiati 300 g","Euro 8,91 / kg"
2261,"Mila, Latte Fieno dell'Alto Adige parzialmente scremato 1 l","Euro 1,89 / l"
2262,"Le Naturelle, 4 uova fresche biologiche","Euro 0,52 / pz"
2263,"Smart, latte parzialmente scremato UHT a lunga conservazione 1 l","Euro 0,98 / l"
2264,"Buitoni, La Sfoglia Rettangolare pasta sfoglia fresca rotolo 230 …","Euro 4,74 / kg"
2265,"Smart, formaggio fresco spalmabile 200 g","Euro 5,45 / kg"
2266,"Rovagnati, Granbiscotto prosciutto Cotto AQ affettato fresco","Euro 20,90 / kg"
2267,"Milk, Kefir Bianco Naturale 480 g","Euro 2,90 / kg"
2268,"Granarolo, Più Giorni latte intero - da conservare in frigorifero…","Euro 1,89 / l"
2269,"Exquisa, Fitline fiocchi di latte con yogurt 150 g","Euro 9,01 / kg"
2270,"Galbani, Santa Lucia tris mozzarella conf. 3x225 - peso netto sgo…","Euro 11,44 / kg"
2271,"CAO Formaggi, Pecorino Romano DOP grattugiato 100 g","Euro 25,90 / kg"
2272,"Danone, Yogoloso Super Mario yogurt con fragola frullata conf. 2x…","Euro 6,78 / kg"
2273,"Smart, latte di kefir 480 g","Euro 1,94 / kg"
2274,"Kinder, Paradiso conf. 4x29 g","Euro 18,54 / kg"
2275,"Sterzing Vipiteno, yogurt intero bianco 500 g","Euro 2,30 / kg"
2276,"Smart, Grana Padano DOP  750 g","Euro 10,99 / kg"
2277,"Sottilette, burger con cheddar formaggio fuso a fette 185 g","Euro 10,55 / kg"
2278,"Granarolo, Gusto di una volta latte fresco intero 1 l","Euro 1,89 / l"
2279,"Granarolo, Più Giorni latte parzialmente scremato - da conservare…","Euro 1,89 / l"
2280,"Vallelata, Fior di Latte mozzarella fresca 265 g - peso netto sgo…","Euro 12,80 / kg"
2281,"Philadelphia, Original formaggio fresco spalmabile 250 g","Euro 10,52 / kg"
2282,"Aia, Pasta gialla 6 uova fresche medie italiane allevate a terra","Euro 0,41 / pz"
2283,"Ferrari, GranMix Classico formaggio grattugiato fresco 100 g","Euro 16,90 / kg"
2284,"Parmareggio, Parmigiano Reggiano DOP grattugiato 30 mesi 60 g","Euro 27,01 / kg"
2285,"Ferrari, Originale Italiano grattugiato fresco 80 g","Euro 16,13 / kg"
2286,"Smart, yogurt magro bianco 500 g","Euro 1,70 / kg"
2287,"Les Chateaux De France, Brie 200 g","Euro 12,60 / kg"
2288,"Ferrari, Parmigiano Reggiano DOP grattugiato fresco 100 g","Euro 27,50 / kg"
2289,"Aia, Wudy formaggio wurstel 150 g","Euro 6,61 / kg"
2290,"Granarolo, Accadì latte UHT senza lattosio 1% di Grassi 1 l","Euro 1,99 / l"
2291,"Sterzing, Vipiteno, 0,1% grassi yogurt magro bianco conf. 2x125 g","Euro 3,56 / kg"
2292,"Smart, mortadella a fette 150 g","Euro 6,61 / kg"
2293,"Kinder, Pinguì al cioccolato conf. 8x30 g","Euro 14,55 / kg"
2294,"Philadelphia, Original formaggio fresco spalmabile conf. 6x25 g","Euro 16,27 / kg"
2295,"Galbani, Santa Lucia Mozzarella per pizza 400 g","Euro 9,23 / kg"
2296,"Parmalat, Chef panna UHT conf. 3x125 ml","Euro 7,71 / l"
2297,"Le Naturelle, 6 uova guscio bianco da galline di razza livornese","Euro 0,37 / pz"
2298,"Milk, Pro High Protein 20g crema dessert al cacao 200 g","Euro 9,45 / kg"
2299,"Vallelata, ricottine fresche nostrane conf. 2x100 g","Euro 7,25 / kg"
2300,"Galbani, Santa Lucia ciliegie di mozzarella senza conservanti 260…","Euro 11,94 / kg"
2301,"Veroni, Mortadella Bologna IGP con pistacchio  taglio sottile 110…","Euro 21,73 / kg"
2302,"Granarolo, Accadì Senza Lattosio latte ESL parzialmente scremato …","Euro 2,38 / l"
2303,"Smart, latte fresco microfiltrato parzialmente scremato 1 l","Euro 1,08 / l"
2304,"Galbani, Santa Lucia Ricotta 250 g","Euro 5,16 / kg"
2305,"Milk, Kefir bianco 150 g","Euro 7,67 / kg"
2306,"Parmalat, Zymil alta digeribilità latte parzialmente scremato mic…","Euro 2,09 / l"
2307,"Coccodì, 10&lode 10 uova grandi da allevamento a terra","Euro 0,30 / pz"
2308,"Sterzing Vipiteno, 0,1% grassi yogurt magro alla vaniglia conf. 2…","Euro 4,60 / kg"
2309,"Kinder, Fetta al latte conf. 10x28 g","Euro 12,47 / kg"
2310,"Smart, panna da cucina conf. 3x200 ml","Euro 3,99 / l"
2311,"Parmareggio, L'ABC della Merenda frullato 100% frutta gusto pesca…","Euro 6,31 / kg"
2312,"Philadelphia, Benessere Light formaggio fresco spalmabile 175 g","Euro 13,43 / kg"
2313,"Granarolo, latte fresco intero biologico 1 l","Euro 2,19 / l"
2314,"Citterio, Sofficette prosciutto crudo a fette 60 g","Euro 29,84 / kg"
2315,"Parmareggio, burro 100 g","Euro 14,50 / kg"
2316,"Fage, Risolat 1% vaniglia 170 g","Euro 7,36 / kg"
2317,"Mauri, Caprì da latte italiano di vacca conf. 2x80 g","Euro 11,07 / kg"
2318,"Citterio, Sofficette petto di tacchino al forno a fette 80 g","Euro 23,13 / kg"
2319,"Vallelata, Fior di latte mozzarella 405 g - peso netto sgocc.200 …","Euro 11,45 / kg"
2320,"Sterzing Vipiteno, yogurt intero bianco conf. 2x125 g","Euro 3,56 / kg"
2321,"Kinder, Fetta al latte conf. 5x28 g","Euro 15,36 / kg"
2322,"Parmalat, Chef panna gourmet UHT 200 ml","Euro 9,25 / l"
2323,"Granarolo, Accadì Lattosio Senza Senza grassi latte ESL scremato …","Euro 2,38 / l"
2324,"Maia, Le Naturelle 12 uova fresche grandi da allevamento a terra","Euro 0,34 / pz"
2325,"Leerdammer, Special Toast a fette 125 g","Euro 18,32 / kg"
2326,"Devodier, Prosciutto di Parma DOP a fette 90 g","Euro 64,34 / kg"
2327,"Smart, Gorgonzola DOP  200 g","Euro 8,25 / kg"
2328,"Galbani, Galbanino a fette 120 g","Euro 15,42 / kg"
2329,"Citterio, Gli Irresistibili bastoncini di salame 40 g","Euro 37,25 / kg"
2330,"Casa Modena, Teneroni l'Originale conf. 2x75 g","Euro 21,07 / kg"
2331,"Mila, latte UHT senza lattosio parzialmente scremato 1 l","Euro 1,85 / l"
2332,"Granarolo, Biologico latte bio parzialmente scremato 1 l","Euro 2,19 / l"
2333,"Galbani, Santa Lucia light mozzarella conf. 3x210 g - peso netto …","Euro 6,91 / kg"
2334,"Citterio, Taglio Fresco il salame di Milano a fette 70 g","Euro 31,29 / kg"
2335,"Sterzing Vipiteno, Bio yogurt al mirtillo nero 150 g","Euro 7,54 / kg"
2336,"Smart, yogurt intero vaniglia 150 g","Euro 1,94 / kg"
2337,"Sterzing Vipiteno, yogurt magro bianco 500 g","Euro 2,30 / kg"
2338,"Galbani, Galbanino l'Originale formaggio dolce 270 g","Euro 11,82 / kg"
2339,"Wüber, Wüberone wurstel di pollo 250 g","Euro 7,16 / kg"
2340,"Smart, Emmental bavarese  250 g","Euro 7,48 / kg"
2341,"Granarolo, Accadì senza lattosio latte UHT 1% di Grassi 500 ml","Euro 2,70 / l"
2342,Grana Padano DOP 16 mesi  550 g,"Euro 13,99 / kg"
2343,"Milk, Kefir da bere melograno e lampone 480 g","Euro 2,07 / kg"
2344,"Epiros, Light 180 g","Euro 18,84 / kg"
2345,"Galbani, Santa Lucia mozzarella senza lattosio 190 g - peso netto…","Euro 13,90 / kg"
2346,"Smart, cubetti di cotto conf. 2x100 g","Euro 8,75 / kg"
2347,"Ferrarini, Il Ferrarini prosciutto cotto a fette 100 g","Euro 43,20 / kg"
2348,"Smart, formaggini 200 g","Euro 5,95 / kg"
2349,"Galbani, Santa Lucia mascarpone 250 g","Euro 11,16 / kg"
2350,"Fage, Total 5% grassi 150 g","Euro 10,34 / kg"
2351,"Kinder, Choco fresh conf. 5x20,5 g","Euro 21,17 / kg"
2352,"Sterzing Vipiteno, Bio yogurt bianco 150 g","Euro 7,21 / kg"
2353,"Fattorie Osella, La Robiola formaggio fresco conf. 2x100 g","Euro 14,75 / kg"
2354,Prosciutto Toscano DOP taglio sottile 100 g,"Euro 58,90 / kg"
2355,"Meggle, panna UHT per caffè conf. 20x10 g","Euro 9,95 / kg"
2356,"Fattorie Osella, Primosale formaggio fresco 125 g","Euro 15,68 / kg"
2357,"Sterzing Vipiteno, Sapori di Vipiteno yogurt al limone conf. 2x12…","Euro 5,00 / kg"
2358,"Auricchio, Le Provolizie provolone dolce 100 g","Euro 18,90 / kg"
2359,"Smart, Pancetta arrotolata a fette 150 g","Euro 11,87 / kg"
2360,"Mila, yogurt da bere alla fragola 200 g","Euro 1,95 / kg"
2361,"Parmareggio, fettine al Parmigiano Reggiano DOP 150 g","Euro 12,61 / kg"
2362,"Centrale del latte di Milano, latte fresco parzialmente scremato …","Euro 1,90 / l"
2363,Burro Formato Contadino 250 g,"Euro 15,96 / kg"
2364,"Müller, Mix Yogurt bianco più anelli al cioccolato 150 g","Euro 3,94 / kg"
2365,"Biraghi, Biraghini Gran Biraghi snack conf. 5x20 g","Euro 22,90 / kg"
2366,"Leerdammer, Original a fette 8 pezzi 160 g","Euro 17,44 / kg"
2367,"Centrale del latte Milano, latte fresco intero alta qualità 1 l","Euro 1,99 / l"
2368,"Le Sottili Bontà, Fontal 80 g","Euro 26,13 / kg"
2369,"Fattorie Osella, Linea Osella formaggio fresco primosale 190 g","Euro 14,69 / kg"
2370,Culatello di Zibello DOP taglio sottile 80 g,"Euro 112,38 / kg"
2371,"Galbani, Certosino crescenza conf. 2x80 g","Euro 14,32 / kg"
2372,"Sottilette, Fila e Fondi alla mozzarella formaggio fuso a fette 2…","Euro 9,85 / kg"
2373,"Galbani, Certosa crescenza italiana 165 g","Euro 13,16 / kg"
2374,"Milk, Bio Kefir da Bere bianco naturale 480 g","Euro 3,53 / kg"
2375,"Sterzing Vipiteno, yogurt intero bianco1 kg","Euro 3,29 / kg"
2376,"Parmalat, Bontà e gusto latte UHT intero 500 ml","Euro 2,38 / l"
2377,"Smart, Maasdam a fette 150 g","Euro 10,41 / kg"
2378,"Latteria sociale Valtellina, latte fresco di montagna intero alta…","Euro 2,09 / l"
2379,"Galbani, Gim Gorgonzola DOP 220 g","Euro 13,14 / kg"
2380,"Citterio, Tagliette Guanciale 90 g","Euro 25,45 / kg"
2381,"Philadelphia, Original formaggio fresco spalmabile 350 g","Euro 11,69 / kg"
2382,"Antiche Bontà, ricotta vaccina  300 g","Euro 8,99 / kg"
2383,"Danone, Hipro yogurt 0% grassi gusto stracciatella con 15g protei…","Euro 6,82 / kg"
2384,"Ferrarini, Riserva prosciutto cotto di alta qualità 130 g","Euro 38,39 / kg"
2385,"Galbani, Certosa crescenza italiana la Leggera 165 g","Euro 12,67 / kg"
2386,"Galbani, Santa Lucia Light ricottina conf. 2x90 g","Euro 9,39 / kg"
2387,"Smart, scamorza 250 g","Euro 9,00 / kg"
2388,"AR Alimentari, scamorza affumicata 90 g","Euro 22,00 / kg"
2389,"Danone, Yogoloso Super Mario yogurt con banana frullata conf. 2x1…","Euro 6,78 / kg"
2390,"Smart, yogurt magro alla frutta conf. 8x125 g","Euro 2,49 / kg"
2391,"Milk, Light fiocchi di latte con yogurt 150 g","Euro 9,27 / kg"
2392,"Yakult, Original conf. 6x65 ml","Euro 9,98 / l"
2393,"Smart, Fontal 400 g","Euro 7,48 / kg"
2394,"Citterio, Sofficette Bresaola della Valtellina IGP a fette 60 g","Euro 46,34 / kg"
2395,"Fage, Total 2% grassi 150 g","Euro 10,34 / kg"
2396,"Aia, Wudy classico mini wurstel conf. 4x100 g","Euro 9,48 / kg"
2397,"Galbani, Santa Lucia fette di mozzarella 120 g","Euro 16,17 / kg"
2398,"Parmalat, Zymil Alta Digeribilità Magro Digeribile senza lattosio…","Euro 2,09 / l"
2399,"Philadelphia, Original mini formaggio fresco spalmabile conf. 4x3…","Euro 14,50 / kg"
2400,"Kinder, Pinguì al cioccolato conf. 4x30 g","Euro 17,92 / kg"
2401,"Esselunga, mozzarella per pizza 400 g","Euro 7,45 / kg"
2402,"Ehrmann, High Protein Chocolate pudding 200 g","Euro 6,95 / kg"
2403,"TreValli, Hoplà condimento a base vegetale da montare 200 ml","Euro 6,45 / l"
2404,"Smart, Ricotta 450 g","Euro 3,01 / kg"
2405,"Jocca, fiocchi di latte a base di formaggio fresco magro 135 g","Euro 10,30 / kg"
2406,"Bordoni, Bresaola Nazionale affettata fresca","Euro 39,99 / kg"
2407,"Salumificio San Carlo, guanciale a cubetti conf. 2x75 g","Euro 18,47 / kg"
2408,"Colla, bastoncini di Grana Padano DOP stagionatura 14 mesi 200 g","Euro 21,45 / kg"
2409,"Sterzing Vipiteno, Burro di Qualità 250 g","Euro 12,36 / kg"
2410,"Arborea, Ad Latte UHT Alta Digeribilità parzialmente scremato sen…","Euro 1,69 / l"
2411,"Müller, Mix Soffio mousse di bianco più granella di pistacchio 12…","Euro 4,92 / kg"
2412,"Galbani, Santa Lucia mozzarella senza lattosio 577 g - peso netto…","Euro 13,31 / kg"
2413,"Galbani, Crema Bel Paese formaggini 175 g","Euro 6,69 / kg"
2414,"Sottilette, Light  formaggio fuso a fette 285 g","Euro 10,74 / kg"
2415,"Milchfrisch, Cacao dessert 200 g","Euro 1,45 / kg"
2416,"Smart, margarina 250 g","Euro 2,76 / kg"
2417,"Rosa dell'Angelo, prosciutto crudo 24 mesi a fette  120 g","Euro 68,90 / kg"
2418,"Camoscio d'Oro, Fette Morbidissime 150 g","Euro 20,47 / kg"
2419,"Buitoni, La Brisée pasta fresca brisée rotonda rotolo 230 g","Euro 8,66 / kg"
2420,"Rovagnati, I Firmati prosciutto cotto di Alta Qualità a fette 100…","Euro 39,90 / kg"
2421,"Merano, Bella Vita Free senza lattosio yogurt alla vaniglia conf.…","Euro 4,76 / kg"
2422,"Philadelphia, Benessere formaggio fresco spalmabile senza lattosi…","Euro 11,95 / kg"
2423,"Latteria Soresina, burro 250 g","Euro 10,36 / kg"
2424,"Brimi, mozzarella a cubetti 150 g","Euro 15,94 / kg"
2425,"Parmareggio, burro 200 g","Euro 14,25 / kg"
2426,"Müller, Dessert Proteico gusto cioccolato 200 g","Euro 11,45 / kg"
2427,"Caseificio Valcolatte, Riccottine ""le Gustose"" conf. 2x90 g","Euro 8,84 / kg"
2428,"Vallelata, Fior di Latte Mozzarella Fresca conf. 3x225 g - peso n…","Euro 11,44 / kg"
2429,"Citterio, La Merenda prosciutto cotto senza glutine conf. 3x40 g","Euro 33,76 / kg"
2430,"Fattorie Osella, caprini formaggio fresco di latte vaccino 100 g","Euro 15,00 / kg"
2431,"Rovagnati, Snello GranCotto a fette 100 g","Euro 29,90 / kg"
2432,Parmigiano Reggiano DOP  500 g,"Euro 15,99 / kg"
2433,"San Salvatore, Mozzarella di Bufala Campana DOP biologica 320 g -…","Euro 18,00 / kg"
2434,"Müller, yogurt cremoso alla pesca e albicocca in pezzi conf. 2x12…","Euro 6,60 / kg"
2435,"Coccodì, 6 uova grandi da allevamento all'aperto","Euro 0,45 / pz"
2436,"Sojasun, Bifidus soia fermentata bianco naturale 250 g","Euro 4,76 / kg"
2437,"Smart, mascarpone 500 g","Euro 6,98 / kg"
2438,Burro Formato Contadino 125 g,"Euro 18,32 / kg"
2439,"Granarolo, latte UHT 100% italiano parzialmente scremato conf. 4x…","Euro 1,09 / l"
2440,"Prosciutto arrosto, taglio sottile 100 g","Euro 55,90 / kg"
2441,"Vallelata, bocconcini di mozzarella fresca 8 pezzi 485 g - peso n…","Euro 11,75 / kg"
2442,"Danone, Hipro 15g Proteine mirtillo 160 g","Euro 6,82 / kg"
2443,"Citterio, Citterino salame a fette 60 g","Euro 29,84 / kg"
2444,"Granarolo, Accadì panna da cucina senza lattosio conf. 3x100 ml","Euro 7,71 / l"
2445,"Sottilette, formaggio fuso a fette Senza Lattosio 200 g","Euro 11,95 / kg"
2446,"Cirigliana, Burrata di bufala 420 g - peso netto sgocc. 150 g","Euro 17,27 / kg"
2447,"Granarolo, Latte Piacere Leggero UHT 1 l","Euro 1,69 / l"
2448,"Parmareggio, formaggini al Parmigiano Reggiano DOP 8 pezzi 140 g","Euro 12,15 / kg"
2449,"Handl Tyrol, Speck Tirolese IGP sticks di speck conf. 2x35 g","Euro 41,29 / kg"
2450,"Auricchio, Le Provolizie provolone piccante 100 g","Euro 18,90 / kg"
2451,"Girau, latte di capra intero 100% sardo 500 ml","Euro 4,58 / l"
