,Product,Price
74,"Esselunga Bio, farina di mais bramata 500 g","Euro 2,50 / kg"
75,"Esselunga Bio, orzo tostato macinato biologico 500 g","Euro 3,06 / kg"
76,"Esselunga Bio, Elicoidali pasta di semola di grano duro 500 g","Euro 1,98 / kg"
77,"Esselunga Bio, pizze Margherita biologiche surgelate conf. 2x300 …","Euro 9,82 / kg"
78,"Esselunga Bio, aceto di vino bianco biologico 500 ml","Euro 3,98 / l"
79,"Esselunga Bio, succo di pomodoro biologico conf. 6x125 ml","Euro 3,99 / l"
80,"Esselunga Bio, cacao amaro in polvere altromercato biologico 75 g","Euro 20,14 / kg"
81,"Esselunga Bio, succo e polpa di pesca biologico 750 ml","Euro 2,91 / l"
82,"Esselunga Bio, lenticchie giganti biologiche 500 g","Euro 5,18 / kg"
83,"Esselunga Bio, succo e polpa di pera biologico 750 ml","Euro 2,91 / l"
84,"Esselunga Bio, miele di acacia biologico 500 g","Euro 17,98 / kg"
85,"Esselunga Bio, succo e polpa di albicocca biologico 750 ml","Euro 2,91 / l"
86,"Esselunga Bio, aceto di vino rosso biologico 500 ml","Euro 3,98 / l"
87,"Esselunga Bio, sugo alle melanzane biologico 190 g","Euro 8,37 / kg"
88,"Esselunga Bio, fagioli borlotti 500 g","Euro 5,74 / kg"
89,"Esselunga Bio, grissini biologico 200 g","Euro 9,45 / kg"
90,"Esselunga Bio, succo e polpa di mela biologico 750 ml","Euro 2,91 / l"
91,"Esselunga Bio, olio extra vergine di oliva 100% italiano 750 ml","Euro 11,32 / l"
92,"Esselunga Bio, marmellata di arance biologica  360 g","Euro 7,20 / kg"
93,"Esselunga Bio, pizza alle verdure con grano kamut surgelata biolo…","Euro 9,98 / kg"
94,"Esselunga Bio, misto di legumi e cereali 500 g","Euro 4,98 / kg"
95,"Esselunga Bio, Menta piperita per infuso 16 filtri 24 g","Euro 106,25 / kg"
96,"Esselunga Bio, Melissa per infuso 16 filtri 20,8 g","Euro 127,50 / kg"
97,"Esselunga Bio, preparato per bevanda al cacao biologico 300 g","Euro 9,31 / kg"
98,"Esselunga Bio, succo e polpa di prugna biologico conf. 6x125 ml","Euro 3,99 / l"
99,"Esselunga Bio, olio per frittura biologico 1 l","Euro 4,99 / l"
100,"Esselunga Bio, olio di semi di mais biologico 75 cl","Euro 6,39 / l"
101,"Esselunga Bio, fagioli cannellini 500 g","Euro 7,58 / kg"
102,"Esselunga Bio, olio extra vergine di oliva Toscano IGP 750 ml","Euro 19,32 / l"
103,"Esselunga Equilibrio, gallette mais senza glutine 120 g","Euro 13,26 / kg"
104,"Esselunga Equilibrio, gallette riso senza glutine 150 g","Euro 10,61 / kg"
105,"Esselunga Equilibrio, triangoli mais senza glutine 100 g","Euro 12,70 / kg"
106,"Esselunga Equilibrio, fette croccanti riso senza glutine conf. 10…","Euro 10,45 / kg"
107,"Esselunga Equilibrio, fette croccanti mais senza glutine conf. 10…","Euro 10,45 / kg"
108,"Esselunga Equilibrio, piadina di grano Kamut da conservare in fri…","Euro 15,96 / kg"
109,"Esselunga Equilibrio, Triangoli riso senza glutine 100 g","Euro 12,70 / kg"
110,"Esselunga Equilibrio, mini gallette mais senza glutine conf. 6x20…","Euro 14,59 / kg"
111,"Esselunga Equilibrio, minipiadina di grano Kamut da conservare in…","Euro 19,95 / kg"
112,"Esselunga Bio, banane biologiche  850 g","Euro 2,98 / kg"
113,"Esselunga Bio, 10 uova fresche biologiche 10 pezzi","Euro 0,43 / pz"
114,"Esselunga Bio, misto per soffritto biologico surgelato 300 g","Euro 5,84 / kg"
115,"Esselunga Bio, zucchine biologiche  650 g","Euro 3,48 / kg"
116,"Esselunga Bio, Aglio biologico 150 g","Euro 10,54 / kg"
117,"Esselunga Bio, Latte UHT a lunga conservazione intero 1 l","Euro 1,69 / l"
118,"Esselunga Bio, Latte UHT a lunga conservazione parzialmente screm…","Euro 1,69 / l"
119,"Esselunga Bio, avocado Hass biologico 300 g","Euro 11,27 / kg"
120,"Esselunga Bio, peperoni rossi biologici  400 g","Euro 4,98 / kg"
121,"Esselunga Equilibrio, bevanda vegetale soia senza zuccheri aggiun…","Euro 1,89 / l"
122,"Esselunga Bio, spinaci biologici 400 g","Euro 7,45 / kg"
123,"Esselunga Bio, peperoni gialli biologici  400 g","Euro 4,98 / kg"
124,"Esselunga, Bio Pane morbido integrale 400 g","Euro 3,95 / kg"
125,"Esselunga Equilibrio, fusilli integrali n.48 500 g","Euro 1,78 / kg"
126,"Esselunga Bio, mele Golden biologiche  1000 g","Euro 2,98 / kg"
127,"Esselunga Bio, melanzane biologiche  650 g","Euro 3,98 / kg"
128,"Esselunga Bio, spinacino biologico 100 g","Euro 9,80 / kg"
129,"Esselunga, Bio 36 Fette biscottate integrali biologiche 320 g","Euro 4,97 / kg"
130,"Esselunga Equilibrio, pennette rigate integrali n.66 500 g","Euro 1,78 / kg"
131,"Esselunga, Bio spinacino 100 g","Euro 19,80 / kg"
132,"Esselunga Bio, prezzemolo e aglio tritati biologici surgelati 100…","Euro 14,90 / kg"
133,"Esselunga Equilibrio, triangoli senza glutine mais conf. 6x20 g","Euro 18,26 / kg"
134,"Esselunga Bio, scalogno tritato surgelato biologico 100 g","Euro 11,50 / kg"
135,"Esselunga Bio, passato di verdure 310 g","Euro 8,01 / kg"
136,"Esselunga Equilibrio, Seitan al naturale conf. 2x125 g","Euro 11,96 / kg"
137,"Esselunga Bio, carote tagliate biologiche 200 g","Euro 9,90 / kg"
138,"Esselunga Bio, castagne 100 g","Euro 26,90 / kg"
139,"Esselunga Bio, arachidi tostate con guscio biologiche 250 g","Euro 9,96 / kg"
140,"Esselunga Bio, noci biologiche 400 g","Euro 12,48 / kg"
141,"Esselunga Equilibrio, tortiglioni integrali n.49 500 g","Euro 1,78 / kg"
142,"Esselunga Bio, bovino adulto polpa trita scelta biologica 350 g","Euro 19,98 / kg"
143,"Esselunga Bio, ginger biologico 250 g","Euro 8,72 / kg"
144,"Esselunga Bio, cipolla rossa tritata surgelata biologica 100 g","Euro 11,50 / kg"
145,"Esselunga Bio, 36 Fette biscottate 320 g","Euro 4,97 / kg"
146,"Esselunga Bio, fagiolini Boby verdi biologici 300 g","Euro 10,94 / kg"
147,"Esselunga Equilibrio, mezze maniche integrali n.51 500 g","Euro 1,78 / kg"
148,"Esselunga Bio, cetrioli biologici  800 g","Euro 2,78 / kg"
149,"Esselunga Bio, pane morbido di grano duro integrale 400 g","Euro 3,98 / kg"
150,"Esselunga Bio, anacardi al naturale sgusciati 100 g","Euro 24,90 / kg"
151,"Esselunga Bio, minestrone di verdure 310 g","Euro 8,01 / kg"
152,"Esselunga Equilibrio, spaghetti integrali n.3 500 g","Euro 1,78 / kg"
153,"Esselunga Bio, Pesto con Basilico Genovese DOP senza aglio biolog…","Euro 28,50 / kg"
154,"Esselunga Bio, zuppa di kamut e legumi biologica confezionata 310…","Euro 8,01 / kg"
155,"Esselunga Equilibrio, piadina fresca integrale 3 pezzi 225 g","Euro 15,52 / kg"
156,"Esselunga Bio, aglio tritato biologico surgelato 75 g","Euro 19,87 / kg"
157,"Esselunga Bio, frutta frullata pera conf. 2x100 g","Euro 7,45 / kg"
158,"Esselunga Bio, zucca biologica  1250 g","Euro 2,48 / kg"
159,"Esselunga Bio, scalogno biologico 300 g","Euro 7,94 / kg"
